base_addr=0x00002000 byte_count=924
idx addr byte ascii
0 0x00002000 4c L
1 0x00002001 50 P
2 0x00002002 52 R
3 0x00002003 31 1
4 0x00002004 2d -
5 0x00002005 00 .
6 0x00002006 00 .
7 0x00002007 00 .
8 0x00002008 14 .
9 0x00002009 00 .
10 0x0000200a 00 .
11 0x0000200b 00 .
12 0x0000200c 83 .
13 0x0000200d 70 p
14 0x0000200e 00 .
15 0x0000200f 00 .
16 0x00002010 01 .
17 0x00002011 00 .
18 0x00002012 00 .
19 0x00002013 00 .
20 0x00002014 00 .
21 0x00002015 00 .
22 0x00002016 00 .
23 0x00002017 00 .
24 0x00002018 00 .
25 0x00002019 00 .
26 0x0000201a 00 .
27 0x0000201b 00 .
28 0x0000201c 01 .
29 0x0000201d 01 .
30 0x0000201e 01 .
31 0x0000201f 01 .
32 0x00002020 01 .
33 0x00002021 01 .
34 0x00002022 07 .
35 0x00002023 00 .
36 0x00002024 f7 .
37 0x00002025 03 .
38 0x00002026 2f /
39 0x00002027 a1 .
40 0x00002028 07 .
41 0x00002029 00 .
42 0x0000202a 7a z
43 0x0000202b 34 4
44 0x0000202c 03 .
45 0x0000202d 00 .
46 0x0000202e 00 .
47 0x0000202f 00 .
48 0x00002030 04 .
49 0x00002031 02 .
50 0x00002032 05 .
51 0x00002033 04 .
52 0x00002034 06 .
53 0x00002035 00 .
54 0x00002036 08 .
55 0x00002037 00 .
56 0x00002038 00 .
57 0x00002039 00 .
58 0x0000203a 00 .
59 0x0000203b 00 .
60 0x0000203c 00 .
61 0x0000203d 00 .
62 0x0000203e 06 .
63 0x0000203f d8 .
64 0x00002040 01 .
65 0x00002041 00 .
66 0x00002042 00 .
67 0x00002043 00 .
68 0x00002044 01 .
69 0x00002045 01 .
70 0x00002046 04 .
71 0x00002047 04 .
72 0x00002048 07 .
73 0x00002049 00 .
74 0x0000204a 08 .
75 0x0000204b 00 .
76 0x0000204c 00 .
77 0x0000204d 00 .
78 0x0000204e 00 .
79 0x0000204f 00 .
80 0x00002050 00 .
81 0x00002051 00 .
82 0x00002052 96 .
83 0x00002053 0d .
84 0x00002054 02 .
85 0x00002055 00 .
86 0x00002056 00 .
87 0x00002057 00 .
88 0x00002058 02 .
89 0x00002059 03 .
90 0x0000205a 02 .
91 0x0000205b 02 .
92 0x0000205c 05 .
93 0x0000205d 00 .
94 0x0000205e 06 .
95 0x0000205f 00 .
96 0x00002060 0a .
97 0x00002061 04 .
98 0x00002062 42 B
99 0x00002063 a1 .
100 0x00002064 07 .
101 0x00002065 00 .
102 0x00002066 fe .
103 0x00002067 e5 .
104 0x00002068 02 .
105 0x00002069 00 .
106 0x0000206a 00 .
107 0x0000206b 00 .
108 0x0000206c 05 .
109 0x0000206d 04 .
110 0x0000206e 06 .
111 0x0000206f 04 .
112 0x00002070 06 .
113 0x00002071 00 .
114 0x00002072 08 .
115 0x00002073 00 .
116 0x00002074 00 .
117 0x00002075 00 .
118 0x00002076 00 .
119 0x00002077 00 .
120 0x00002078 00 .
121 0x00002079 00 .
122 0x0000207a 60 `
123 0x0000207b d8 .
124 0x0000207c 01 .
125 0x0000207d 00 .
126 0x0000207e 00 .
127 0x0000207f 00 .
128 0x00002080 05 .
129 0x00002081 05 .
130 0x00002082 04 .
131 0x00002083 04 .
132 0x00002084 08 .
133 0x00002085 00 .
134 0x00002086 08 .
135 0x00002087 00 .
136 0x00002088 00 .
137 0x00002089 00 .
138 0x0000208a 00 .
139 0x0000208b 00 .
140 0x0000208c 00 .
141 0x0000208d 00 .
142 0x0000208e 54 T
143 0x0000208f 34 4
144 0x00002090 01 .
145 0x00002091 00 .
146 0x00002092 00 .
147 0x00002093 00 .
148 0x00002094 06 .
149 0x00002095 01 .
150 0x00002096 04 .
151 0x00002097 04 .
152 0x00002098 08 .
153 0x00002099 00 .
154 0x0000209a 08 .
155 0x0000209b 00 .
156 0x0000209c 00 .
157 0x0000209d 00 .
158 0x0000209e 00 .
159 0x0000209f 00 .
160 0x000020a0 00 .
161 0x000020a1 00 .
162 0x000020a2 6f o
163 0x000020a3 87 .
164 0x000020a4 05 .
165 0x000020a5 00 .
166 0x000020a6 00 .
167 0x000020a7 00 .
168 0x000020a8 01 .
169 0x000020a9 03 .
170 0x000020aa 03 .
171 0x000020ab 03 .
172 0x000020ac 03 .
173 0x000020ad 00 .
174 0x000020ae 06 .
175 0x000020af 00 .
176 0x000020b0 ef .
177 0x000020b1 03 .
178 0x000020b2 27 '
179 0x000020b3 a1 .
180 0x000020b4 07 .
181 0x000020b5 00 .
182 0x000020b6 1b .
183 0x000020b7 96 .
184 0x000020b8 05 .
185 0x000020b9 00 .
186 0x000020ba 00 .
187 0x000020bb 00 .
188 0x000020bc 04 .
189 0x000020bd 02 .
190 0x000020be 07 .
191 0x000020bf 04 .
192 0x000020c0 06 .
193 0x000020c1 00 .
194 0x000020c2 08 .
195 0x000020c3 00 .
196 0x000020c4 00 .
197 0x000020c5 00 .
198 0x000020c6 00 .
199 0x000020c7 00 .
200 0x000020c8 00 .
201 0x000020c9 00 .
202 0x000020ca 73 s
203 0x000020cb 62 b
204 0x000020cc 03 .
205 0x000020cd 00 .
206 0x000020ce 00 .
207 0x000020cf 00 .
208 0x000020d0 01 .
209 0x000020d1 01 .
210 0x000020d2 02 .
211 0x000020d3 02 .
212 0x000020d4 05 .
213 0x000020d5 00 .
214 0x000020d6 06 .
215 0x000020d7 00 .
216 0x000020d8 19 .
217 0x000020d9 04 .
218 0x000020da 51 Q
219 0x000020db a1 .
220 0x000020dc 07 .
221 0x000020dd 00 .
222 0x000020de 30 0
223 0x000020df 77 w
224 0x000020e0 05 .
225 0x000020e1 00 .
226 0x000020e2 00 .
227 0x000020e3 00 .
228 0x000020e4 01 .
229 0x000020e5 07 .
230 0x000020e6 04 .
231 0x000020e7 04 .
232 0x000020e8 07 .
233 0x000020e9 00 .
234 0x000020ea 08 .
235 0x000020eb 00 .
236 0x000020ec 00 .
237 0x000020ed 00 .
238 0x000020ee 00 .
239 0x000020ef 00 .
