base_addr=0x00000400 byte_count=192
idx addr byte ascii
0 0x00000400 30 0
1 0x00000401 30 0
2 0x00000402 30 0
3 0x00000403 30 0
4 0x00000404 2c ,
5 0x00000405 32 2
6 0x00000406 37 7
7 0x00000407 34 4
8 0x00000408 35 5
9 0x00000409 31 1
10 0x0000040a 2c ,
11 0x0000040b 39 9
12 0x0000040c 31 1
13 0x0000040d 30 0
14 0x0000040e 32 2
15 0x0000040f 34 4
16 0x00000410 35 5
17 0x00000411 31 1
18 0x00000412 2c ,
19 0x00000413 33 3
20 0x00000414 2c ,
21 0x00000415 31 1
22 0x00000416 32 2
23 0x00000417 2c ,
24 0x00000418 35 5
25 0x00000419 32 2
26 0x0000041a 33 3
27 0x0000041b 34 4
28 0x0000041c 34 4
29 0x0000041d 2c ,
30 0x0000041e 36 6
31 0x0000041f 31 1
32 0x00000420 32 2
33 0x00000421 31 1
34 0x00000422 31 1
35 0x00000423 2c ,
36 0x00000424 39 9
37 0x00000425 37 7
38 0x00000426 35 5
39 0x00000427 2c ,
40 0x00000428 37 7
41 0x00000429 32 2
42 0x0000042a 2c ,
43 0x0000042b 31 1
44 0x0000042c 38 8
45 0x0000042d 2c ,
46 0x0000042e 30 0
47 0x0000042f 0a .
48 0x00000430 30 0
49 0x00000431 30 0
50 0x00000432 34 4
51 0x00000433 30 0
52 0x00000434 2c ,
53 0x00000435 32 2
54 0x00000436 37 7
55 0x00000437 34 4
56 0x00000438 35 5
57 0x00000439 31 1
58 0x0000043a 2c ,
59 0x0000043b 39 9
60 0x0000043c 31 1
61 0x0000043d 30 0
62 0x0000043e 32 2
63 0x0000043f 34 4
64 0x00000440 35 5
65 0x00000441 31 1
66 0x00000442 2c ,
67 0x00000443 33 3
68 0x00000444 2c ,
69 0x00000445 31 1
70 0x00000446 32 2
71 0x00000447 2c ,
72 0x00000448 35 5
73 0x00000449 32 2
74 0x0000044a 34 4
75 0x0000044b 30 0
76 0x0000044c 32 2
77 0x0000044d 2c ,
78 0x0000044e 36 6
79 0x0000044f 31 1
80 0x00000450 32 2
81 0x00000451 38 8
82 0x00000452 38 8
83 0x00000453 2c ,
84 0x00000454 39 9
85 0x00000455 37 7
86 0x00000456 35 5
87 0x00000457 2c ,
88 0x00000458 37 7
89 0x00000459 32 2
90 0x0000045a 2c ,
91 0x0000045b 31 1
92 0x0000045c 38 8
93 0x0000045d 2c ,
94 0x0000045e 30 0
95 0x0000045f 0a .
96 0x00000460 30 0
97 0x00000461 30 0
98 0x00000462 38 8
99 0x00000463 30 0
100 0x00000464 2c ,
101 0x00000465 32 2
102 0x00000466 37 7
103 0x00000467 34 4
104 0x00000468 35 5
105 0x00000469 31 1
106 0x0000046a 2c ,
107 0x0000046b 39 9
108 0x0000046c 31 1
109 0x0000046d 30 0
110 0x0000046e 32 2
111 0x0000046f 34 4
112 0x00000470 35 5
113 0x00000471 31 1
114 0x00000472 2c ,
115 0x00000473 33 3
116 0x00000474 2c ,
117 0x00000475 31 1
118 0x00000476 32 2
119 0x00000477 2c ,
120 0x00000478 35 5
121 0x00000479 32 2
122 0x0000047a 34 4
123 0x0000047b 39 9
124 0x0000047c 31 1
125 0x0000047d 2c ,
126 0x0000047e 36 6
127 0x0000047f 31 1
128 0x00000480 33 3
129 0x00000481 37 7
130 0x00000482 36 6
131 0x00000483 2c ,
132 0x00000484 39 9
133 0x00000485 37 7
134 0x00000486 36 6
135 0x00000487 2c ,
136 0x00000488 37 7
137 0x00000489 32 2
138 0x0000048a 2c ,
139 0x0000048b 31 1
140 0x0000048c 38 8
141 0x0000048d 2c ,
142 0x0000048e 30 0
143 0x0000048f 0a .
144 0x00000490 30 0
145 0x00000491 31 1
146 0x00000492 32 2
147 0x00000493 30 0
148 0x00000494 2c ,
149 0x00000495 32 2
150 0x00000496 37 7
151 0x00000497 34 4
152 0x00000498 35 5
153 0x00000499 31 1
154 0x0000049a 2c ,
155 0x0000049b 39 9
156 0x0000049c 31 1
157 0x0000049d 30 0
158 0x0000049e 32 2
159 0x0000049f 34 4
160 0x000004a0 35 5
161 0x000004a1 31 1
162 0x000004a2 2c ,
163 0x000004a3 33 3
164 0x000004a4 2c ,
165 0x000004a5 31 1
166 0x000004a6 32 2
167 0x000004a7 2c ,
168 0x000004a8 35 5
169 0x000004a9 32 2
170 0x000004aa 36 6
171 0x000004ab 31 1
172 0x000004ac 30 0
173 0x000004ad 2c ,
174 0x000004ae 36 6
175 0x000004af 31 1
176 0x000004b0 34 4
177 0x000004b1 39 9
178 0x000004b2 31 1
179 0x000004b3 2c ,
180 0x000004b4 39 9
181 0x000004b5 37 7
182 0x000004b6 36 6
183 0x000004b7 2c ,
184 0x000004b8 37 7
185 0x000004b9 33 3
186 0x000004ba 2c ,
187 0x000004bb 31 1
188 0x000004bc 38 8
189 0x000004bd 2c ,
190 0x000004be 30 0
191 0x000004bf 0a .
