base_addr=0x00002000 byte_count=1984
idx addr byte ascii
0 0x00002000 4c L
1 0x00002001 c1 .
2 0x00002002 3d =
3 0x00002003 c9 .
4 0x00002004 80 .
5 0x00002005 80 .
6 0x00002006 80 .
7 0x00002007 80 .
8 0x00002008 20  
9 0x00002009 95 .
10 0x0000200a 85 .
11 0x0000200b c9 .
12 0x0000200c d1 .
13 0x0000200d 81 .
14 0x0000200e 48 H
15 0x0000200f 78 x
16 0x00002010 85 .
17 0x00002011 d1 .
18 0x00002012 95 .
19 0x00002013 29 )
20 0x00002014 e4 .
21 0x00002015 e0 .
22 0x00002016 80 .
23 0x00002017 80 .
24 0x00002018 80 .
25 0x00002019 80 .
26 0x0000201a 80 .
27 0x0000201b 80 .
28 0x0000201c dc .
29 0x0000201d c8 .
30 0x0000201e 28 (
31 0x0000201f 78 x
32 0x00002020 e4 .
33 0x00002021 dc .
34 0x00002022 08 .
35 0x00002023 22 "
36 0x00002024 0a .
37 0x00002025 03 .
38 0x00002026 24 $
39 0x00002027 c0 .
40 0x00002028 94 .
41 0x00002029 9a .
42 0x0000202a 62 b
43 0x0000202b 53 S
44 0x0000202c 6e n
45 0x0000202d 06 .
46 0x0000202e 4e N
47 0x0000202f 78 x
48 0x00002030 c9 .
49 0x00002031 19 .
50 0x00002032 40 @
51 0x00002033 6f o
52 0x00002034 36 6
53 0x00002035 a0 .
54 0x00002036 27 '
55 0x00002037 7b {
56 0x00002038 40 @
57 0x00002039 7f .
58 0x0000203a 26 &
59 0x0000203b 88 .
60 0x0000203c 28 (
61 0x0000203d 0c .
62 0x0000203e 90 .
63 0x0000203f 78 x
64 0x00002040 10 .
65 0x00002041 53 S
66 0x00002042 68 h
67 0x00002043 8a .
68 0x00002044 4d M
69 0x00002045 b9 .
70 0x00002046 19 .
71 0x00002047 38 8
72 0x00002048 25 %
73 0x00002049 67 g
74 0x0000204a 7c |
75 0x0000204b a0 .
76 0x0000204c 37 7
77 0x0000204d 2b +
78 0x0000204e d0 .
79 0x0000204f 78 x
80 0x00002050 97 .
81 0x00002051 0d .
82 0x00002052 e8 .
83 0x00002053 89 .
84 0x00002054 20  
85 0x00002055 a2 .
86 0x00002056 40 @
87 0x00002057 40 @
88 0x00002058 02 .
89 0x00002059 4c L
90 0x0000205a 99 .
91 0x0000205b 29 )
92 0x0000205c 35 5
93 0x0000205d e4 .
94 0x0000205e 66 f
95 0x0000205f 78 x
96 0x00002060 e0 .
97 0x00002061 90 .
98 0x00002062 9c .
99 0x00002063 d1 .
100 0x00002064 05 .
101 0x00002065 ee .
102 0x00002066 4d M
103 0x00002067 0f .
104 0x00002068 c8 .
105 0x00002069 9f .
106 0x0000206a 06 .
107 0x0000206b 48 H
108 0x0000206c 04 .
109 0x0000206d 0f .
110 0x0000206e 85 .
111 0x0000206f 78 x
112 0x00002070 01 .
113 0x00002071 12 .
114 0x00002072 64 d
115 0x00002073 88 .
116 0x00002074 0d .
117 0x00002075 b9 .
118 0x00002076 21 !
119 0x00002077 38 8
120 0x00002078 24 $
121 0x00002079 67 g
122 0x0000207a a4 .
123 0x0000207b 0b .
124 0x0000207c 5c \
125 0x0000207d d3 .
126 0x0000207e 07 .
127 0x0000207f 78 x
128 0x00002080 6e n
129 0x00002081 d2 .
130 0x00002082 02 .
131 0x00002083 2b +
132 0x00002084 88 .
133 0x00002085 28 (
134 0x00002086 0c .
135 0x00002087 90 .
136 0x00002088 10 .
137 0x00002089 53 S
138 0x0000208a 68 h
139 0x0000208b 8a .
140 0x0000208c 0d .
141 0x0000208d b9 .
142 0x0000208e 21 !
143 0x0000208f 78 x
144 0x00002090 38 8
145 0x00002091 24 $
146 0x00002092 67 g
147 0x00002093 34 4
148 0x00002094 5d ]
149 0x00002095 60 `
150 0x00002096 7f .
151 0x00002097 3a :
152 0x00002098 c0 .
153 0x00002099 bd .
154 0x0000209a f4 .
155 0x0000209b 00 .
156 0x0000209c c1 .
157 0x0000209d 43 C
158 0x0000209e 61 a
159 0x0000209f 78 x
160 0x000020a0 80 .
161 0x000020a1 04 .
162 0x000020a2 98 .
163 0x000020a3 32 2
164 0x000020a4 53 S
165 0x000020a5 6a j
166 0x000020a6 c8 .
167 0x000020a7 cd .
168 0x000020a8 c8 .
169 0x000020a9 19 .
170 0x000020aa bd .
171 0x000020ab ac .
172 0x000020ac 40 @
173 0x000020ad 7f .
174 0x000020ae 36 6
175 0x000020af 78 x
176 0x000020b0 a0 .
177 0x000020b1 2f /
178 0x000020b2 3b ;
179 0x000020b3 20  
