Recursive Coverage Report Summary Data by instance

=================================================================================
=== Instance: /test_bench/dut
=== Design Unit: work.rv32_soc_top
=================================================================================
    Enabled Coverage              Bins      Hits    Misses  Coverage
    ----------------              ----      ----    ------  --------
    Branches                      2332      2184       148    93.65%
    Conditions                     807       674       133    83.51%
    Expressions                   1279      1169       110    91.39%
    FSM States                     188       188         0   100.00%
    FSM Transitions                460       307       153    66.73%
    Statements                    4324      4164       160    96.29%
    Toggles                      40544     34541      6003    85.19%


Total Coverage By Instance (filtered view): 88.11%

