base_addr=0x00004000 byte_count=2164
idx addr byte ascii
0 0x00004000 00 .
1 0x00004001 00 .
2 0x00004002 00 .
3 0x00004003 00 .
4 0x00004004 00 .
5 0x00004005 00 .
6 0x00004006 00 .
7 0x00004007 00 .
8 0x00004008 00 .
9 0x00004009 00 .
10 0x0000400a 00 .
11 0x0000400b 00 .
12 0x0000400c 00 .
13 0x0000400d 00 .
14 0x0000400e 00 .
15 0x0000400f 00 .
16 0x00004010 00 .
17 0x00004011 00 .
18 0x00004012 00 .
19 0x00004013 00 .
20 0x00004014 00 .
21 0x00004015 00 .
22 0x00004016 00 .
23 0x00004017 00 .
24 0x00004018 00 .
25 0x00004019 00 .
26 0x0000401a 00 .
27 0x0000401b 00 .
28 0x0000401c 00 .
29 0x0000401d 00 .
30 0x0000401e 00 .
31 0x0000401f 00 .
32 0x00004020 00 .
33 0x00004021 00 .
34 0x00004022 00 .
35 0x00004023 00 .
36 0x00004024 00 .
37 0x00004025 00 .
38 0x00004026 00 .
39 0x00004027 00 .
40 0x00004028 00 .
41 0x00004029 00 .
42 0x0000402a 00 .
43 0x0000402b 00 .
44 0x0000402c 00 .
45 0x0000402d 00 .
46 0x0000402e 00 .
47 0x0000402f 00 .
48 0x00004030 00 .
49 0x00004031 00 .
50 0x00004032 00 .
51 0x00004033 00 .
52 0x00004034 00 .
53 0x00004035 00 .
54 0x00004036 00 .
55 0x00004037 00 .
56 0x00004038 00 .
57 0x00004039 00 .
58 0x0000403a 00 .
59 0x0000403b 00 .
60 0x0000403c 00 .
61 0x0000403d 00 .
62 0x0000403e 00 .
63 0x0000403f 00 .
64 0x00004040 00 .
65 0x00004041 00 .
66 0x00004042 00 .
67 0x00004043 00 .
68 0x00004044 00 .
69 0x00004045 00 .
70 0x00004046 00 .
71 0x00004047 00 .
72 0x00004048 00 .
73 0x00004049 00 .
74 0x0000404a 00 .
75 0x0000404b 00 .
76 0x0000404c 00 .
77 0x0000404d 00 .
78 0x0000404e 00 .
79 0x0000404f 00 .
80 0x00004050 00 .
81 0x00004051 00 .
82 0x00004052 00 .
83 0x00004053 00 .
84 0x00004054 00 .
85 0x00004055 00 .
86 0x00004056 00 .
87 0x00004057 00 .
88 0x00004058 00 .
89 0x00004059 00 .
90 0x0000405a 00 .
91 0x0000405b 00 .
92 0x0000405c 00 .
93 0x0000405d 00 .
94 0x0000405e 00 .
95 0x0000405f 00 .
96 0x00004060 00 .
97 0x00004061 00 .
98 0x00004062 00 .
99 0x00004063 00 .
100 0x00004064 00 .
101 0x00004065 00 .
102 0x00004066 00 .
103 0x00004067 00 .
104 0x00004068 00 .
105 0x00004069 00 .
106 0x0000406a 00 .
107 0x0000406b 00 .
108 0x0000406c 00 .
109 0x0000406d 00 .
110 0x0000406e 00 .
111 0x0000406f 00 .
112 0x00004070 00 .
113 0x00004071 00 .
114 0x00004072 00 .
115 0x00004073 00 .
116 0x00004074 00 .
117 0x00004075 00 .
118 0x00004076 00 .
119 0x00004077 00 .
120 0x00004078 00 .
121 0x00004079 00 .
122 0x0000407a 00 .
123 0x0000407b 00 .
124 0x0000407c 00 .
125 0x0000407d 00 .
126 0x0000407e 00 .
127 0x0000407f 00 .
128 0x00004080 00 .
129 0x00004081 00 .
