base_addr=0x00004000 byte_count=504
idx addr byte ascii
0 0x00004000 30 0
1 0x00004001 31 1
2 0x00004002 32 2
3 0x00004003 33 3
4 0x00004004 34 4
5 0x00004005 35 5
6 0x00004006 36 6
7 0x00004007 37 7
8 0x00004008 38 8
9 0x00004009 39 9
10 0x0000400a 41 A
11 0x0000400b 42 B
12 0x0000400c 43 C
13 0x0000400d 44 D
14 0x0000400e 45 E
15 0x0000400f 46 F
16 0x00004010 47 G
17 0x00004011 48 H
18 0x00004012 49 I
19 0x00004013 4a J
20 0x00004014 4b K
21 0x00004015 4c L
22 0x00004016 4d M
23 0x00004017 4e N
24 0x00004018 4f O
25 0x00004019 50 P
26 0x0000401a 51 Q
27 0x0000401b 52 R
28 0x0000401c 53 S
29 0x0000401d 54 T
30 0x0000401e 55 U
31 0x0000401f 56 V
32 0x00004020 57 W
33 0x00004021 58 X
34 0x00004022 59 Y
35 0x00004023 5a Z
36 0x00004024 61 a
37 0x00004025 62 b
38 0x00004026 63 c
39 0x00004027 64 d
40 0x00004028 65 e
41 0x00004029 66 f
42 0x0000402a 67 g
43 0x0000402b 68 h
44 0x0000402c 69 i
45 0x0000402d 6a j
46 0x0000402e 6b k
47 0x0000402f 6c l
48 0x00004030 6d m
49 0x00004031 6e n
50 0x00004032 6f o
51 0x00004033 70 p
52 0x00004034 71 q
53 0x00004035 72 r
54 0x00004036 73 s
55 0x00004037 74 t
56 0x00004038 75 u
57 0x00004039 76 v
58 0x0000403a 77 w
59 0x0000403b 78 x
60 0x0000403c 79 y
61 0x0000403d 7a z
62 0x0000403e 0a .
63 0x0000403f 30 0
64 0x00004040 31 1
65 0x00004041 32 2
66 0x00004042 33 3
67 0x00004043 34 4
68 0x00004044 35 5
69 0x00004045 36 6
70 0x00004046 37 7
71 0x00004047 38 8
72 0x00004048 39 9
73 0x00004049 41 A
74 0x0000404a 42 B
75 0x0000404b 43 C
76 0x0000404c 44 D
77 0x0000404d 45 E
78 0x0000404e 46 F
79 0x0000404f 47 G
80 0x00004050 48 H
81 0x00004051 49 I
82 0x00004052 4a J
83 0x00004053 4b K
84 0x00004054 4c L
85 0x00004055 4d M
86 0x00004056 4e N
87 0x00004057 4f O
88 0x00004058 50 P
89 0x00004059 51 Q
90 0x0000405a 52 R
91 0x0000405b 53 S
92 0x0000405c 54 T
93 0x0000405d 55 U
94 0x0000405e 56 V
95 0x0000405f 57 W
96 0x00004060 58 X
97 0x00004061 59 Y
98 0x00004062 5a Z
99 0x00004063 61 a
100 0x00004064 62 b
101 0x00004065 63 c
102 0x00004066 64 d
103 0x00004067 65 e
104 0x00004068 66 f
105 0x00004069 67 g
106 0x0000406a 68 h
107 0x0000406b 69 i
108 0x0000406c 6a j
109 0x0000406d 6b k
110 0x0000406e 6c l
111 0x0000406f 6d m
112 0x00004070 6e n
113 0x00004071 6f o
114 0x00004072 70 p
115 0x00004073 71 q
116 0x00004074 72 r
117 0x00004075 73 s
118 0x00004076 74 t
119 0x00004077 75 u
120 0x00004078 76 v
121 0x00004079 77 w
122 0x0000407a 78 x
123 0x0000407b 79 y
124 0x0000407c 7a z
125 0x0000407d 0a .
126 0x0000407e 30 0
127 0x0000407f 31 1
128 0x00004080 32 2
129 0x00004081 33 3
130 0x00004082 34 4
131 0x00004083 35 5
132 0x00004084 36 6
133 0x00004085 37 7
134 0x00004086 38 8
135 0x00004087 39 9
136 0x00004088 41 A
137 0x00004089 42 B
138 0x0000408a 43 C
139 0x0000408b 44 D
140 0x0000408c 45 E
141 0x0000408d 46 F
142 0x0000408e 47 G
143 0x0000408f 48 H
144 0x00004090 49 I
145 0x00004091 4a J
146 0x00004092 4b K
147 0x00004093 4c L
148 0x00004094 4d M
149 0x00004095 4e N
150 0x00004096 4f O
151 0x00004097 50 P
152 0x00004098 51 Q
153 0x00004099 52 R
154 0x0000409a 53 S
155 0x0000409b 54 T
156 0x0000409c 55 U
157 0x0000409d 56 V
158 0x0000409e 57 W
159 0x0000409f 58 X
160 0x000040a0 59 Y
161 0x000040a1 5a Z
162 0x000040a2 61 a
163 0x000040a3 62 b
164 0x000040a4 63 c
165 0x000040a5 64 d
166 0x000040a6 65 e
167 0x000040a7 66 f
168 0x000040a8 67 g
169 0x000040a9 68 h
170 0x000040aa 69 i
171 0x000040ab 6a j
172 0x000040ac 6b k
173 0x000040ad 6c l
174 0x000040ae 6d m
175 0x000040af 6e n
176 0x000040b0 6f o
177 0x000040b1 70 p
178 0x000040b2 71 q
179 0x000040b3 72 r
180 0x000040b4 73 s
181 0x000040b5 74 t
182 0x000040b6 75 u
183 0x000040b7 76 v
184 0x000040b8 77 w
185 0x000040b9 78 x
186 0x000040ba 79 y
187 0x000040bb 7a z
188 0x000040bc 0a .
189 0x000040bd 30 0
190 0x000040be 31 1
191 0x000040bf 32 2
192 0x000040c0 33 3
193 0x000040c1 34 4
194 0x000040c2 35 5
195 0x000040c3 36 6
196 0x000040c4 37 7
197 0x000040c5 38 8
198 0x000040c6 39 9
199 0x000040c7 41 A
200 0x000040c8 42 B
201 0x000040c9 43 C
202 0x000040ca 44 D
203 0x000040cb 45 E
204 0x000040cc 46 F
205 0x000040cd 47 G
206 0x000040ce 48 H
207 0x000040cf 49 I
208 0x000040d0 4a J
209 0x000040d1 4b K
210 0x000040d2 4c L
211 0x000040d3 4d M
212 0x000040d4 4e N
213 0x000040d5 4f O
214 0x000040d6 50 P
215 0x000040d7 51 Q
216 0x000040d8 52 R
217 0x000040d9 53 S
218 0x000040da 54 T
219 0x000040db 55 U
220 0x000040dc 56 V
221 0x000040dd 57 W
222 0x000040de 58 X
223 0x000040df 59 Y
224 0x000040e0 5a Z
225 0x000040e1 61 a
226 0x000040e2 62 b
227 0x000040e3 63 c
228 0x000040e4 64 d
229 0x000040e5 65 e
230 0x000040e6 66 f
231 0x000040e7 67 g
232 0x000040e8 68 h
233 0x000040e9 69 i
234 0x000040ea 6a j
235 0x000040eb 6b k
236 0x000040ec 6c l
237 0x000040ed 6d m
238 0x000040ee 6e n
239 0x000040ef 6f o
240 0x000040f0 70 p
241 0x000040f1 71 q
242 0x000040f2 72 r
243 0x000040f3 73 s
244 0x000040f4 74 t
245 0x000040f5 75 u
246 0x000040f6 76 v
247 0x000040f7 77 w
248 0x000040f8 78 x
249 0x000040f9 79 y
250 0x000040fa 7a z
251 0x000040fb 0a .
252 0x000040fc 30 0
253 0x000040fd 31 1
254 0x000040fe 32 2
255 0x000040ff 33 3
256 0x00004100 34 4
257 0x00004101 35 5
258 0x00004102 36 6
259 0x00004103 37 7
260 0x00004104 38 8
261 0x00004105 39 9
262 0x00004106 41 A
263 0x00004107 42 B
264 0x00004108 43 C
265 0x00004109 44 D
266 0x0000410a 45 E
267 0x0000410b 46 F
268 0x0000410c 47 G
269 0x0000410d 48 H
270 0x0000410e 49 I
271 0x0000410f 4a J
272 0x00004110 4b K
273 0x00004111 4c L
274 0x00004112 4d M
275 0x00004113 4e N
276 0x00004114 4f O
277 0x00004115 50 P
278 0x00004116 51 Q
279 0x00004117 52 R
280 0x00004118 53 S
281 0x00004119 54 T
282 0x0000411a 55 U
283 0x0000411b 56 V
284 0x0000411c 57 W
285 0x0000411d 58 X
286 0x0000411e 59 Y
287 0x0000411f 5a Z
288 0x00004120 61 a
289 0x00004121 62 b
290 0x00004122 63 c
291 0x00004123 64 d
292 0x00004124 65 e
293 0x00004125 66 f
294 0x00004126 67 g
295 0x00004127 68 h
296 0x00004128 69 i
297 0x00004129 6a j
298 0x0000412a 6b k
299 0x0000412b 6c l
300 0x0000412c 6d m
301 0x0000412d 6e n
302 0x0000412e 6f o
303 0x0000412f 70 p
304 0x00004130 71 q
305 0x00004131 72 r
306 0x00004132 73 s
307 0x00004133 74 t
308 0x00004134 75 u
309 0x00004135 76 v
310 0x00004136 77 w
311 0x00004137 78 x
312 0x00004138 79 y
313 0x00004139 7a z
314 0x0000413a 0a .
315 0x0000413b 30 0
316 0x0000413c 31 1
317 0x0000413d 32 2
318 0x0000413e 33 3
319 0x0000413f 34 4
320 0x00004140 35 5
321 0x00004141 36 6
322 0x00004142 37 7
323 0x00004143 38 8
324 0x00004144 39 9
325 0x00004145 41 A
326 0x00004146 42 B
327 0x00004147 43 C
328 0x00004148 44 D
329 0x00004149 45 E
330 0x0000414a 46 F
331 0x0000414b 47 G
332 0x0000414c 48 H
333 0x0000414d 49 I
334 0x0000414e 4a J
335 0x0000414f 4b K
336 0x00004150 4c L
337 0x00004151 4d M
338 0x00004152 4e N
339 0x00004153 4f O
340 0x00004154 50 P
341 0x00004155 51 Q
342 0x00004156 52 R
343 0x00004157 53 S
344 0x00004158 54 T
345 0x00004159 55 U
346 0x0000415a 56 V
347 0x0000415b 57 W
348 0x0000415c 58 X
349 0x0000415d 59 Y
350 0x0000415e 5a Z
351 0x0000415f 61 a
352 0x00004160 62 b
353 0x00004161 63 c
354 0x00004162 64 d
355 0x00004163 65 e
356 0x00004164 66 f
357 0x00004165 67 g
358 0x00004166 68 h
359 0x00004167 69 i
360 0x00004168 6a j
361 0x00004169 6b k
362 0x0000416a 6c l
363 0x0000416b 6d m
364 0x0000416c 6e n
365 0x0000416d 6f o
366 0x0000416e 70 p
367 0x0000416f 71 q
368 0x00004170 72 r
369 0x00004171 73 s
370 0x00004172 74 t
371 0x00004173 75 u
372 0x00004174 76 v
373 0x00004175 77 w
374 0x00004176 78 x
375 0x00004177 79 y
376 0x00004178 7a z
377 0x00004179 0a .
378 0x0000417a 30 0
379 0x0000417b 31 1
380 0x0000417c 32 2
381 0x0000417d 33 3
382 0x0000417e 34 4
383 0x0000417f 35 5
384 0x00004180 36 6
385 0x00004181 37 7
386 0x00004182 38 8
387 0x00004183 39 9
388 0x00004184 41 A
389 0x00004185 42 B
390 0x00004186 43 C
391 0x00004187 44 D
392 0x00004188 45 E
393 0x00004189 46 F
394 0x0000418a 47 G
395 0x0000418b 48 H
396 0x0000418c 49 I
397 0x0000418d 4a J
398 0x0000418e 4b K
399 0x0000418f 4c L
400 0x00004190 4d M
401 0x00004191 4e N
402 0x00004192 4f O
403 0x00004193 50 P
404 0x00004194 51 Q
405 0x00004195 52 R
406 0x00004196 53 S
407 0x00004197 54 T
408 0x00004198 55 U
409 0x00004199 56 V
410 0x0000419a 57 W
411 0x0000419b 58 X
412 0x0000419c 59 Y
413 0x0000419d 5a Z
414 0x0000419e 61 a
415 0x0000419f 62 b
416 0x000041a0 63 c
417 0x000041a1 64 d
418 0x000041a2 65 e
419 0x000041a3 66 f
420 0x000041a4 67 g
421 0x000041a5 68 h
422 0x000041a6 69 i
423 0x000041a7 6a j
424 0x000041a8 6b k
425 0x000041a9 6c l
426 0x000041aa 6d m
427 0x000041ab 6e n
428 0x000041ac 6f o
429 0x000041ad 70 p
430 0x000041ae 71 q
431 0x000041af 72 r
432 0x000041b0 73 s
433 0x000041b1 74 t
434 0x000041b2 75 u
435 0x000041b3 76 v
436 0x000041b4 77 w
437 0x000041b5 78 x
438 0x000041b6 79 y
439 0x000041b7 7a z
440 0x000041b8 0a .
441 0x000041b9 30 0
442 0x000041ba 31 1
443 0x000041bb 32 2
444 0x000041bc 33 3
445 0x000041bd 34 4
446 0x000041be 35 5
447 0x000041bf 36 6
448 0x000041c0 37 7
449 0x000041c1 38 8
450 0x000041c2 39 9
451 0x000041c3 41 A
452 0x000041c4 42 B
453 0x000041c5 43 C
454 0x000041c6 44 D
455 0x000041c7 45 E
456 0x000041c8 46 F
