base_addr=0x00000400 byte_count=504
idx addr byte ascii
0 0x00000400 30 0
1 0x00000401 31 1
2 0x00000402 32 2
3 0x00000403 33 3
4 0x00000404 34 4
5 0x00000405 35 5
6 0x00000406 36 6
7 0x00000407 37 7
8 0x00000408 38 8
9 0x00000409 39 9
10 0x0000040a 41 A
11 0x0000040b 42 B
12 0x0000040c 43 C
13 0x0000040d 44 D
14 0x0000040e 45 E
15 0x0000040f 46 F
16 0x00000410 47 G
17 0x00000411 48 H
18 0x00000412 49 I
19 0x00000413 4a J
20 0x00000414 4b K
21 0x00000415 4c L
22 0x00000416 4d M
23 0x00000417 4e N
24 0x00000418 4f O
25 0x00000419 50 P
26 0x0000041a 51 Q
27 0x0000041b 52 R
28 0x0000041c 53 S
29 0x0000041d 54 T
30 0x0000041e 55 U
31 0x0000041f 56 V
32 0x00000420 57 W
33 0x00000421 58 X
34 0x00000422 59 Y
35 0x00000423 5a Z
36 0x00000424 61 a
37 0x00000425 62 b
38 0x00000426 63 c
39 0x00000427 64 d
40 0x00000428 65 e
41 0x00000429 66 f
42 0x0000042a 67 g
43 0x0000042b 68 h
44 0x0000042c 69 i
45 0x0000042d 6a j
46 0x0000042e 6b k
47 0x0000042f 6c l
48 0x00000430 6d m
49 0x00000431 6e n
50 0x00000432 6f o
51 0x00000433 70 p
52 0x00000434 71 q
53 0x00000435 72 r
54 0x00000436 73 s
55 0x00000437 74 t
56 0x00000438 75 u
57 0x00000439 76 v
58 0x0000043a 77 w
59 0x0000043b 78 x
60 0x0000043c 79 y
61 0x0000043d 7a z
62 0x0000043e 0a .
63 0x0000043f 30 0
64 0x00000440 31 1
65 0x00000441 32 2
66 0x00000442 33 3
67 0x00000443 34 4
68 0x00000444 35 5
69 0x00000445 36 6
70 0x00000446 37 7
71 0x00000447 38 8
72 0x00000448 39 9
73 0x00000449 41 A
74 0x0000044a 42 B
75 0x0000044b 43 C
76 0x0000044c 44 D
77 0x0000044d 45 E
78 0x0000044e 46 F
79 0x0000044f 47 G
80 0x00000450 48 H
81 0x00000451 49 I
82 0x00000452 4a J
83 0x00000453 4b K
84 0x00000454 4c L
85 0x00000455 4d M
86 0x00000456 4e N
87 0x00000457 4f O
88 0x00000458 50 P
89 0x00000459 51 Q
90 0x0000045a 52 R
91 0x0000045b 53 S
92 0x0000045c 54 T
93 0x0000045d 55 U
94 0x0000045e 56 V
95 0x0000045f 57 W
96 0x00000460 58 X
97 0x00000461 59 Y
98 0x00000462 5a Z
99 0x00000463 61 a
100 0x00000464 62 b
101 0x00000465 63 c
102 0x00000466 64 d
103 0x00000467 65 e
104 0x00000468 66 f
105 0x00000469 67 g
106 0x0000046a 68 h
107 0x0000046b 69 i
108 0x0000046c 6a j
109 0x0000046d 6b k
110 0x0000046e 6c l
111 0x0000046f 6d m
112 0x00000470 6e n
113 0x00000471 6f o
114 0x00000472 70 p
115 0x00000473 71 q
116 0x00000474 72 r
117 0x00000475 73 s
118 0x00000476 74 t
119 0x00000477 75 u
120 0x00000478 76 v
121 0x00000479 77 w
122 0x0000047a 78 x
123 0x0000047b 79 y
124 0x0000047c 7a z
125 0x0000047d 0a .
126 0x0000047e 30 0
127 0x0000047f 31 1
128 0x00000480 32 2
129 0x00000481 33 3
130 0x00000482 34 4
131 0x00000483 35 5
132 0x00000484 36 6
133 0x00000485 37 7
134 0x00000486 38 8
135 0x00000487 39 9
136 0x00000488 41 A
137 0x00000489 42 B
138 0x0000048a 43 C
139 0x0000048b 44 D
140 0x0000048c 45 E
141 0x0000048d 46 F
142 0x0000048e 47 G
143 0x0000048f 48 H
144 0x00000490 49 I
145 0x00000491 4a J
146 0x00000492 4b K
147 0x00000493 4c L
148 0x00000494 4d M
149 0x00000495 4e N
150 0x00000496 4f O
151 0x00000497 50 P
152 0x00000498 51 Q
153 0x00000499 52 R
154 0x0000049a 53 S
155 0x0000049b 54 T
156 0x0000049c 55 U
157 0x0000049d 56 V
158 0x0000049e 57 W
159 0x0000049f 58 X
160 0x000004a0 59 Y
161 0x000004a1 5a Z
162 0x000004a2 61 a
163 0x000004a3 62 b
164 0x000004a4 63 c
165 0x000004a5 64 d
166 0x000004a6 65 e
167 0x000004a7 66 f
168 0x000004a8 67 g
169 0x000004a9 68 h
170 0x000004aa 69 i
171 0x000004ab 6a j
172 0x000004ac 6b k
173 0x000004ad 6c l
174 0x000004ae 6d m
175 0x000004af 6e n
176 0x000004b0 6f o
177 0x000004b1 70 p
178 0x000004b2 71 q
179 0x000004b3 72 r
180 0x000004b4 73 s
181 0x000004b5 74 t
182 0x000004b6 75 u
183 0x000004b7 76 v
184 0x000004b8 77 w
185 0x000004b9 78 x
186 0x000004ba 79 y
187 0x000004bb 7a z
188 0x000004bc 0a .
189 0x000004bd 30 0
190 0x000004be 31 1
191 0x000004bf 32 2
192 0x000004c0 33 3
193 0x000004c1 34 4
194 0x000004c2 35 5
195 0x000004c3 36 6
196 0x000004c4 37 7
197 0x000004c5 38 8
198 0x000004c6 39 9
199 0x000004c7 41 A
200 0x000004c8 42 B
201 0x000004c9 43 C
202 0x000004ca 44 D
203 0x000004cb 45 E
204 0x000004cc 46 F
205 0x000004cd 47 G
206 0x000004ce 48 H
207 0x000004cf 49 I
208 0x000004d0 4a J
209 0x000004d1 4b K
210 0x000004d2 4c L
211 0x000004d3 4d M
212 0x000004d4 4e N
213 0x000004d5 4f O
214 0x000004d6 50 P
215 0x000004d7 51 Q
216 0x000004d8 52 R
217 0x000004d9 53 S
218 0x000004da 54 T
219 0x000004db 55 U
220 0x000004dc 56 V
221 0x000004dd 57 W
222 0x000004de 58 X
223 0x000004df 59 Y
224 0x000004e0 5a Z
225 0x000004e1 61 a
226 0x000004e2 62 b
227 0x000004e3 63 c
228 0x000004e4 64 d
229 0x000004e5 65 e
230 0x000004e6 66 f
