base_addr=0x00002000 byte_count=544
idx addr byte ascii
0 0x00002000 40 @
1 0x00002001 fa .
2 0x00002002 4e N
3 0x00002003 bb .
4 0x00002004 23 #
5 0x00002005 7f .
6 0x00002006 b3 .
7 0x00002007 5f _
8 0x00002008 fd .
9 0x00002009 f5 .
10 0x0000200a c9 .
11 0x0000200b 00 .
12 0x0000200c b9 .
13 0x0000200d 84 .
14 0x0000200e f8 .
15 0x0000200f 48 H
16 0x00002010 92 .
17 0x00002011 ab .
18 0x00002012 02 .
19 0x00002013 ad .
20 0x00002014 7f .
21 0x00002015 49 I
22 0x00002016 31 1
23 0x00002017 74 t
24 0x00002018 42 B
25 0x00002019 75 u
26 0x0000201a 6a j
27 0x0000201b 92 .
28 0x0000201c 3b ;
29 0x0000201d 9c .
30 0x0000201e c2 .
31 0x0000201f de .
32 0x00002020 ad .
33 0x00002021 6e n
34 0x00002022 39 9
35 0x00002023 7a z
36 0x00002024 03 .
37 0x00002025 ef .
38 0x00002026 b9 .
39 0x00002027 0a .
40 0x00002028 5a Z
41 0x00002029 36 6
42 0x0000202a d5 .
43 0x0000202b 1b .
44 0x0000202c ad .
45 0x0000202d 01 .
46 0x0000202e af .
47 0x0000202f bf .
48 0x00002030 be .
49 0x00002031 95 .
50 0x00002032 8f .
51 0x00002033 4e N
52 0x00002034 61 a
53 0x00002035 47 G
54 0x00002036 ad .
55 0x00002037 a6 .
56 0x00002038 36 6
57 0x00002039 a6 .
58 0x0000203a 56 V
59 0x0000203b 1f .
60 0x0000203c 32 2
61 0x0000203d 28 (
62 0x0000203e ac .
63 0x0000203f 50 P
64 0x00002040 80 .
65 0x00002041 b1 .
66 0x00002042 be .
67 0x00002043 0b .
68 0x00002044 fe .
69 0x00002045 c5 .
70 0x00002046 e7 .
71 0x00002047 cd .
72 0x00002048 8f .
73 0x00002049 c6 .
74 0x0000204a 88 .
75 0x0000204b 20  
76 0x0000204c 82 .
77 0x0000204d a8 .
78 0x0000204e 19 .
79 0x0000204f 38 8
80 0x00002050 35 5
81 0x00002051 ba .
82 0x00002052 6c l
83 0x00002053 8c .
84 0x00002054 80 .
85 0x00002055 23 #
86 0x00002056 f9 .
87 0x00002057 1c .
88 0x00002058 8c .
89 0x00002059 a7 .
90 0x0000205a 25 %
