base_addr=0x00002000 byte_count=992
idx addr byte ascii
0 0x00002000 68 h
1 0x00002001 90 .
2 0x00002002 2f /
3 0x00002003 7d }
4 0x00002004 af .
5 0x00002005 a0 .
6 0x00002006 49 I
7 0x00002007 eb .
8 0x00002008 73 s
9 0x00002009 f8 .
10 0x0000200a 53 S
11 0x0000200b 31 1
12 0x0000200c ce .
13 0x0000200d 11 .
14 0x0000200e a0 .
15 0x0000200f 74 t
16 0x00002010 da .
17 0x00002011 a0 .
18 0x00002012 f5 .
19 0x00002013 76 v
20 0x00002014 c3 .
21 0x00002015 71 q
22 0x00002016 ca .
23 0x00002017 87 .
24 0x00002018 52 R
25 0x00002019 43 C
26 0x0000201a 94 .
27 0x0000201b 4d M
28 0x0000201c e3 .
29 0x0000201d 46 F
30 0x0000201e 65 e
31 0x0000201f 93 .
32 0x00002020 88 .
33 0x00002021 2e .
34 0x00002022 c2 .
35 0x00002023 b7 .
36 0x00002024 cd .
37 0x00002025 4b K
38 0x00002026 cd .
39 0x00002027 ad .
40 0x00002028 ef .
41 0x00002029 53 S
42 0x0000202a 65 e
43 0x0000202b 98 .
44 0x0000202c b7 .
45 0x0000202d 97 .
46 0x0000202e d1 .
47 0x0000202f 31 1
48 0x00002030 da .
49 0x00002031 42 B
50 0x00002032 93 .
51 0x00002033 cc .
52 0x00002034 c4 .
53 0x00002035 bd .
54 0x00002036 bf .
55 0x00002037 b1 .
56 0x00002038 62 b
57 0x00002039 35 5
58 0x0000203a ee .
59 0x0000203b 94 .
60 0x0000203c 6e n
61 0x0000203d 1c .
62 0x0000203e af .
63 0x0000203f 37 7
64 0x00002040 03 .
65 0x00002041 f9 .
66 0x00002042 16 .
67 0x00002043 19 .
68 0x00002044 c7 .
69 0x00002045 5a Z
70 0x00002046 57 W
71 0x00002047 bf .
72 0x00002048 af .
73 0x00002049 fd .
74 0x0000204a 86 .
75 0x0000204b 2d -
76 0x0000204c f6 .
77 0x0000204d 88 .
78 0x0000204e 07 .
79 0x0000204f 8e .
80 0x00002050 0f .
81 0x00002051 29 )
82 0x00002052 0c .
83 0x00002053 08 .
84 0x00002054 74 t
85 0x00002055 44 D
86 0x00002056 ca .
87 0x00002057 1e .
88 0x00002058 60 `
89 0x00002059 96 .
90 0x0000205a 85 .
91 0x0000205b b8 .
92 0x0000205c f6 .
93 0x0000205d 66 f
94 0x0000205e 9c .
95 0x0000205f fc .
96 0x00002060 1f .
97 0x00002061 6f o
98 0x00002062 2c ,
99 0x00002063 1e .
100 0x00002064 75 u
101 0x00002065 a3 .
102 0x00002066 58 X
103 0x00002067 31 1
104 0x00002068 6d m
105 0x00002069 58 X
106 0x0000206a b4 .
107 0x0000206b b0 .
108 0x0000206c 7a z
109 0x0000206d 64 d
110 0x0000206e 86 .
111 0x0000206f 93 .
112 0x00002070 50 P
113 0x00002071 f9 .
114 0x00002072 43 C
115 0x00002073 f2 .
116 0x00002074 cf .
117 0x00002075 d7 .
118 0x00002076 0a .
119 0x00002077 8a .
120 0x00002078 b9 .
121 0x00002079 f3 .
122 0x0000207a a9 .
123 0x0000207b a7 .
124 0x0000207c 3b ;
125 0x0000207d d9 .
126 0x0000207e 08 .
127 0x0000207f f6 .
128 0x00002080 c8 .
129 0x00002081 e9 .
130 0x00002082 42 B
131 0x00002083 a8 .
132 0x00002084 42 B
133 0x00002085 13 .
134 0x00002086 a5 .
135 0x00002087 ad .
136 0x00002088 32 2
137 0x00002089 6c l
138 0x0000208a d8 .
139 0x0000208b a0 .
140 0x0000208c 7f .
141 0x0000208d 87 .
142 0x0000208e a3 .
143 0x0000208f d2 .
144 0x00002090 aa .
145 0x00002091 7b {
146 0x00002092 65 e
147 0x00002093 eb .
148 0x00002094 42 B
149 0x00002095 0a .
150 0x00002096 db .
151 0x00002097 80 .
152 0x00002098 66 f
153 0x00002099 78 x
154 0x0000209a 2c ,
155 0x0000209b 90 .
156 0x0000209c e0 .
157 0x0000209d 2a *
158 0x0000209e 81 .
159 0x0000209f 27 '
160 0x000020a0 90 .
161 0x000020a1 2f /
162 0x000020a2 a8 .
163 0x000020a3 bc .
164 0x000020a4 d9 .
165 0x000020a5 6e n
166 0x000020a6 0a .
167 0x000020a7 de .
168 0x000020a8 62 b
