base_addr=0x00004000 byte_count=242
idx addr byte ascii
0 0x00004000 69 i
1 0x00004001 61 a
2 0x00004002 61 a
3 0x00004003 61 a
4 0x00004004 61 a
5 0x00004005 61 a
6 0x00004006 61 a
7 0x00004007 61 a
8 0x00004008 61 a
9 0x00004009 61 a
10 0x0000400a 61 a
11 0x0000400b 61 a
12 0x0000400c 61 a
13 0x0000400d 61 a
14 0x0000400e 61 a
15 0x0000400f 61 a
16 0x00004010 61 a
17 0x00004011 61 a
18 0x00004012 61 a
19 0x00004013 61 a
20 0x00004014 61 a
21 0x00004015 61 a
22 0x00004016 61 a
23 0x00004017 61 a
24 0x00004018 61 a
25 0x00004019 61 a
26 0x0000401a 61 a
27 0x0000401b 61 a
28 0x0000401c 61 a
29 0x0000401d 61 a
30 0x0000401e 61 a
31 0x0000401f 61 a
32 0x00004020 61 a
33 0x00004021 61 a
34 0x00004022 61 a
35 0x00004023 61 a
36 0x00004024 61 a
37 0x00004025 61 a
38 0x00004026 61 a
39 0x00004027 61 a
40 0x00004028 61 a
41 0x00004029 61 a
42 0x0000402a 61 a
43 0x0000402b 61 a
44 0x0000402c 61 a
45 0x0000402d 61 a
46 0x0000402e 61 a
47 0x0000402f 61 a
48 0x00004030 61 a
49 0x00004031 61 a
50 0x00004032 61 a
51 0x00004033 61 a
52 0x00004034 61 a
53 0x00004035 61 a
54 0x00004036 61 a
55 0x00004037 61 a
56 0x00004038 61 a
57 0x00004039 61 a
58 0x0000403a 61 a
59 0x0000403b 61 a
60 0x0000403c 61 a
61 0x0000403d 61 a
62 0x0000403e 61 a
63 0x0000403f 61 a
64 0x00004040 61 a
65 0x00004041 61 a
66 0x00004042 61 a
67 0x00004043 61 a
68 0x00004044 61 a
69 0x00004045 61 a
70 0x00004046 0a .
71 0x00004047 62 b
72 0x00004048 62 b
73 0x00004049 62 b
74 0x0000404a 62 b
75 0x0000404b 62 b
76 0x0000404c 62 b
77 0x0000404d 62 b
78 0x0000404e 62 b
79 0x0000404f 62 b
80 0x00004050 62 b
81 0x00004051 62 b
82 0x00004052 62 b
83 0x00004053 62 b
84 0x00004054 62 b
85 0x00004055 62 b
86 0x00004056 62 b
87 0x00004057 62 b
88 0x00004058 62 b
89 0x00004059 62 b
90 0x0000405a 62 b
91 0x0000405b 62 b
92 0x0000405c 62 b
93 0x0000405d 62 b
94 0x0000405e 62 b
95 0x0000405f 62 b
96 0x00004060 62 b
97 0x00004061 62 b
98 0x00004062 62 b
99 0x00004063 62 b
100 0x00004064 62 b
101 0x00004065 62 b
102 0x00004066 62 b
103 0x00004067 62 b
104 0x00004068 62 b
105 0x00004069 62 b
106 0x0000406a 62 b
107 0x0000406b 76 v
