base_addr=0x00002000 byte_count=242
idx addr byte ascii
0 0x00002000 69 i
1 0x00002001 61 a
2 0x00002002 61 a
3 0x00002003 61 a
4 0x00002004 61 a
5 0x00002005 61 a
6 0x00002006 61 a
7 0x00002007 61 a
8 0x00002008 61 a
9 0x00002009 61 a
10 0x0000200a 61 a
11 0x0000200b 61 a
12 0x0000200c 61 a
13 0x0000200d 61 a
14 0x0000200e 61 a
15 0x0000200f 61 a
16 0x00002010 61 a
17 0x00002011 61 a
18 0x00002012 61 a
19 0x00002013 61 a
20 0x00002014 61 a
21 0x00002015 61 a
22 0x00002016 61 a
23 0x00002017 61 a
24 0x00002018 61 a
25 0x00002019 61 a
26 0x0000201a 61 a
27 0x0000201b 61 a
28 0x0000201c 61 a
29 0x0000201d 61 a
30 0x0000201e 61 a
31 0x0000201f 61 a
32 0x00002020 61 a
33 0x00002021 61 a
34 0x00002022 61 a
35 0x00002023 61 a
36 0x00002024 61 a
37 0x00002025 61 a
38 0x00002026 61 a
39 0x00002027 61 a
40 0x00002028 61 a
41 0x00002029 61 a
42 0x0000202a 61 a
43 0x0000202b 61 a
44 0x0000202c 61 a
45 0x0000202d 61 a
46 0x0000202e 61 a
47 0x0000202f 61 a
48 0x00002030 61 a
49 0x00002031 61 a
50 0x00002032 61 a
51 0x00002033 61 a
52 0x00002034 61 a
53 0x00002035 61 a
54 0x00002036 61 a
55 0x00002037 61 a
56 0x00002038 61 a
57 0x00002039 61 a
58 0x0000203a 61 a
59 0x0000203b 61 a
60 0x0000203c 61 a
61 0x0000203d 61 a
62 0x0000203e 61 a
63 0x0000203f 61 a
64 0x00002040 61 a
65 0x00002041 61 a
66 0x00002042 61 a
67 0x00002043 61 a
68 0x00002044 61 a
69 0x00002045 61 a
70 0x00002046 0a .
71 0x00002047 62 b
72 0x00002048 62 b
73 0x00002049 62 b
74 0x0000204a 62 b
75 0x0000204b 62 b
76 0x0000204c 62 b
77 0x0000204d 62 b
78 0x0000204e 62 b
79 0x0000204f 62 b
80 0x00002050 62 b
81 0x00002051 62 b
82 0x00002052 62 b
83 0x00002053 62 b
84 0x00002054 62 b
85 0x00002055 62 b
86 0x00002056 62 b
87 0x00002057 62 b
88 0x00002058 62 b
89 0x00002059 62 b
90 0x0000205a 62 b
91 0x0000205b 62 b
92 0x0000205c 62 b
93 0x0000205d 62 b
94 0x0000205e 62 b
95 0x0000205f 62 b
96 0x00002060 62 b
97 0x00002061 62 b
98 0x00002062 62 b
99 0x00002063 62 b
100 0x00002064 62 b
101 0x00002065 62 b
102 0x00002066 62 b
103 0x00002067 62 b
104 0x00002068 62 b
105 0x00002069 62 b
106 0x0000206a 62 b
107 0x0000206b 76 v
108 0x0000206c 76 v
109 0x0000206d 76 v
110 0x0000206e 76 v
111 0x0000206f 76 v
112 0x00002070 76 v
113 0x00002071 76 v
114 0x00002072 76 v
115 0x00002073 76 v
116 0x00002074 76 v
117 0x00002075 76 v
118 0x00002076 76 v
119 0x00002077 76 v
120 0x00002078 76 v
121 0x00002079 76 v
122 0x0000207a 76 v
123 0x0000207b 76 v
124 0x0000207c 76 v
125 0x0000207d 76 v
126 0x0000207e 76 v
127 0x0000207f 76 v
128 0x00002080 76 v
129 0x00002081 76 v
130 0x00002082 76 v
131 0x00002083 76 v
132 0x00002084 76 v
133 0x00002085 76 v
134 0x00002086 76 v
135 0x00002087 76 v
136 0x00002088 76 v
137 0x00002089 76 v
138 0x0000208a 76 v
139 0x0000208b 76 v
140 0x0000208c 76 v
141 0x0000208d 76 v
142 0x0000208e 76 v
143 0x0000208f 76 v
144 0x00002090 76 v
145 0x00002091 76 v
146 0x00002092 0a .
147 0x00002093 67 g
148 0x00002094 67 g
149 0x00002095 67 g
150 0x00002096 67 g
151 0x00002097 67 g
152 0x00002098 67 g
153 0x00002099 67 g
154 0x0000209a 67 g
155 0x0000209b 67 g
156 0x0000209c 67 g
157 0x0000209d 67 g
158 0x0000209e 67 g
159 0x0000209f 67 g
160 0x000020a0 67 g
161 0x000020a1 67 g
162 0x000020a2 67 g
163 0x000020a3 67 g
164 0x000020a4 67 g
165 0x000020a5 67 g
166 0x000020a6 67 g
167 0x000020a7 67 g
168 0x000020a8 67 g
169 0x000020a9 67 g
170 0x000020aa 67 g
171 0x000020ab 67 g
172 0x000020ac 67 g
173 0x000020ad 67 g
174 0x000020ae 67 g
175 0x000020af 67 g
176 0x000020b0 67 g
177 0x000020b1 67 g
178 0x000020b2 67 g
179 0x000020b3 67 g
180 0x000020b4 67 g
181 0x000020b5 67 g
182 0x000020b6 67 g
183 0x000020b7 67 g
184 0x000020b8 67 g
185 0x000020b9 67 g
186 0x000020ba 67 g
187 0x000020bb 67 g
188 0x000020bc 61 a
189 0x000020bd 61 a
190 0x000020be 61 a
191 0x000020bf 61 a
192 0x000020c0 61 a
193 0x000020c1 61 a
194 0x000020c2 61 a
195 0x000020c3 61 a
196 0x000020c4 61 a
197 0x000020c5 61 a
198 0x000020c6 61 a
199 0x000020c7 61 a
200 0x000020c8 61 a
201 0x000020c9 61 a
202 0x000020ca 61 a
203 0x000020cb 61 a
204 0x000020cc 61 a
205 0x000020cd 61 a
206 0x000020ce 61 a
207 0x000020cf 61 a
208 0x000020d0 61 a
209 0x000020d1 68 h
210 0x000020d2 68 h
211 0x000020d3 68 h
212 0x000020d4 68 h
213 0x000020d5 68 h
214 0x000020d6 68 h
215 0x000020d7 68 h
216 0x000020d8 68 h
217 0x000020d9 68 h
218 0x000020da 68 h
219 0x000020db 68 h
220 0x000020dc 68 h
221 0x000020dd 68 h
222 0x000020de 68 h
223 0x000020df 68 h
224 0x000020e0 68 h
225 0x000020e1 68 h
226 0x000020e2 68 h
227 0x000020e3 68 h
228 0x000020e4 68 h
229 0x000020e5 68 h
230 0x000020e6 68 h
231 0x000020e7 68 h
232 0x000020e8 68 h
233 0x000020e9 68 h
234 0x000020ea 68 h
235 0x000020eb 68 h
236 0x000020ec 68 h
237 0x000020ed 68 h
238 0x000020ee 68 h
239 0x000020ef 68 h
240 0x000020f0 0a .
241 0x000020f1 0a .
