base_addr=0x00004000 byte_count=64
idx addr byte ascii
0 0x00004000 00 .
1 0x00004001 c6 .
2 0x00004002 48 H
3 0x00004003 5b [
4 0x00004004 a3 .
5 0x00004005 c6 .
6 0x00004006 2a *
7 0x00004007 4e N
8 0x00004008 5b [
9 0x00004009 cd .
10 0x0000400a 03 .
11 0x0000400b e1 .
12 0x0000400c 36 6
13 0x0000400d 28 (
14 0x0000400e 91 .
15 0x0000400f 35 5
16 0x00004010 1b .
17 0x00004011 fc .
18 0x00004012 4d M
19 0x00004013 e0 .
20 0x00004014 47 G
21 0x00004015 a2 .
22 0x00004016 c9 .
23 0x00004017 ea .
24 0x00004018 d3 .
25 0x00004019 c4 .
26 0x0000401a 6e n
27 0x0000401b fd .
28 0x0000401c ed .
29 0x0000401d fa .
30 0x0000401e 33 3
31 0x0000401f c5 .
32 0x00004020 27 '
33 0x00004021 01 .
34 0x00004022 ec .
35 0x00004023 b5 .
36 0x00004024 e7 .
37 0x00004025 b1 .
38 0x00004026 fa .
39 0x00004027 42 B
40 0x00004028 2c ,
41 0x00004029 d8 .
42 0x0000402a a7 .
43 0x0000402b 40 @
44 0x0000402c ab .
45 0x0000402d e2 .
46 0x0000402e ef .
47 0x0000402f 43 C
48 0x00004030 b8 .
49 0x00004031 1b .
50 0x00004032 ab .
51 0x00004033 5f _
52 0x00004034 41 A
53 0x00004035 e8 .
54 0x00004036 29 )
55 0x00004037 d6 .
56 0x00004038 18 .
57 0x00004039 43 C
58 0x0000403a 42 B
59 0x0000403b e8 .
60 0x0000403c 5d ]
61 0x0000403d 95 .
62 0x0000403e 02 .
63 0x0000403f 90 .
