base_addr=0x00004000 byte_count=992
idx addr byte ascii
0 0x00004000 2a *
1 0x00004001 f8 .
2 0x00004002 83 .
3 0x00004003 84 .
4 0x00004004 6f o
5 0x00004005 b8 .
6 0x00004006 4a J
7 0x00004007 5c \
8 0x00004008 0a .
9 0x00004009 c0 .
10 0x0000400a 70 p
11 0x0000400b aa .
12 0x0000400c 2c ,
13 0x0000400d ba .
14 0x0000400e 25 %
15 0x0000400f 46 F
16 0x00004010 2b +
17 0x00004011 c8 .
18 0x00004012 58 X
19 0x00004013 d8 .
20 0x00004014 13 .
21 0x00004015 07 .
22 0x00004016 6d m
23 0x00004017 25 %
24 0x00004018 0d .
25 0x00004019 c8 .
26 0x0000401a e6 .
27 0x0000401b fa .
28 0x0000401c 0a .
29 0x0000401d 37 7
30 0x0000401e 63 c
31 0x0000401f a8 .
32 0x00004020 20  
33 0x00004021 fd .
34 0x00004022 ee .
35 0x00004023 fc .
36 0x00004024 a2 .
37 0x00004025 20  
38 0x00004026 d7 .
39 0x00004027 85 .
40 0x00004028 18 .
41 0x00004029 c3 .
42 0x0000402a c6 .
43 0x0000402b 63 c
44 0x0000402c 8d .
45 0x0000402d c3 .
46 0x0000402e ac .
47 0x0000402f 4d M
48 0x00004030 94 .
49 0x00004031 ba .
50 0x00004032 4c L
51 0x00004033 4b K
52 0x00004034 dd .
53 0x00004035 db .
54 0x00004036 28 (
55 0x00004037 17 .
56 0x00004038 5d ]
57 0x00004039 1e .
58 0x0000403a 7f .
59 0x0000403b 8c .
60 0x0000403c 85 .
61 0x0000403d 5f _
62 0x0000403e 31 1
63 0x0000403f 69 i
64 0x00004040 9b .
65 0x00004041 1b .
66 0x00004042 98 .
67 0x00004043 23 #
68 0x00004044 6c l
69 0x00004045 e2 .
70 0x00004046 22 "
71 0x00004047 ba .
72 0x00004048 74 t
73 0x00004049 fa .
74 0x0000404a 1a .
75 0x0000404b 0b .
76 0x0000404c ed .
77 0x0000404d e8 .
78 0x0000404e e4 .
79 0x0000404f 14 .
80 0x00004050 08 .
81 0x00004051 8a .
82 0x00004052 89 .
83 0x00004053 4c L
84 0x00004054 38 8
85 0x00004055 6c l
86 0x00004056 3a :
87 0x00004057 be .
88 0x00004058 a6 .
89 0x00004059 e3 .
90 0x0000405a f4 .
91 0x0000405b eb .
92 0x0000405c 19 .
93 0x0000405d ec .
94 0x0000405e 97 .
95 0x0000405f bb .
96 0x00004060 67 g
97 0x00004061 b5 .
98 0x00004062 35 5
99 0x00004063 ad .
100 0x00004064 7c |
101 0x00004065 da .
102 0x00004066 be .
103 0x00004067 96 .
104 0x00004068 1a .
105 0x00004069 40 @
106 0x0000406a 9f .
107 0x0000406b 55 U
108 0x0000406c 49 I
109 0x0000406d f2 .
110 0x0000406e e9 .
111 0x0000406f c2 .
112 0x00004070 0c .
113 0x00004071 bf .
114 0x00004072 17 .
115 0x00004073 bc .
116 0x00004074 3e >
117 0x00004075 04 .
118 0x00004076 36 6
119 0x00004077 a4 .
120 0x00004078 ef .
121 0x00004079 f4 .
122 0x0000407a f3 .
123 0x0000407b 83 .
124 0x0000407c ec .
125 0x0000407d 4a J
126 0x0000407e a1 .
127 0x0000407f 37 7
128 0x00004080 d5 .
129 0x00004081 56 V
130 0x00004082 3e >
131 0x00004083 84 .
132 0x00004084 14 .
133 0x00004085 80 .
134 0x00004086 89 .
135 0x00004087 b0 .
136 0x00004088 8c .
137 0x00004089 8b .
138 0x0000408a e3 .
139 0x0000408b 32 2
140 0x0000408c 75 u
141 0x0000408d 2e .
142 0x0000408e 75 u
143 0x0000408f 42 B
144 0x00004090 2b +
145 0x00004091 1a .
146 0x00004092 66 f
147 0x00004093 fc .
148 0x00004094 07 .
149 0x00004095 59 Y
150 0x00004096 a9 .
151 0x00004097 63 c
152 0x00004098 7f .
153 0x00004099 60 `
154 0x0000409a 8e .
155 0x0000409b d9 .
156 0x0000409c 05 .
157 0x0000409d dc .
158 0x0000409e a6 .
159 0x0000409f 60 `
160 0x000040a0 5d ]
161 0x000040a1 70 p
162 0x000040a2 da .
163 0x000040a3 4b K
164 0x000040a4 8e .
165 0x000040a5 89 .
166 0x000040a6 20  
167 0x000040a7 0a .
168 0x000040a8 13 .
169 0x000040a9 ef .
170 0x000040aa 2d -
171 0x000040ab ad .
172 0x000040ac f8 .
173 0x000040ad 1d .
174 0x000040ae 08 .
175 0x000040af bf .
176 0x000040b0 b3 .
177 0x000040b1 de .
178 0x000040b2 36 6
179 0x000040b3 7a z
180 0x000040b4 35 5
181 0x000040b5 63 c
182 0x000040b6 1d .
183 0x000040b7 2d -
184 0x000040b8 a9 .
185 0x000040b9 66 f
186 0x000040ba c5 .
187 0x000040bb 46 F
188 0x000040bc 35 5
189 0x000040bd 65 e
190 0x000040be c3 .
191 0x000040bf a6 .
192 0x000040c0 a4 .
193 0x000040c1 bf .
194 0x000040c2 e0 .
195 0x000040c3 93 .
196 0x000040c4 28 (
197 0x000040c5 19 .
198 0x000040c6 ca .
199 0x000040c7 ac .
200 0x000040c8 31 1
201 0x000040c9 0a .
202 0x000040ca a0 .
203 0x000040cb ff .
204 0x000040cc ec .
205 0x000040cd cb .
206 0x000040ce 3e >
207 0x000040cf e6 .
208 0x000040d0 6a j
209 0x000040d1 d6 .
210 0x000040d2 34 4
211 0x000040d3 e5 .
212 0x000040d4 a0 .
213 0x000040d5 a1 .
214 0x000040d6 94 .
215 0x000040d7 22 "
216 0x000040d8 bc .
217 0x000040d9 e6 .
218 0x000040da c3 .
219 0x000040db c0 .
220 0x000040dc 6a j
221 0x000040dd a4 .
222 0x000040de d2 .
223 0x000040df d3 .
224 0x000040e0 0d .
225 0x000040e1 06 .
226 0x000040e2 01 .
227 0x000040e3 f2 .
228 0x000040e4 93 .
229 0x000040e5 6e n
230 0x000040e6 51 Q
231 0x000040e7 12 .
232 0x000040e8 06 .
233 0x000040e9 cb .
234 0x000040ea 0a .
235 0x000040eb 46 F
236 0x000040ec f3 .
237 0x000040ed e8 .
238 0x000040ee b1 .
239 0x000040ef bc .
240 0x000040f0 b0 .
241 0x000040f1 3a :
242 0x000040f2 13 .
243 0x000040f3 3a :
244 0x000040f4 65 e
245 0x000040f5 74 t
246 0x000040f6 49 I
247 0x000040f7 f8 .
248 0x000040f8 f9 .
249 0x000040f9 25 %
250 0x000040fa 10 .
251 0x000040fb 26 &
252 0x000040fc 84 .
253 0x000040fd 11 .
254 0x000040fe 6c l
255 0x000040ff e6 .
256 0x00004100 e1 .
257 0x00004101 33 3
258 0x00004102 4a J
259 0x00004103 17 .
260 0x00004104 63 c
261 0x00004105 b5 .
262 0x00004106 ee .
263 0x00004107 79 y
264 0x00004108 6b k
265 0x00004109 12 .
266 0x0000410a 1e .
267 0x0000410b e9 .
268 0x0000410c 9f .
269 0x0000410d bd .
270 0x0000410e 3d =
271 0x0000410f ac .
272 0x00004110 5f _
273 0x00004111 7a z
274 0x00004112 92 .
275 0x00004113 26 &
276 0x00004114 60 `
277 0x00004115 88 .
278 0x00004116 d7 .
279 0x00004117 4a J
280 0x00004118 1d .
281 0x00004119 11 .
282 0x0000411a 5f _
283 0x0000411b ac .
284 0x0000411c 4a J
285 0x0000411d 01 .
286 0x0000411e 5f _
287 0x0000411f 74 t
288 0x00004120 13 .
289 0x00004121 77 w
290 0x00004122 a3 .
291 0x00004123 16 .
292 0x00004124 e7 .
293 0x00004125 d1 .
294 0x00004126 2a *
295 0x00004127 84 .
296 0x00004128 28 (
297 0x00004129 05 .
298 0x0000412a f1 .
299 0x0000412b f6 .
300 0x0000412c 1b .
301 0x0000412d f0 .
302 0x0000412e 24 $
303 0x0000412f e6 .
304 0x00004130 b7 .
305 0x00004131 66 f
306 0x00004132 d2 .
307 0x00004133 86 .
308 0x00004134 12 .
309 0x00004135 d4 .
310 0x00004136 ed .
311 0x00004137 cb .
312 0x00004138 46 F
313 0x00004139 21 !
314 0x0000413a e2 .
315 0x0000413b 2c ,
316 0x0000413c 5c \
317 0x0000413d dc .
318 0x0000413e a4 .
319 0x0000413f 1f .
320 0x00004140 ca .
321 0x00004141 dd .
322 0x00004142 24 $
323 0x00004143 cc .
324 0x00004144 fd .
325 0x00004145 2e .
326 0x00004146 ec .
327 0x00004147 1a .
328 0x00004148 47 G
329 0x00004149 08 .
330 0x0000414a 10 .
331 0x0000414b 37 7
332 0x0000414c 36 6
333 0x0000414d e4 .
334 0x0000414e ed .
335 0x0000414f dc .
336 0x00004150 a5 .
337 0x00004151 90 .
338 0x00004152 07 .
