base_addr=0x00006000 byte_count=504
idx addr byte ascii
0 0x00006000 30 0
1 0x00006001 31 1
2 0x00006002 32 2
3 0x00006003 33 3
4 0x00006004 34 4
5 0x00006005 35 5
6 0x00006006 36 6
7 0x00006007 37 7
8 0x00006008 38 8
9 0x00006009 39 9
10 0x0000600a 41 A
11 0x0000600b 42 B
12 0x0000600c 43 C
13 0x0000600d 44 D
14 0x0000600e 45 E
15 0x0000600f 46 F
16 0x00006010 47 G
17 0x00006011 48 H
18 0x00006012 49 I
19 0x00006013 4a J
20 0x00006014 4b K
21 0x00006015 4c L
22 0x00006016 4d M
23 0x00006017 4e N
24 0x00006018 4f O
25 0x00006019 50 P
26 0x0000601a 51 Q
27 0x0000601b 52 R
28 0x0000601c 53 S
29 0x0000601d 54 T
30 0x0000601e 55 U
31 0x0000601f 56 V
32 0x00006020 57 W
33 0x00006021 58 X
34 0x00006022 59 Y
35 0x00006023 5a Z
36 0x00006024 61 a
37 0x00006025 62 b
38 0x00006026 63 c
39 0x00006027 64 d
40 0x00006028 65 e
41 0x00006029 66 f
42 0x0000602a 67 g
43 0x0000602b 68 h
44 0x0000602c 69 i
45 0x0000602d 6a j
46 0x0000602e 6b k
47 0x0000602f 6c l
48 0x00006030 6d m
49 0x00006031 6e n
50 0x00006032 6f o
51 0x00006033 70 p
52 0x00006034 71 q
53 0x00006035 72 r
54 0x00006036 73 s
55 0x00006037 74 t
56 0x00006038 75 u
57 0x00006039 76 v
58 0x0000603a 77 w
59 0x0000603b 78 x
60 0x0000603c 79 y
61 0x0000603d 7a z
62 0x0000603e 0a .
63 0x0000603f 30 0
64 0x00006040 31 1
65 0x00006041 32 2
66 0x00006042 33 3
67 0x00006043 34 4
68 0x00006044 35 5
69 0x00006045 36 6
70 0x00006046 37 7
71 0x00006047 38 8
72 0x00006048 39 9
73 0x00006049 41 A
74 0x0000604a 42 B
75 0x0000604b 43 C
76 0x0000604c 44 D
77 0x0000604d 45 E
78 0x0000604e 46 F
79 0x0000604f 47 G
80 0x00006050 48 H
