base_addr=0x00004000 byte_count=1024
idx addr byte ascii
0 0x00004000 69 i
1 0x00004001 93 .
2 0x00004002 5e ^
3 0x00004003 3d =
4 0x00004004 6d m
5 0x00004005 4f O
6 0x00004006 fd .
7 0x00004007 87 .
8 0x00004008 9b .
9 0x00004009 39 9
10 0x0000400a 01 .
11 0x0000400b af .
12 0x0000400c b5 .
13 0x0000400d e2 .
14 0x0000400e 15 .
15 0x0000400f f6 .
16 0x00004010 15 .
17 0x00004011 73 s
18 0x00004012 3b ;
19 0x00004013 af .
20 0x00004014 30 0
21 0x00004015 fe .
22 0x00004016 34 4
23 0x00004017 91 .
24 0x00004018 58 X
25 0x00004019 30 0
26 0x0000401a 38 8
27 0x0000401b ac .
28 0x0000401c b4 .
29 0x0000401d 23 #
30 0x0000401e 60 `
31 0x0000401f 7b {
32 0x00004020 09 .
33 0x00004021 5e ^
34 0x00004022 58 X
35 0x00004023 f3 .
36 0x00004024 7d }
37 0x00004025 1b .
38 0x00004026 42 B
39 0x00004027 9d .
40 0x00004028 04 .
41 0x00004029 57 W
42 0x0000402a 69 i
43 0x0000402b 08 .
44 0x0000402c 54 T
45 0x0000402d ce .
46 0x0000402e 4c L
47 0x0000402f 56 V
48 0x00004030 61 a
49 0x00004031 92 .
50 0x00004032 70 p
51 0x00004033 1b .
52 0x00004034 f4 .
53 0x00004035 92 .
54 0x00004036 61 a
55 0x00004037 70 p
56 0x00004038 80 .
57 0x00004039 93 .
58 0x0000403a 89 .
59 0x0000403b 33 3
60 0x0000403c f3 .
61 0x0000403d c8 .
62 0x0000403e 75 u
63 0x0000403f 5b [
64 0x00004040 7f .
65 0x00004041 e8 .
66 0x00004042 6f o
67 0x00004043 9c .
68 0x00004044 7b {
69 0x00004045 0d .
70 0x00004046 65 e
71 0x00004047 d4 .
72 0x00004048 d1 .
73 0x00004049 58 X
74 0x0000404a 51 Q
75 0x0000404b 1f .
76 0x0000404c 16 .
77 0x0000404d b6 .
78 0x0000404e 86 .
79 0x0000404f 8d .
80 0x00004050 3c <
81 0x00004051 48 H
82 0x00004052 a1 .
83 0x00004053 49 I
84 0x00004054 66 f
85 0x00004055 4c L
86 0x00004056 ad .
87 0x00004057 88 .
88 0x00004058 82 .
89 0x00004059 3c <
90 0x0000405a 6b k
91 0x0000405b 39 9
92 0x0000405c 96 .
93 0x0000405d cd .
94 0x0000405e 07 .
95 0x0000405f ac .
96 0x00004060 f7 .
97 0x00004061 f8 .
98 0x00004062 ba .
99 0x00004063 47 G
100 0x00004064 73 s
101 0x00004065 43 C
102 0x00004066 d1 .
103 0x00004067 c9 .
104 0x00004068 6a j
105 0x00004069 70 p
106 0x0000406a 90 .
107 0x0000406b 46 F
108 0x0000406c e4 .
109 0x0000406d 0b .
110 0x0000406e d1 .
111 0x0000406f 3f ?
112 0x00004070 c6 .
113 0x00004071 13 .
114 0x00004072 7c |
115 0x00004073 d6 .
116 0x00004074 49 I
117 0x00004075 3c <
118 0x00004076 57 W
119 0x00004077 1a .
120 0x00004078 42 B
121 0x00004079 48 H
122 0x0000407a 5f _
123 0x0000407b 92 .
124 0x0000407c a6 .
125 0x0000407d 5d ]
126 0x0000407e dc .
127 0x0000407f 8d .
128 0x00004080 0d .
129 0x00004081 21 !
130 0x00004082 11 .
131 0x00004083 93 .
132 0x00004084 87 .
133 0x00004085 56 V
134 0x00004086 2b +
135 0x00004087 39 9
136 0x00004088 83 .
137 0x00004089 07 .
138 0x0000408a 03 .
139 0x0000408b 38 8
140 0x0000408c 19 .
141 0x0000408d b0 .
142 0x0000408e f8 .
143 0x0000408f cf .
144 0x00004090 b3 .
145 0x00004091 70 p
146 0x00004092 8d .
147 0x00004093 49 I
148 0x00004094 52 R
149 0x00004095 52 R
150 0x00004096 74 t
151 0x00004097 90 .
152 0x00004098 21 !
153 0x00004099 76 v
154 0x0000409a e9 .
155 0x0000409b 37 7
156 0x0000409c ca .
157 0x0000409d 2d -
158 0x0000409e b3 .
159 0x0000409f 7b {
160 0x000040a0 f8 .
161 0x000040a1 1e .
162 0x000040a2 a6 .
163 0x000040a3 f9 .
164 0x000040a4 d5 .
165 0x000040a5 b4 .
166 0x000040a6 f3 .
167 0x000040a7 f4 .
168 0x000040a8 9f .
169 0x000040a9 35 5
170 0x000040aa 7f .
171 0x000040ab 3d =
172 0x000040ac 60 `
173 0x000040ad 74 t
174 0x000040ae c4 .
175 0x000040af 93 .
176 0x000040b0 09 .
177 0x000040b1 ae .
178 0x000040b2 8f .
179 0x000040b3 31 1
180 0x000040b4 1f .
181 0x000040b5 e7 .
182 0x000040b6 d0 .
183 0x000040b7 a7 .
184 0x000040b8 34 4
185 0x000040b9 11 .
186 0x000040ba 35 5
187 0x000040bb 45 E
188 0x000040bc a6 .
189 0x000040bd 6c l
190 0x000040be 06 .
191 0x000040bf 05 .
192 0x000040c0 54 T
193 0x000040c1 6b k
194 0x000040c2 78 x
195 0x000040c3 6d m
196 0x000040c4 be .
197 0x000040c5 52 R
198 0x000040c6 c5 .
199 0x000040c7 12 .
200 0x000040c8 ca .
201 0x000040c9 55 U
202 0x000040ca 3e >
203 0x000040cb ec .
204 0x000040cc 93 .
205 0x000040cd a5 .
206 0x000040ce 04 .
207 0x000040cf e5 .
208 0x000040d0 86 .
209 0x000040d1 39 9
210 0x000040d2 89 .
211 0x000040d3 5c \
212 0x000040d4 bf .
213 0x000040d5 78 x
214 0x000040d6 34 4
215 0x000040d7 49 I
216 0x000040d8 18 .
217 0x000040d9 13 .
218 0x000040da ae .
219 0x000040db e9 .
220 0x000040dc 81 .
221 0x000040dd 95 .
222 0x000040de f4 .
223 0x000040df 5f _
224 0x000040e0 48 H
225 0x000040e1 81 .
226 0x000040e2 98 .
227 0x000040e3 82 .
228 0x000040e4 02 .
229 0x000040e5 51 Q
230 0x000040e6 6d m
231 0x000040e7 7f .
232 0x000040e8 e7 .
233 0x000040e9 1d .
234 0x000040ea 81 .
235 0x000040eb c9 .
236 0x000040ec cf .
237 0x000040ed 0a .
238 0x000040ee b8 .
239 0x000040ef f9 .
240 0x000040f0 a4 .
241 0x000040f1 2f /
242 0x000040f2 1c .
243 0x000040f3 0c .
244 0x000040f4 63 c
245 0x000040f5 c0 .
246 0x000040f6 94 .
247 0x000040f7 44 D
248 0x000040f8 99 .
249 0x000040f9 ec .
250 0x000040fa 48 H
251 0x000040fb 46 F
252 0x000040fc 0f .
253 0x000040fd ec .
254 0x000040fe 57 W
255 0x000040ff a5 .
256 0x00004100 9f .
257 0x00004101 74 t
258 0x00004102 69 i
259 0x00004103 e6 .
260 0x00004104 da .
261 0x00004105 9e .
262 0x00004106 35 5
263 0x00004107 08 .
264 0x00004108 c6 .
265 0x00004109 b6 .
266 0x0000410a 73 s
267 0x0000410b 91 .
268 0x0000410c cd .
269 0x0000410d dc .
270 0x0000410e 99 .
271 0x0000410f 07 .
272 0x00004110 ca .
273 0x00004111 77 w
274 0x00004112 bb .
275 0x00004113 c4 .
276 0x00004114 45 E
277 0x00004115 c2 .
278 0x00004116 61 a
279 0x00004117 dc .
280 0x00004118 13 .
281 0x00004119 7a z
282 0x0000411a da .
283 0x0000411b 23 #
284 0x0000411c 1e .
285 0x0000411d 68 h
286 0x0000411e e9 .
287 0x0000411f ff .
288 0x00004120 40 @
289 0x00004121 1c .
290 0x00004122 ae .
291 0x00004123 2e .
292 0x00004124 c4 .
293 0x00004125 5e ^
294 0x00004126 02 .
295 0x00004127 27 '
296 0x00004128 16 .
297 0x00004129 4d M
298 0x0000412a f4 .
299 0x0000412b 2d -
300 0x0000412c 32 2
301 0x0000412d 76 v
302 0x0000412e 6b k
303 0x0000412f a9 .
304 0x00004130 75 u
305 0x00004131 dc .
306 0x00004132 58 X
307 0x00004133 5b [
308 0x00004134 86 .
309 0x00004135 b7 .
310 0x00004136 af .
311 0x00004137 28 (
312 0x00004138 89 .
313 0x00004139 de .
314 0x0000413a 81 .
315 0x0000413b 2c ,
316 0x0000413c d7 .
317 0x0000413d 17 .
318 0x0000413e e8 .
319 0x0000413f 7d }
320 0x00004140 2a *
321 0x00004141 c0 .
322 0x00004142 5b [
323 0x00004143 ad .
324 0x00004144 54 T
325 0x00004145 d8 .
326 0x00004146 17 .
327 0x00004147 15 .
328 0x00004148 6f o
329 0x00004149 e6 .
330 0x0000414a dd .
331 0x0000414b a6 .
332 0x0000414c 9b .
333 0x0000414d 81 .
334 0x0000414e 72 r
335 0x0000414f fe .
336 0x00004150 14 .
337 0x00004151 67 g
338 0x00004152 6a j
339 0x00004153 e5 .
340 0x00004154 09 .
341 0x00004155 18 .
342 0x00004156 62 b
343 0x00004157 ff .
344 0x00004158 ff .
345 0x00004159 c8 .
346 0x0000415a 1c .
347 0x0000415b 72 r
348 0x0000415c 7b {
349 0x0000415d bd .
350 0x0000415e f7 .
351 0x0000415f bc .
352 0x00004160 3d =
353 0x00004161 b7 .
354 0x00004162 08 .
355 0x00004163 26 &
356 0x00004164 11 .
357 0x00004165 e6 .
358 0x00004166 63 c
359 0x00004167 72 r
360 0x00004168 58 X
361 0x00004169 cf .
362 0x0000416a eb .
363 0x0000416b fc .
364 0x0000416c ef .
365 0x0000416d 79 y
366 0x0000416e a6 .
367 0x0000416f 04 .
368 0x00004170 18 .
369 0x00004171 8b .
370 0x00004172 0e .
371 0x00004173 d6 .
372 0x00004174 14 .
373 0x00004175 3b ;
374 0x00004176 e6 .
375 0x00004177 43 C
376 0x00004178 2d -
377 0x00004179 c2 .
378 0x0000417a f7 .
379 0x0000417b 89 .
380 0x0000417c b3 .
381 0x0000417d b4 .
382 0x0000417e 3a :
383 0x0000417f 73 s
384 0x00004180 2e .
385 0x00004181 dd .
386 0x00004182 a9 .
387 0x00004183 cd .
388 0x00004184 58 X
389 0x00004185 a9 .
390 0x00004186 c4 .
391 0x00004187 aa .
392 0x00004188 b0 .
393 0x00004189 38 8
394 0x0000418a 04 .
395 0x0000418b 98 .
396 0x0000418c 8b .
397 0x0000418d c2 .
398 0x0000418e f5 .
399 0x0000418f fb .
400 0x00004190 1f .
401 0x00004191 f3 .
402 0x00004192 96 .
403 0x00004193 25 %
404 0x00004194 50 P
405 0x00004195 78 x
406 0x00004196 c4 .
407 0x00004197 87 .
408 0x00004198 6b k
409 0x00004199 78 x
410 0x0000419a 01 .
411 0x0000419b c7 .
412 0x0000419c d2 .
413 0x0000419d f8 .
414 0x0000419e f1 .
415 0x0000419f 75 u
416 0x000041a0 7d }
417 0x000041a1 8c .
418 0x000041a2 d3 .
419 0x000041a3 af .
420 0x000041a4 1f .
421 0x000041a5 fe .
422 0x000041a6 5e ^
423 0x000041a7 a3 .
424 0x000041a8 25 %
425 0x000041a9 bb .
426 0x000041aa 6b k
427 0x000041ab 67 g
428 0x000041ac 6d m
429 0x000041ad d7 .
430 0x000041ae d2 .
431 0x000041af c7 .
432 0x000041b0 23 #
433 0x000041b1 ad .
434 0x000041b2 54 T
435 0x000041b3 d5 .
436 0x000041b4 12 .
437 0x000041b5 b5 .
438 0x000041b6 0a .
