base_addr=0x00002000 byte_count=3601
idx addr byte ascii
0 0x00002000 fc .
1 0x00002001 0f .
2 0x00002002 00 .
3 0x00002003 00 .
4 0x00002004 00 .
5 0x00002005 00 .
6 0x00002006 00 .
7 0x00002007 00 .
8 0x00002008 00 .
9 0x00002009 00 .
10 0x0000200a 09 .
11 0x0000200b 03 .
12 0x0000200c 02 .
13 0x0000200d 02 .
14 0x0000200e 00 .
15 0x0000200f 06 .
16 0x00002010 01 .
17 0x00002011 04 .
18 0x00002012 03 .
19 0x00002013 05 .
20 0x00002014 00 .
21 0x00002015 09 .
22 0x00002016 0a .
23 0x00002017 00 .
24 0x00002018 06 .
25 0x00002019 00 .
26 0x0000201a 04 .
27 0x0000201b 06 .
28 0x0000201c 03 .
29 0x0000201d 02 .
30 0x0000201e 03 .
31 0x0000201f 06 .
32 0x00002020 05 .
33 0x00002021 00 .
34 0x00002022 02 .
35 0x00002023 07 .
36 0x00002024 0a .
37 0x00002025 02 .
38 0x00002026 0e .
39 0x00002027 03 .
40 0x00002028 04 .
41 0x00002029 06 .
42 0x0000202a 01 .
43 0x0000202b 0b .
44 0x0000202c 03 .
45 0x0000202d 03 .
46 0x0000202e 02 .
47 0x0000202f 02 .
48 0x00002030 01 .
49 0x00002031 01 .
50 0x00002032 08 .
51 0x00002033 0b .
52 0x00002034 09 .
53 0x00002035 05 .
54 0x00002036 05 .
55 0x00002037 05 .
56 0x00002038 06 .
57 0x00002039 02 .
58 0x0000203a 04 .
59 0x0000203b 08 .
60 0x0000203c 04 .
61 0x0000203d 07 .
62 0x0000203e 0e .
63 0x0000203f 00 .
64 0x00002040 04 .
65 0x00002041 02 .
66 0x00002042 03 .
67 0x00002043 03 .
68 0x00002044 01 .
69 0x00002045 04 .
70 0x00002046 07 .
71 0x00002047 08 .
72 0x00002048 01 .
73 0x00002049 08 .
74 0x0000204a 03 .
75 0x0000204b 00 .
76 0x0000204c 00 .
77 0x0000204d 09 .
78 0x0000204e 06 .
79 0x0000204f 04 .
80 0x00002050 02 .
81 0x00002051 03 .
82 0x00002052 02 .
83 0x00002053 09 .
84 0x00002054 01 .
85 0x00002055 01 .
86 0x00002056 0c .
87 0x00002057 16 .
88 0x00002058 1c .
89 0x00002059 20  
90 0x0000205a 1e .
91 0x0000205b 18 .
92 0x0000205c 0c .
93 0x0000205d 0c .
94 0x0000205e 0f .
95 0x0000205f 1f .
96 0x00002060 43 C
97 0x00002061 4d M
98 0x00002062 45 E
99 0x00002063 27 '
100 0x00002064 0f .
101 0x00002065 0b .
102 0x00002066 04 .
103 0x00002067 0e .
104 0x00002068 10 .
105 0x00002069 16 .
106 0x0000206a 24 $
107 0x0000206b 22 "
108 0x0000206c 30 0
109 0x0000206d 22 "
110 0x0000206e 10 .
111 0x0000206f 04 .
112 0x00002070 09 .
113 0x00002071 13 .
114 0x00002072 0d .
115 0x00002073 0f .
116 0x00002074 0b .
117 0x00002075 03 .
118 0x00002076 06 .
119 0x00002077 06 .
120 0x00002078 0a .
121 0x00002079 03 .
122 0x0000207a 06 .
123 0x0000207b 07 .
124 0x0000207c 01 .
125 0x0000207d 02 .
126 0x0000207e 02 .
127 0x0000207f 04 .
128 0x00002080 02 .
129 0x00002081 00 .
130 0x00002082 01 .
131 0x00002083 07 .
132 0x00002084 04 .
133 0x00002085 03 .
134 0x00002086 06 .
135 0x00002087 02 .
136 0x00002088 00 .
137 0x00002089 04 .
138 0x0000208a 00 .
139 0x0000208b 00 .
140 0x0000208c 07 .
141 0x0000208d 03 .
142 0x0000208e 04 .
143 0x0000208f 04 .
144 0x00002090 06 .
145 0x00002091 06 .
146 0x00002092 00 .
147 0x00002093 05 .
148 0x00002094 00 .
149 0x00002095 05 .
150 0x00002096 04 .
151 0x00002097 04 .
152 0x00002098 01 .
153 0x00002099 06 .
154 0x0000209a 00 .
155 0x0000209b 03 .
156 0x0000209c 02 .
157 0x0000209d 01 .
158 0x0000209e 01 .
159 0x0000209f 02 .
160 0x000020a0 04 .
161 0x000020a1 02 .
162 0x000020a2 02 .
163 0x000020a3 01 .
164 0x000020a4 05 .
165 0x000020a5 02 .
166 0x000020a6 03 .
167 0x000020a7 00 .
168 0x000020a8 00 .
169 0x000020a9 04 .
170 0x000020aa 0a .
171 0x000020ab 01 .
172 0x000020ac 01 .
173 0x000020ad 03 .
174 0x000020ae 00 .
175 0x000020af 00 .
176 0x000020b0 03 .
177 0x000020b1 02 .
178 0x000020b2 08 .
179 0x000020b3 07 .
180 0x000020b4 04 .
181 0x000020b5 01 .
182 0x000020b6 05 .
183 0x000020b7 02 .
184 0x000020b8 05 .
