base_addr=0x00002000 byte_count=2164
idx addr byte ascii
0 0x00002000 00 .
1 0x00002001 00 .
2 0x00002002 00 .
3 0x00002003 00 .
4 0x00002004 00 .
5 0x00002005 00 .
6 0x00002006 00 .
7 0x00002007 00 .
8 0x00002008 00 .
9 0x00002009 00 .
10 0x0000200a 00 .
11 0x0000200b 00 .
12 0x0000200c 00 .
13 0x0000200d 00 .
14 0x0000200e 00 .
15 0x0000200f 00 .
16 0x00002010 00 .
17 0x00002011 00 .
18 0x00002012 00 .
19 0x00002013 00 .
20 0x00002014 00 .
21 0x00002015 00 .
22 0x00002016 00 .
23 0x00002017 00 .
24 0x00002018 00 .
25 0x00002019 00 .
26 0x0000201a 00 .
27 0x0000201b 00 .
28 0x0000201c 00 .
29 0x0000201d 00 .
30 0x0000201e 00 .
31 0x0000201f 00 .
32 0x00002020 00 .
33 0x00002021 00 .
34 0x00002022 00 .
35 0x00002023 00 .
36 0x00002024 00 .
37 0x00002025 00 .
38 0x00002026 00 .
39 0x00002027 00 .
40 0x00002028 00 .
41 0x00002029 00 .
42 0x0000202a 00 .
43 0x0000202b 00 .
44 0x0000202c 00 .
45 0x0000202d 00 .
46 0x0000202e 00 .
47 0x0000202f 00 .
48 0x00002030 00 .
49 0x00002031 00 .
50 0x00002032 00 .
51 0x00002033 00 .
52 0x00002034 00 .
53 0x00002035 00 .
54 0x00002036 00 .
55 0x00002037 00 .
56 0x00002038 00 .
57 0x00002039 00 .
58 0x0000203a 00 .
59 0x0000203b 00 .
60 0x0000203c 00 .
61 0x0000203d 00 .
62 0x0000203e 00 .
63 0x0000203f 00 .
64 0x00002040 00 .
65 0x00002041 00 .
66 0x00002042 00 .
67 0x00002043 00 .
68 0x00002044 00 .
69 0x00002045 00 .
70 0x00002046 00 .
71 0x00002047 00 .
72 0x00002048 00 .
73 0x00002049 00 .
74 0x0000204a 00 .
75 0x0000204b 00 .
76 0x0000204c 00 .
77 0x0000204d 00 .
78 0x0000204e 00 .
79 0x0000204f 00 .
80 0x00002050 00 .
81 0x00002051 00 .
82 0x00002052 00 .
83 0x00002053 00 .
84 0x00002054 00 .
85 0x00002055 00 .
86 0x00002056 00 .
87 0x00002057 00 .
88 0x00002058 00 .
89 0x00002059 00 .
90 0x0000205a 00 .
91 0x0000205b 00 .
92 0x0000205c 00 .
93 0x0000205d 00 .
94 0x0000205e 00 .
95 0x0000205f 00 .
96 0x00002060 00 .
97 0x00002061 00 .
98 0x00002062 00 .
99 0x00002063 00 .
100 0x00002064 00 .
101 0x00002065 00 .
102 0x00002066 00 .
103 0x00002067 00 .
104 0x00002068 00 .
105 0x00002069 00 .
106 0x0000206a 00 .
107 0x0000206b 00 .
108 0x0000206c 00 .
109 0x0000206d 00 .
110 0x0000206e 00 .
111 0x0000206f 00 .
112 0x00002070 00 .
113 0x00002071 00 .
114 0x00002072 00 .
115 0x00002073 00 .
116 0x00002074 00 .
117 0x00002075 00 .
118 0x00002076 00 .
119 0x00002077 00 .
120 0x00002078 00 .
121 0x00002079 00 .
122 0x0000207a 00 .
123 0x0000207b 00 .
124 0x0000207c 00 .
125 0x0000207d 00 .
126 0x0000207e 00 .
127 0x0000207f 00 .
128 0x00002080 00 .
129 0x00002081 00 .
130 0x00002082 00 .
131 0x00002083 00 .
132 0x00002084 00 .
133 0x00002085 00 .
134 0x00002086 00 .
135 0x00002087 00 .
136 0x00002088 00 .
137 0x00002089 00 .
138 0x0000208a 00 .
139 0x0000208b 00 .
140 0x0000208c 00 .
141 0x0000208d 00 .
142 0x0000208e 00 .
143 0x0000208f 00 .
144 0x00002090 00 .
145 0x00002091 00 .
146 0x00002092 00 .
147 0x00002093 00 .
148 0x00002094 00 .
149 0x00002095 00 .
150 0x00002096 00 .
151 0x00002097 00 .
152 0x00002098 00 .
153 0x00002099 00 .
154 0x0000209a 00 .
155 0x0000209b 00 .
156 0x0000209c 00 .
157 0x0000209d 00 .
