base_addr=0x00002000 byte_count=80
idx addr byte ascii
0 0x00002000 82 .
1 0x00002001 42 B
2 0x00002002 58 X
3 0x00002003 48 H
4 0x00002004 0b .
5 0x00002005 01 .
6 0x00002006 00 .
7 0x00002007 00 .
8 0x00002008 00 .
9 0x00002009 83 .
10 0x0000200a 61 a
11 0x0000200b 82 .
12 0x0000200c 83 .
13 0x0000200d 82 .
14 0x0000200e 08 .
15 0x0000200f 78 x
16 0x00002010 13 .
17 0x00002011 62 b
18 0x00002012 e1 .
19 0x00002013 ff .
20 0x00002014 03 .
21 0x00002015 00 .
22 0x00002016 00 .
23 0x00002017 20  
24 0x00002018 28 (
25 0x00002019 88 .
26 0x0000201a 05 .
27 0x0000201b bb .
28 0x0000201c 00 .
29 0x0000201d 80 .
30 0x0000201e ff .
31 0x0000201f 78 x
32 0x00002020 ff .
33 0x00002021 2f /
34 0x00002022 38 8
35 0x00002023 28 (
36 0x00002024 88 .
37 0x00002025 33 3
38 0x00002026 61 a
39 0x00002027 17 .
40 0x00002028 00 .
41 0x00002029 00 .
42 0x0000202a e8 .
43 0x0000202b ff .
44 0x0000202c ff .
45 0x0000202d 7f .
46 0x0000202e 41 A
47 0x0000202f 78 x
48 0x00002030 21 !
49 0x00002031 2c ,
50 0x00002032 9c .
51 0x00002033 85 .
52 0x00002034 ff .
53 0x00002035 ff .
54 0x00002036 ff .
55 0x00002037 07 .
56 0x00002038 41 A
57 0x00002039 21 !
58 0x0000203a 2c ,
59 0x0000203b a0 .
60 0x0000203c 05 .
61 0x0000203d 00 .
62 0x0000203e 00 .
63 0x0000203f 78 x
64 0x00002040 ff .
65 0x00002041 7f .
66 0x00002042 25 %
67 0x00002043 41 A
68 0x00002044 21 !
69 0x00002045 a0 .
70 0x00002046 85 .
71 0x00002047 ff .
72 0x00002048 7f .
73 0x00002049 00 .
74 0x0000204a 00 .
75 0x0000204b 00 .
76 0x0000204c 00 .
77 0x0000204d 00 .
78 0x0000204e 00 .
79 0x0000204f c9 .
