base_addr=0x00004000 byte_count=48
idx addr byte ascii
0 0x00004000 00 .
1 0x00004001 00 .
2 0x00004002 00 .
3 0x00004003 00 .
4 0x00004004 00 .
5 0x00004005 00 .
6 0x00004006 00 .
7 0x00004007 00 .
8 0x00004008 00 .
9 0x00004009 00 .
10 0x0000400a 00 .
11 0x0000400b 00 .
12 0x0000400c 00 .
13 0x0000400d 00 .
14 0x0000400e 00 .
15 0x0000400f 00 .
16 0x00004010 00 .
17 0x00004011 00 .
18 0x00004012 00 .
19 0x00004013 00 .
20 0x00004014 00 .
21 0x00004015 00 .
22 0x00004016 00 .
23 0x00004017 00 .
24 0x00004018 00 .
25 0x00004019 00 .
26 0x0000401a 00 .
27 0x0000401b 00 .
28 0x0000401c 00 .
29 0x0000401d 00 .
30 0x0000401e 00 .
31 0x0000401f 00 .
32 0x00004020 00 .
33 0x00004021 00 .
34 0x00004022 00 .
35 0x00004023 00 .
36 0x00004024 00 .
37 0x00004025 00 .
38 0x00004026 00 .
39 0x00004027 00 .
40 0x00004028 00 .
41 0x00004029 00 .
42 0x0000402a 00 .
43 0x0000402b 00 .
44 0x0000402c 00 .
45 0x0000402d 00 .
46 0x0000402e 00 .
47 0x0000402f 00 .
