base_addr=0x00004000 byte_count=992
idx addr byte ascii
0 0x00004000 82 .
1 0x00004001 95 .
2 0x00004002 c2 .
3 0x00004003 00 .
4 0x00004004 09 .
5 0x00004005 30 0
6 0x00004006 27 '
7 0x00004007 e6 .
8 0x00004008 c8 .
9 0x00004009 a0 .
10 0x0000400a 99 .
11 0x0000400b 43 C
12 0x0000400c 63 c
13 0x0000400d 6a j
14 0x0000400e 8c .
15 0x0000400f 78 x
16 0x00004010 4d M
17 0x00004011 b9 .
18 0x00004012 19 .
19 0x00004013 38 8
20 0x00004014 25 %
21 0x00004015 67 g
22 0x00004016 20  
23 0x00004017 b1 .
24 0x00004018 27 '
25 0x00004019 26 &
26 0x0000401a b5 .
27 0x0000401b a6 .
28 0x0000401c 56 V
29 0x0000401d d8 .
30 0x0000401e 2a *
31 0x0000401f 78 x
32 0x00004020 5b [
33 0x00004021 70 p
34 0x00004022 4b K
35 0x00004023 6e n
36 0x00004024 d1 .
37 0x00004025 ad .
38 0x00004026 7f .
39 0x00004027 fe .
40 0x00004028 e7 .
41 0x00004029 ff .
42 0x0000402a ff .
43 0x0000402b e0 .
44 0x0000402c ff .
45 0x0000402d fe .
46 0x0000402e fd .
47 0x0000402f 78 x
48 0x00004030 af .
49 0x00004031 ff .
50 0x00004032 fe .
51 0x00004033 cf .
52 0x00004034 3f ?
53 0x00004035 fe .
54 0x00004036 f5 .
55 0x00004037 bf .
56 0x00004038 7f .
57 0x00004039 67 g
58 0x0000403a 17 .
59 0x0000403b e8 .
60 0x0000403c 5f _
61 0x0000403d 56 V
62 0x0000403e 41 A
63 0x0000403f 78 x
64 0x00004040 00 .
65 0x00004041 e8 .
66 0x00004042 9b .
67 0x00004043 0d .
68 0x00004044 e8 .
69 0x00004045 27 '
70 0x00004046 3b ;
71 0x00004047 40 @
72 0x00004048 6f o
73 0x00004049 26 &
74 0x0000404a 08 .
75 0x0000404b 5c \
76 0x0000404c a0 .
77 0x0000404d 4f O
78 0x0000404e 56 V
79 0x0000404f 78 x
80 0x00004050 a0 .
81 0x00004051 27 '
82 0x00004052 1b .
83 0x00004053 d0 .
84 0x00004054 6f o
85 0x00004055 04 .
86 0x00004056 81 .
87 0x00004057 bd .
88 0x00004058 c0 .
89 0x00004059 fd .
90 0x0000405a 64 d
91 0x0000405b 17 .
92 0x0000405c e8 .
93 0x0000405d 2f /
94 0x0000405e 2b +
95 0x0000405f 78 x
96 0x00004060 d0 .
97 0x00004061 0a .
98 0x00004062 02 .
99 0x00004063 d9 .
100 0x00004064 01 .
101 0x00004065 ba .
102 0x00004066 ec .
103 0x00004067 02 .
104 0x00004068 fd .
105 0x00004069 cb .
106 0x0000406a 06 .
107 0x0000406b 1c .
108 0x0000406c 41 A
109 0x0000406d 60 `
110 0x0000406e 59 Y
111 0x0000406f 78 x
112 0x00004070 81 .
113 0x00004071 3e >
114 0x00004072 d9 .
115 0x00004073 01 .
116 0x00004074 ee .
117 0x00004075 37 7
118 0x00004076 bb .
119 0x00004077 80 .
120 0x00004078 20  
121 0x00004079 d0 .
122 0x0000407a 37 7
123 0x0000407b 2b +
124 0x0000407c d0 .
125 0x0000407d 5f _
126 0x0000407e 36 6
127 0x0000407f 78 x
128 0x00004080 a0 .
129 0x00004081 9f .
130 0x00004082 ec .
131 0x00004083 05 .
132 0x00004084 82 .
133 0x00004085 80 .
134 0x00004086 fb .
135 0x00004087 97 .
136 0x00004088 5d ]
137 0x00004089 a0 .
138 0x0000408a 27 '
139 0x0000408b 2b +
140 0x0000408c d0 .
141 0x0000408d 27 '
142 0x0000408e 3b ;
143 0x0000408f 78 x
144 0x00004090 20  
145 0x00004091 08 .
146 0x00004092 d0 .
147 0x00004093 9b .
148 0x00004094 0d .
149 0x00004095 e8 .
150 0x00004096 37 7
151 0x00004097 bb .
152 0x00004098 40 @
153 0x00004099 7f .
154 0x0000409a 59 Y
155 0x0000409b 21 !
156 0x0000409c 08 .
157 0x0000409d a0 .
158 0x0000409e 6f o
159 0x0000409f 78 x
160 0x000040a0 76 v
161 0x000040a1 80 .
162 0x000040a2 2e .
163 0x000040a3 bb .
164 0x000040a4 40 @
165 0x000040a5 9f .
166 0x000040a6 6c l
167 0x000040a7 08 .
168 0x000040a8 02 .
169 0x000040a9 d0 .
170 0x000040aa bf .
171 0x000040ab ec .
172 0x000040ac 05 .
173 0x000040ad ee .
174 0x000040ae 2f /
175 0x000040af 78 x
176 0x000040b0 2b +
177 0x000040b1 d0 .
178 0x000040b2 93 .
179 0x000040b3 5d ]
180 0x000040b4 82 .
181 0x000040b5 00 .
182 0x000040b6 e8 .
183 0x000040b7 9b .
184 0x000040b8 1d .
185 0x000040b9 e0 .
186 0x000040ba 7e ~
187 0x000040bb b2 .
188 0x000040bc 01 .
189 0x000040bd fd .
190 0x000040be 64 d
191 0x000040bf 78 x
192 0x000040c0 15 .
193 0x000040c1 04 .
194 0x000040c2 80 .
195 0x000040c3 3e >
196 0x000040c4 d9 .
197 0x000040c5 05 .
198 0x000040c6 fa .
199 0x000040c7 cb .
200 0x000040c8 0e .
201 0x000040c9 d0 .
202 0x000040ca 66 f
203 0x000040cb 82 .
204 0x000040cc c0 .
205 0x000040cd 80 .
206 0x000040ce b3 .
207 0x000040cf 78 x
208 0x000040d0 ec .
209 0x000040d1 05 .
210 0x000040d2 ee .
211 0x000040d3 93 .
212 0x000040d4 5d ]
213 0x000040d5 a0 .
214 0x000040d6 27 '
215 0x000040d7 82 .
216 0x000040d8 c0 .
217 0x000040d9 0a .
218 0x000040da f4 .
219 0x000040db cd .
220 0x000040dc 0e .
221 0x000040dd d0 .
222 0x000040de 9b .
223 0x000040df 78 x
224 0x000040e0 5d ]
225 0x000040e1 a0 .
226 0x000040e2 8f .
227 0x000040e3 20  
228 0x000040e4 90 .
229 0x000040e5 0d .
230 0x000040e6 e8 .
231 0x000040e7 37 7
232 0x000040e8 2b +
233 0x000040e9 d0 .
234 0x000040ea 5f _
235 0x000040eb 76 v
236 0x000040ec 80 .
237 0x000040ed 0a .
238 0x000040ee 02 .
239 0x000040ef 78 x
240 0x000040f0 cb .
241 0x000040f1 2e .
242 0x000040f2 d0 .
243 0x000040f3 66 f
244 0x000040f4 2f /
245 0x000040f5 70 p
246 0x000040f6 ff .
247 0x000040f7 b2 .
248 0x000040f8 01 .
249 0x000040f9 82 .
250 0x000040fa 40 @
251 0x000040fb 3f ?
252 0x000040fc 59 Y
253 0x000040fd 81 .
254 0x000040fe 3e >
255 0x000040ff 78 x
256 0x00004100 d9 .
257 0x00004101 05 .
258 0x00004102 fa .
259 0x00004103 66 f
260 0x00004104 07 .
261 0x00004105 08 .
262 0x00004106 02 .
263 0x00004107 7a z
264 0x00004108 b3 .
265 0x00004109 02 .
266 0x0000410a 3d =
267 0x0000410b d9 .
268 0x0000410c 05 .
269 0x0000410d fa .
270 0x0000410e cb .
271 0x0000410f 78 x
272 0x00004110 06 .
273 0x00004111 82 .
274 0x00004112 00 .
275 0x00004113 fd .
276 0x00004114 cb .
277 0x00004115 0e .
278 0x00004116 70 p
279 0x00004117 3f ?
280 0x00004118 d9 .
281 0x00004119 0b .
282 0x0000411a dc .
283 0x0000411b 37 7
284 0x0000411c bb .
285 0x0000411d 10 .
286 0x0000411e 04 .
287 0x0000411f 78 x
288 0x00004120 d0 .
289 0x00004121 27 '
290 0x00004122 2b +
291 0x00004123 d0 .
292 0x00004124 66 f
293 0x00004125 03 .
294 0x00004126 fa .
295 0x00004127 cd .
296 0x00004128 0e .
297 0x00004129 82 .
298 0x0000412a 00 .
299 0x0000412b 74 t
300 0x0000412c d9 .
301 0x0000412d 05 .
302 0x0000412e fa .
303 0x0000412f 78 x
304 0x00004130 66 f
305 0x00004131 05 .
306 0x00004132 fa .
307 0x00004133 cb .
308 0x00004134 46 F
309 0x00004135 10 .
310 0x00004136 00 .
311 0x00004137 fd .
312 0x00004138 64 d
313 0x00004139 2f /
314 0x0000413a 70 p
315 0x0000413b 7f .
316 0x0000413c d9 .
317 0x0000413d 05 .
318 0x0000413e 7a z
319 0x0000413f 78 x
320 0x00004140 b2 .
321 0x00004141 0a .
322 0x00004142 02 .
323 0x00004143 40 @
324 0x00004144 9f .
325 0x00004145 ec .
326 0x00004146 00 .
327 0x00004147 f7 .
328 0x00004148 9b .
329 0x00004149 0d .
330 0x0000414a e8 .
331 0x0000414b 5f _
332 0x0000414c 26 &
333 0x0000414d 08 .
334 0x0000414e 5c \
335 0x0000414f 78 x
336 0x00004150 a0 .
337 0x00004151 bf .
338 0x00004152 ac .
339 0x00004153 40 @
340 0x00004154 df .
341 0x00004155 ec .
342 0x00004156 00 .
343 0x00004157 bd .
344 0x00004158 11 .
345 0x00004159 04 .
346 0x0000415a 76 v
347 0x0000415b 81 .
348 0x0000415c 3e >
349 0x0000415d d9 .
350 0x0000415e 80 .
351 0x0000415f 78 x
352 0x00004160 7e ~
353 0x00004161 b3 .
354 0x00004162 17 .
355 0x00004163 b8 .
356 0x00004164 8f .
357 0x00004165 20  
358 0x00004166 90 .
359 0x00004167 15 .
360 0x00004168 e8 .
361 0x00004169 c9 .
362 0x0000416a 2e .
363 0x0000416b d0 .
364 0x0000416c 37 7
365 0x0000416d 3b ;
366 0x0000416e c0 .
367 0x0000416f 78 x
368 0x00004170 15 .
369 0x00004171 04 .
370 0x00004172 3e >
371 0x00004173 d9 .
372 0x00004174 80 .
373 0x00004175 7e ~
374 0x00004176 b2 .
375 0x00004177 02 .
376 0x00004178 7d }
377 0x00004179 b2 .
378 0x0000417a 0b .
379 0x0000417b 08 .
380 0x0000417c 02 .
381 0x0000417d fd .
382 0x0000417e 65 e
383 0x0000417f 78 x
384 0x00004180 07 .
385 0x00004181 68 h
386 0x00004182 b3 .
387 0x00004183 01 .
388 0x00004184 67 g
389 0x00004185 d9 .
390 0x00004186 0b .
391 0x00004187 04 .
392 0x00004188 01 .
393 0x00004189 f7 .
394 0x0000418a 64 d
395 0x0000418b 17 .
396 0x0000418c e8 .
397 0x0000418d c9 .
398 0x0000418e 0a .
399 0x0000418f 78 x
400 0x00004190 f4 .
401 0x00004191 cd .
402 0x00004192 0e .
403 0x00004193 08 .
404 0x00004194 02 .
405 0x00004195 f4 .
406 0x00004196 66 f
407 0x00004197 17 .
408 0x00004198 e8 .
409 0x00004199 93 .
410 0x0000419a 0d .
411 0x0000419b e8 .
412 0x0000419c 37 7
413 0x0000419d 2b +
414 0x0000419e 04 .
415 0x0000419f 78 x
416 0x000041a0 01 .
417 0x000041a1 f4 .
418 0x000041a2 97 .
419 0x000041a3 1d .
420 0x000041a4 a0 .
421 0x000041a5 cb .
422 0x000041a6 2e .
423 0x000041a7 d0 .
424 0x000041a8 66 f
425 0x000041a9 2f /
426 0x000041aa 82 .
427 0x000041ab 00 .
428 0x000041ac dc .
429 0x000041ad bf .
430 0x000041ae 6c l
431 0x000041af 78 x
432 0x000041b0 40 @
433 0x000041b1 3f ?
434 0x000041b2 59 Y
435 0x000041b3 81 .
436 0x000041b4 3e >
437 0x000041b5 d9 .
438 0x000041b6 25 %
439 0x000041b7 08 .
440 0x000041b8 80 .
441 0x000041b9 be .
442 0x000041ba d9 .
443 0x000041bb 01 .
444 0x000041bc 7a z
445 0x000041bd b3 .
446 0x000041be 02 .
447 0x000041bf 78 x
448 0x000041c0 3d =
449 0x000041c1 d9 .
450 0x000041c2 15 .
451 0x000041c3 04 .
452 0x000041c4 80 .
453 0x000041c5 fe .
454 0x000041c6 b2 .
455 0x000041c7 01 .
456 0x000041c8 fd .
457 0x000041c9 cb .
