base_addr=0x00004000 byte_count=80
idx addr byte ascii
0 0x00004000 6e n
1 0x00004001 6b k
2 0x00004002 31 1
3 0x00004003 a2 .
4 0x00004004 75 u
5 0x00004005 f7 .
6 0x00004006 41 A
7 0x00004007 da .
8 0x00004008 71 q
9 0x00004009 08 .
10 0x0000400a d8 .
11 0x0000400b 68 h
12 0x0000400c b9 .
13 0x0000400d dc .
14 0x0000400e 00 .
15 0x0000400f 63 c
16 0x00004010 c0 .
17 0x00004011 68 h
18 0x00004012 b6 .
19 0x00004013 81 .
20 0x00004014 87 .
21 0x00004015 85 .
22 0x00004016 38 8
23 0x00004017 74 t
24 0x00004018 b3 .
25 0x00004019 0f .
26 0x0000401a e7 .
27 0x0000401b c0 .
28 0x0000401c a9 .
29 0x0000401d db .
30 0x0000401e b4 .
31 0x0000401f d6 .
32 0x00004020 53 S
33 0x00004021 0c .
34 0x00004022 15 .
35 0x00004023 d7 .
36 0x00004024 98 .
37 0x00004025 3b ;
38 0x00004026 60 `
39 0x00004027 80 .
40 0x00004028 9c .
41 0x00004029 53 S
42 0x0000402a 82 .
43 0x0000402b bb .
44 0x0000402c e7 .
45 0x0000402d 60 `
46 0x0000402e c8 .
47 0x0000402f c3 .
48 0x00004030 51 Q
49 0x00004031 63 c
50 0x00004032 e7 .
51 0x00004033 ca .
52 0x00004034 43 C
53 0x00004035 d6 .
54 0x00004036 7a z
55 0x00004037 2a *
56 0x00004038 81 .
57 0x00004039 c0 .
58 0x0000403a b9 .
59 0x0000403b 30 0
60 0x0000403c fc .
61 0x0000403d cc .
62 0x0000403e 7f .
63 0x0000403f b4 .
64 0x00004040 da .
65 0x00004041 11 .
66 0x00004042 1a .
67 0x00004043 59 Y
68 0x00004044 dc .
69 0x00004045 a6 .
70 0x00004046 6b k
71 0x00004047 db .
72 0x00004048 6e n
73 0x00004049 e0 .
74 0x0000404a 27 '
75 0x0000404b ed .
76 0x0000404c ad .
77 0x0000404d 34 4
78 0x0000404e 28 (
79 0x0000404f ca .
