base_addr=0x00004000 byte_count=544
idx addr byte ascii
0 0x00004000 82 .
1 0x00004001 bf .
2 0x00004002 82 .
3 0x00004003 81 .
4 0x00004004 31 1
5 0x00004005 31 1
6 0x00004006 46 F
7 0x00004007 c6 .
8 0x00004008 cc .
9 0x00004009 18 .
10 0x0000400a 1a .
11 0x0000400b 53 S
12 0x0000400c 63 c
13 0x0000400d 6c l
14 0x0000400e cc .
15 0x0000400f 78 x
16 0x00004010 8d .
17 0x00004011 c1 .
18 0x00004012 31 1
19 0x00004013 39 9
20 0x00004014 26 &
21 0x00004015 c8 .
22 0x00004016 08 .
23 0x00004017 99 .
24 0x00004018 21 !
25 0x00004019 43 C
26 0x0000401a 64 d
27 0x0000401b 8a .
28 0x0000401c 8c .
29 0x0000401d 91 .
30 0x0000401e 39 9
31 0x0000401f 78 x
32 0x00004020 32 2
33 0x00004021 48 H
34 0x00004022 26 &
35 0x00004023 c9 .
36 0x00004024 28 (
37 0x00004025 99 .
38 0x00004026 25 %
39 0x00004027 c3 .
40 0x00004028 64 d
41 0x00004029 9a .
42 0x0000402a 8c .
43 0x0000402b 93 .
44 0x0000402c 79 y
45 0x0000402d 32 2
46 0x0000402e 50 P
47 0x0000402f 78 x
48 0x00004030 26 &
49 0x00004031 ca .
50 0x00004032 48 H
51 0x00004033 99 .
52 0x00004034 29 )
53 0x00004035 43 C
54 0x00004036 65 e
55 0x00004037 aa .
56 0x00004038 8c .
57 0x00004039 95 .
58 0x0000403a b9 .
59 0x0000403b 32 2
60 0x0000403c 58 X
61 0x0000403d 26 &
62 0x0000403e cb .
63 0x0000403f 78 x
64 0x00004040 68 h
65 0x00004041 99 .
66 0x00004042 30 0
67 0x00004043 23 #
68 0x00004044 66 f
69 0x00004045 c6 .
70 0x00004046 0c .
71 0x00004047 99 .
72 0x00004048 29 )
73 0x00004049 33 3
74 0x0000404a 66 f
75 0x0000404b e6 .
76 0x0000404c cc .
77 0x0000404d a0 .
78 0x0000404e 99 .
79 0x0000404f 78 x
80 0x00004050 34 4
81 0x00004051 a3 .
82 0x00004052 66 f
83 0x00004053 d6 .
84 0x00004054 0c .
85 0x00004055 9b .
86 0x00004056 69 i
87 0x00004057 33 3
88 0x00004058 6e n
89 0x00004059 e6 .
90 0x0000405a cd .
91 0x0000405b c0 .
92 0x0000405c 99 .
93 0x0000405d 38 8
94 0x0000405e 23 #
95 0x0000405f 78 x
96 0x00004060 67 g
97 0x00004061 e6 .
98 0x00004062 0c .
99 0x00004063 9d .
100 0x00004064 a9 .
101 0x00004065 33 3
102 0x00004066 76 v
103 0x00004067 e6 .
104 0x00004068 ce .
105 0x00004069 e0 .
106 0x0000406a 99 .
107 0x0000406b 3c <
108 0x0000406c a3 .
109 0x0000406d 57 W
110 0x0000406e 60 `
111 0x0000406f 78 x
112 0x00004070 04 .
113 0x00004071 c5 .
114 0x00004072 70 p
115 0x00004073 82 .
116 0x00004074 a4 .
117 0x00004075 68 h
118 0x00004076 86 .
119 0x00004077 e5 .
120 0x00004078 78 x
121 0x00004079 41 A
122 0x0000407a 94 .
123 0x0000407b 64 d
124 0x0000407c 45 E
125 0x0000407d d5 .
126 0x0000407e 74 t
127 0x0000407f 78 x
128 0x00004080 c3 .
129 0x00004081 b4 .
130 0x00004082 6c l
131 0x00004083 c7 .
132 0x00004084 f5 .
133 0x00004085 fc .
134 0x00004086 20  
135 0x00004087 8c .
136 0x00004088 04 .
137 0x00004089 81 .
138 0x0000408a 38 8
139 0x0000408b 49 I
140 0x0000408c b3 .
141 0x0000408d bc .
142 0x0000408e 28 (
143 0x0000408f 78 x
144 0x00004090 ab .
145 0x00004091 ba .
146 0x00004092 69 i
147 0x00004093 bb .
148 0x00004094 7e ~
149 0x00004095 18 .
150 0x00004096 a7 .
151 0x00004097 79 y
152 0x00004098 59 Y
153 0x00004099 b7 .
154 0x0000409a fd .
155 0x0000409b 38 8
156 0x0000409c af .
157 0x0000409d fb .
158 0x0000409e 79 y
159 0x0000409f 78 x
160 0x000040a0 bf .
161 0x000040a1 1f .
162 0x000040a2 40 @
163 0x000040a3 b0 .
164 0x000040a4 20  
165 0x000040a5 80 .
166 0x000040a6 a0 .
167 0x000040a7 18 .
168 0x000040a8 4e N
169 0x000040a9 90 .
170 0x000040aa 14 .
171 0x000040ab cd .
172 0x000040ac b0 .
173 0x000040ad 1c .
174 0x000040ae 2f /
175 0x000040af 78 x
176 0x000040b0 88 .
177 0x000040b1 92 .
178 0x000040b2 ac .
179 0x000040b3 a8 .
180 0x000040b4 9a .
181 0x000040b5 6e n
182 0x000040b6 98 .
183 0x000040b7 96 .
184 0x000040b8 ed .
185 0x000040b9 b8 .
186 0x000040ba 9e .
187 0x000040bb 1f .
188 0x000040bc 84 .
189 0x000040bd 51 Q
190 0x000040be 2c ,
191 0x000040bf 78 x
192 0x000040c0 08 .
193 0x000040c1 24 $
194 0x000040c2 69 i
195 0x000040c3 96 .
196 0x000040c4 17 .
197 0x000040c5 65 e
198 0x000040c6 55 U
199 0x000040c7 37 7
200 0x000040c8 6d m
201 0x000040c9 d7 .
202 0x000040ca 0f .
203 0x000040cb e3 .
204 0x000040cc 34 4
205 0x000040cd 2f /
206 0x000040ce eb .
207 0x000040cf 78 x
208 0x000040d0 b6 .
209 0x000040d1 1f .
210 0x000040d2 e7 .
211 0x000040d3 75 u
212 0x000040d4 3f ?
213 0x000040d5 ef .
214 0x000040d6 f7 .
215 0x000040d7 03 .
216 0x000040d8 08 .
217 0x000040d9 46 F
218 0x000040da 04 .
219 0x000040db 01 .
220 0x000040dc 14 .
221 0x000040dd c3 .
222 0x000040de 09 .
223 0x000040df 78 x
224 0x000040e0 92 .
225 0x000040e1 a2 .
226 0x000040e2 19 .
227 0x000040e3 96 .
228 0x000040e4 e3 .
229 0x000040e5 05 .
230 0x000040e6 51 Q
231 0x000040e7 92 .
232 0x000040e8 15 .
233 0x000040e9 55 U
234 0x000040ea d3 .
235 0x000040eb 0d .
236 0x000040ec d3 .
237 0x000040ed b2 .
238 0x000040ee 1d .
239 0x000040ef 78 x
240 0x000040f0 d7 .
241 0x000040f1 f3 .
242 0x000040f2 83 .
243 0x000040f3 30 0
244 0x000040f4 8a .
245 0x000040f5 13 .
246 0x000040f6 41 A
247 0x000040f7 20  
248 0x000040f8 cd .
249 0x000040f9 f2 .
250 0x000040fa a2 .
251 0x000040fb ac .
252 0x000040fc ea .
253 0x000040fd a6 .
254 0x000040fe ed .
255 0x000040ff 78 x
256 0x00004100 fa .
257 0x00004101 61 a
258 0x00004102 9c .
259 0x00004103 e6 .
260 0x00004104 65 e
261 0x00004105 dd .
262 0x00004106 f6 .
263 0x00004107 e3 .
264 0x00004108 bc .
265 0x00004109 ee .
266 0x0000410a e7 .
267 0x0000410b fd .
268 0x0000410c 7e ~
269 0x0000410d 00 .
270 0x0000410e c1 .
271 0x0000410f 78 x
272 0x00004110 08 .
273 0x00004111 2a *
274 0x00004112 08 .
275 0x00004113 60 `
276 0x00004114 38 8
277 0x00004115 41 A
278 0x00004116 52 R
279 0x00004117 34 4
280 0x00004118 c3 .
281 0x00004119 72 r
282 0x0000411a bc .
283 0x0000411b 20  
284 0x0000411c 4a J
285 0x0000411d b2 .
286 0x0000411e a2 .
287 0x0000411f 78 x
288 0x00004120 6a j
289 0x00004121 ba .
290 0x00004122 61 a
291 0x00004123 5a Z
292 0x00004124 b6 .
293 0x00004125 e3 .
294 0x00004126 7a z
295 0x00004127 7e ~
296 0x00004128 10 .
297 0x00004129 46 F
298 0x0000412a 71 q
299 0x0000412b 92 .
300 0x0000412c 0a .
301 0x0000412d 02 .
302 0x0000412e 59 Y
303 0x0000412f 78 x
304 0x00004130 5e ^
305 0x00004131 94 .
306 0x00004132 55 U
307 0x00004133 dd .
308 0x00004134 b4 .
309 0x00004135 5d ]
310 0x00004136 3f ?
311 0x00004137 8c .
312 0x00004138 d3 .
313 0x00004139 bc .
314 0x0000413a ac .
315 0x0000413b db .
316 0x0000413c 7e ~
317 0x0000413d 9c .
318 0x0000413e d7 .
319 0x0000413f 78 x
320 0x00004140 fd .
321 0x00004141 bc .
322 0x00004142 df .
323 0x00004143 0f .
324 0x00004144 20  
325 0x00004145 18 .
326 0x00004146 41 A
327 0x00004147 31 1
328 0x00004148 41 A
329 0x00004149 00 .
330 0x0000414a 27 '
331 0x0000414b 48 H
332 0x0000414c 8a .
333 0x0000414d 66 f
334 0x0000414e 58 X
335 0x0000414f 78 x
336 0x00004150 8e .
337 0x00004151 17 .
338 0x00004152 44 D
339 0x00004153 49 I
340 0x00004154 56 V
341 0x00004155 54 T
342 0x00004156 4d M
343 0x00004157 37 7
344 0x00004158 4c L
345 0x00004159 cb .
346 0x0000415a 76 v
347 0x0000415b 5c \
348 0x0000415c cf .
349 0x0000415d 0f .
350 0x0000415e c2 .
351 0x0000415f 78 x
352 0x00004160 28 (
353 0x00004161 4e N
354 0x00004162 d2 .
355 0x00004163 4c L
356 0x00004164 10 .
357 0x00004165 c8 .
358 0x00004166 8b .
359 0x00004167 b2 .
360 0x00004168 aa .
361 0x00004169 9b .
362 0x0000416a b6 .
363 0x0000416b eb .
364 0x0000416c 87 .
365 0x0000416d 71 q
366 0x0000416e 9a .
367 0x0000416f 78 x
368 0x00004170 97 .
369 0x00004171 75 u
370 0x00004172 db .
371 0x00004173 8f .
372 0x00004174 f3 .
373 0x00004175 ba .
374 0x00004176 9f .
375 0x00004177 f7 .
376 0x00004178 fb .
377 0x00004179 01 .
378 0x0000417a 04 .
379 0x0000417b 23 #
380 0x0000417c 28 (
381 0x0000417d 86 .
382 0x0000417e 0b .
383 0x0000417f 78 x
384 0x00004180 02 .
385 0x00004181 04 .
386 0x00004182 49 I
387 0x00004183 d1 .
388 0x00004184 0c .
389 0x00004185 cb .
390 0x00004186 f1 .
391 0x00004187 82 .
392 0x00004188 28 (
393 0x00004189 c9 .
394 0x0000418a 8a .
395 0x0000418b aa .
396 0x0000418c e9 .
397 0x0000418d 86 .
398 0x0000418e 69 i
399 0x0000418f 78 x
400 0x00004190 d9 .
401 0x00004191 8e .
402 0x00004192 eb .
403 0x00004193 f9 .
404 0x00004194 41 A
405 0x00004195 18 .
406 0x00004196 c5 .
407 0x00004197 49 I
408 0x00004198 9a .
409 0x00004199 e5 .
410 0x0000419a 82 .
411 0x0000419b 40 @
412 0x0000419c 51 Q
413 0x0000419d 56 V
414 0x0000419e 75 u
415 0x0000419f 78 x
416 0x000041a0 d3 .
417 0x000041a1 76 v
418 0x000041a2 fd .
419 0x000041a3 30 0
420 0x000041a4 4e N
421 0x000041a5 f3 .
422 0x000041a6 b2 .
423 0x000041a7 6e n
424 0x000041a8 fb .
425 0x000041a9 71 q
426 0x000041aa 5e ^
427 0x000041ab f7 .
428 0x000041ac f3 .
429 0x000041ad 7e ~
430 0x000041ae 3f ?
431 0x000041af 78 x
432 0x000041b0 80 .
433 0x000041b1 60 `
434 0x000041b2 04 .
435 0x000041b3 c5 .
436 0x000041b4 70 p
437 0x000041b5 42 B
438 0x000041b6 10 .
439 0x000041b7 20  
440 0x000041b8 29 )
441 0x000041b9 9a .
442 0x000041ba 61 a
443 0x000041bb 39 9
444 0x000041bc 5e ^
445 0x000041bd 10 .
446 0x000041be 25 %
447 0x000041bf 78 x
448 0x000041c0 59 Y
449 0x000041c1 51 Q
450 0x000041c2 35 5
451 0x000041c3 dd .
452 0x000041c4 30 0
453 0x000041c5 2d -
454 0x000041c6 db .
455 0x000041c7 71 q
456 0x000041c8 3d =
457 0x000041c9 3f ?
458 0x000041ca 08 .
459 0x000041cb a3 .
460 0x000041cc 38 8
461 0x000041cd 49 I
462 0x000041ce b3 .
463 0x000041cf 78 x
464 0x000041d0 bc .
465 0x000041d1 10 .
466 0x000041d2 04 .
467 0x000041d3 ca .
468 0x000041d4 aa .
469 0x000041d5 6e n
470 0x000041d6 da .
471 0x000041d7 ae .
472 0x000041d8 1f .
473 0x000041d9 c6 .
474 0x000041da 69 i
475 0x000041db 5e ^
476 0x000041dc d6 .
477 0x000041dd 6d m
478 0x000041de 3f ?
479 0x000041df 78 x
480 0x000041e0 ce .
481 0x000041e1 eb .
482 0x000041e2 7e ~
483 0x000041e3 de .
484 0x000041e4 ef .
485 0x000041e5 07 .
486 0x000041e6 10 .
487 0x000041e7 8c .
488 0x000041e8 a0 .
489 0x000041e9 18 .
490 0x000041ea 4e N
491 0x000041eb 90 .
492 0x000041ec 82 .
493 0x000041ed 00 .
494 0x000041ee 45 E
495 0x000041ef 78 x
496 0x000041f0 33 3
497 0x000041f1 2c ,
498 0x000041f2 c7 .
499 0x000041f3 0b .
500 0x000041f4 a2 .
501 0x000041f5 24 $
502 0x000041f6 2b +
503 0x000041f7 aa .
504 0x000041f8 a6 .
505 0x000041f9 1b .
506 0x000041fa a6 .
507 0x000041fb 65 e
508 0x000041fc 3b ;
509 0x000041fd ae .
510 0x000041fe e7 .
511 0x000041ff 78 x
512 0x00004200 07 .
513 0x00004201 61 a
514 0x00004202 14 .
515 0x00004203 27 '
516 0x00004204 69 i
517 0x00004205 96 .
518 0x00004206 17 .
519 0x00004207 a5 .
520 0x00004208 18 .
521 0x00004209 50 P
522 0x0000420a d5 .
523 0x0000420b 4d M
524 0x0000420c db .
525 0x0000420d f5 .
526 0x0000420e c3 .
527 0x0000420f 78 x
528 0x00004210 38 8
529 0x00004211 cd .
530 0x00004212 cb .
531 0x00004213 ba .
532 0x00004214 ed .
533 0x00004215 c7 .
534 0x00004216 79 y
535 0x00004217 dd .
536 0x00004218 cf .
537 0x00004219 fb .
538 0x0000421a fd .
539 0x0000421b 00 .
540 0x0000421c 02 .
541 0x0000421d 00 .
542 0x0000421e 00 .
543 0x0000421f e3 .
