base_addr=0x00002000 byte_count=576
idx addr byte ascii
0 0x00002000 20  
1 0x00002001 21 !
2 0x00002002 22 "
3 0x00002003 23 #
4 0x00002004 24 $
5 0x00002005 25 %
6 0x00002006 26 &
7 0x00002007 27 '
8 0x00002008 28 (
9 0x00002009 29 )
10 0x0000200a 2a *
11 0x0000200b 2b +
12 0x0000200c 2c ,
13 0x0000200d 2d -
14 0x0000200e 2e .
15 0x0000200f 2f /
16 0x00002010 30 0
17 0x00002011 31 1
18 0x00002012 32 2
19 0x00002013 33 3
20 0x00002014 34 4
21 0x00002015 35 5
22 0x00002016 36 6
23 0x00002017 37 7
24 0x00002018 38 8
25 0x00002019 39 9
26 0x0000201a 3a :
27 0x0000201b 3b ;
28 0x0000201c 3c <
29 0x0000201d 3d =
30 0x0000201e 3e >
31 0x0000201f 3f ?
32 0x00002020 40 @
33 0x00002021 41 A
34 0x00002022 42 B
35 0x00002023 43 C
36 0x00002024 44 D
37 0x00002025 45 E
38 0x00002026 46 F
39 0x00002027 47 G
40 0x00002028 48 H
41 0x00002029 49 I
42 0x0000202a 4a J
43 0x0000202b 4b K
44 0x0000202c 4c L
45 0x0000202d 4d M
46 0x0000202e 4e N
47 0x0000202f 4f O
48 0x00002030 50 P
49 0x00002031 51 Q
50 0x00002032 52 R
51 0x00002033 53 S
52 0x00002034 54 T
53 0x00002035 55 U
54 0x00002036 56 V
55 0x00002037 57 W
56 0x00002038 58 X
57 0x00002039 59 Y
58 0x0000203a 5a Z
59 0x0000203b 5b [
60 0x0000203c 5c \
61 0x0000203d 5d ]
62 0x0000203e 5e ^
63 0x0000203f 5f _
64 0x00002040 60 `
65 0x00002041 61 a
66 0x00002042 62 b
67 0x00002043 63 c
68 0x00002044 64 d
69 0x00002045 65 e
70 0x00002046 66 f
71 0x00002047 67 g
72 0x00002048 68 h
73 0x00002049 69 i
74 0x0000204a 6a j
75 0x0000204b 6b k
76 0x0000204c 6c l
77 0x0000204d 6d m
78 0x0000204e 6e n
79 0x0000204f 6f o
80 0x00002050 70 p
81 0x00002051 71 q
82 0x00002052 72 r
83 0x00002053 73 s
84 0x00002054 74 t
85 0x00002055 75 u
86 0x00002056 76 v
87 0x00002057 77 w
88 0x00002058 78 x
89 0x00002059 79 y
90 0x0000205a 7a z
91 0x0000205b 7b {
92 0x0000205c 7c |
93 0x0000205d 7d }
94 0x0000205e 7e ~
95 0x0000205f 0a .
96 0x00002060 20  
97 0x00002061 21 !
98 0x00002062 22 "
99 0x00002063 23 #
100 0x00002064 24 $
101 0x00002065 25 %
102 0x00002066 26 &
103 0x00002067 27 '
104 0x00002068 28 (
105 0x00002069 29 )
106 0x0000206a 2a *
107 0x0000206b 2b +
108 0x0000206c 2c ,
109 0x0000206d 2d -
110 0x0000206e 2e .
111 0x0000206f 2f /
112 0x00002070 30 0
113 0x00002071 31 1
114 0x00002072 32 2
115 0x00002073 33 3
116 0x00002074 34 4
117 0x00002075 35 5
118 0x00002076 36 6
119 0x00002077 37 7
120 0x00002078 38 8
121 0x00002079 39 9
122 0x0000207a 3a :
123 0x0000207b 3b ;
124 0x0000207c 3c <
125 0x0000207d 3d =
126 0x0000207e 3e >
127 0x0000207f 3f ?
128 0x00002080 40 @
129 0x00002081 41 A
130 0x00002082 42 B
131 0x00002083 43 C
132 0x00002084 44 D
133 0x00002085 45 E
134 0x00002086 46 F
135 0x00002087 47 G
136 0x00002088 48 H
137 0x00002089 49 I
138 0x0000208a 4a J
139 0x0000208b 4b K
140 0x0000208c 4c L
141 0x0000208d 4d M
142 0x0000208e 4e N
143 0x0000208f 4f O
144 0x00002090 50 P
145 0x00002091 51 Q
146 0x00002092 52 R
147 0x00002093 53 S
148 0x00002094 54 T
149 0x00002095 55 U
150 0x00002096 56 V
151 0x00002097 57 W
152 0x00002098 58 X
153 0x00002099 59 Y
154 0x0000209a 5a Z
155 0x0000209b 5b [
156 0x0000209c 5c \
157 0x0000209d 5d ]
158 0x0000209e 5e ^
159 0x0000209f 5f _
160 0x000020a0 60 `
161 0x000020a1 61 a
162 0x000020a2 62 b
163 0x000020a3 63 c
164 0x000020a4 64 d
165 0x000020a5 65 e
166 0x000020a6 66 f
167 0x000020a7 67 g
168 0x000020a8 68 h
169 0x000020a9 69 i
170 0x000020aa 6a j
171 0x000020ab 6b k
172 0x000020ac 6c l
173 0x000020ad 6d m
174 0x000020ae 6e n
175 0x000020af 6f o
176 0x000020b0 70 p
177 0x000020b1 71 q
178 0x000020b2 72 r
179 0x000020b3 73 s
180 0x000020b4 74 t
181 0x000020b5 75 u
182 0x000020b6 76 v
183 0x000020b7 77 w
184 0x000020b8 78 x
185 0x000020b9 79 y
