base_addr=0x00004000 byte_count=80
idx addr byte ascii
0 0x00004000 82 .
1 0x00004001 42 B
2 0x00004002 58 X
3 0x00004003 48 H
4 0x00004004 0b .
5 0x00004005 01 .
6 0x00004006 00 .
7 0x00004007 00 .
8 0x00004008 00 .
9 0x00004009 83 .
10 0x0000400a 61 a
11 0x0000400b 82 .
12 0x0000400c 83 .
13 0x0000400d 82 .
14 0x0000400e 08 .
15 0x0000400f 78 x
16 0x00004010 13 .
17 0x00004011 62 b
18 0x00004012 e1 .
19 0x00004013 ff .
20 0x00004014 03 .
21 0x00004015 00 .
22 0x00004016 00 .
23 0x00004017 20  
24 0x00004018 28 (
25 0x00004019 88 .
26 0x0000401a 05 .
27 0x0000401b bb .
28 0x0000401c 00 .
29 0x0000401d 80 .
30 0x0000401e ff .
31 0x0000401f 78 x
32 0x00004020 ff .
33 0x00004021 2f /
34 0x00004022 38 8
35 0x00004023 28 (
36 0x00004024 88 .
37 0x00004025 33 3
38 0x00004026 61 a
39 0x00004027 17 .
40 0x00004028 00 .
41 0x00004029 00 .
42 0x0000402a e8 .
43 0x0000402b ff .
44 0x0000402c ff .
45 0x0000402d 7f .
46 0x0000402e 41 A
47 0x0000402f 78 x
48 0x00004030 21 !
49 0x00004031 2c ,
50 0x00004032 9c .
51 0x00004033 85 .
52 0x00004034 ff .
53 0x00004035 ff .
54 0x00004036 ff .
55 0x00004037 07 .
56 0x00004038 41 A
57 0x00004039 21 !
58 0x0000403a 2c ,
59 0x0000403b a0 .
60 0x0000403c 05 .
61 0x0000403d 00 .
62 0x0000403e 00 .
63 0x0000403f 78 x
64 0x00004040 ff .
65 0x00004041 7f .
66 0x00004042 25 %
67 0x00004043 41 A
68 0x00004044 21 !
69 0x00004045 a0 .
70 0x00004046 85 .
71 0x00004047 ff .
72 0x00004048 7f .
73 0x00004049 00 .
74 0x0000404a 00 .
75 0x0000404b 00 .
76 0x0000404c 00 .
77 0x0000404d 00 .
78 0x0000404e 00 .
79 0x0000404f c9 .
