base_addr=0x00004000 byte_count=1024
idx addr byte ascii
0 0x00004000 82 .
1 0x00004001 15 .
2 0x00004002 14 .
3 0x00004003 06 .
4 0x00004004 48 H
5 0x00004005 80 .
6 0x00004006 39 9
7 0x00004007 31 1
8 0x00004008 47 G
9 0x00004009 06 .
10 0x0000400a cd .
11 0x0000400b 1c .
12 0x0000400c 1a .
13 0x0000400d 53 S
14 0x0000400e 63 c
15 0x0000400f 78 x
16 0x00004010 6c l
17 0x00004011 ca .
18 0x00004012 cd .
19 0x00004013 c0 .
20 0x00004014 29 )
21 0x00004015 39 9
22 0x00004016 03 .
23 0x00004017 89 .
24 0x00004018 3d =
25 0x00004019 31 1
26 0x0000401a a9 .
27 0x0000401b 35 5
28 0x0000401c b5 .
29 0x0000401d c2 .
30 0x0000401e 56 V
31 0x0000401f 78 x
32 0x00004020 d9 .
33 0x00004021 82 .
34 0x00004022 5b [
35 0x00004023 72 r
36 0x00004024 8b .
37 0x00004025 6e n
38 0x00004026 fd .
39 0x00004027 f3 .
40 0x00004028 3f ?
41 0x00004029 ff .
42 0x0000402a ff .
43 0x0000402b 07 .
44 0x0000402c ff .
45 0x0000402d f7 .
46 0x0000402e ef .
47 0x0000402f 78 x
48 0x00004030 7f .
49 0x00004031 fd .
50 0x00004032 f7 .
51 0x00004033 7f .
52 0x00004034 fe .
53 0x00004035 f1 .
54 0x00004036 af .
55 0x00004037 ff .
56 0x00004038 fd .
57 0x00004039 3b ;
58 0x0000403a bb .
59 0x0000403b 40 @
60 0x0000403c ff .
61 0x0000403d b2 .
62 0x0000403e 0a .
63 0x0000403f 78 x
64 0x00004040 02 .
65 0x00004041 00 .
66 0x00004042 fa .
67 0x00004043 66 f
68 0x00004044 03 .
69 0x00004045 fa .
70 0x00004046 c9 .
71 0x00004047 0e .
72 0x00004048 d0 .
73 0x00004049 9b .
74 0x0000404a 09 .
75 0x0000404b 02 .
76 0x0000404c b8 .
77 0x0000404d 40 @
78 0x0000404e 9f .
79 0x0000404f 78 x
80 0x00004050 ac .
81 0x00004051 40 @
82 0x00004052 4f O
83 0x00004053 36 6
84 0x00004054 a0 .
85 0x00004055 df .
86 0x00004056 08 .
87 0x00004057 02 .
88 0x00004058 d8 .
89 0x00004059 0b .
90 0x0000405a dc .
91 0x0000405b 4f O
92 0x0000405c 76 v
93 0x0000405d 81 .
94 0x0000405e fe .
95 0x0000405f 78 x
96 0x00004060 b2 .
97 0x00004061 02 .
98 0x00004062 ad .
99 0x00004063 20  
100 0x00004064 80 .
101 0x00004065 ec .
102 0x00004066 00 .
103 0x00004067 5d ]
104 0x00004068 76 v
105 0x00004069 81 .
106 0x0000406a fe .
107 0x0000406b 65 e
108 0x0000406c 03 .
109 0x0000406d 8e .
110 0x0000406e 20  
111 0x0000406f 78 x
112 0x00004070 80 .
113 0x00004071 65 e
114 0x00004072 05 .
115 0x00004073 fa .
116 0x00004074 64 d
117 0x00004075 07 .
