base_addr=0x00004000 byte_count=3984
idx addr byte ascii
0 0x00004000 82 .
1 0x00004001 bd .
2 0x00004002 c2 .
3 0x00004003 01 .
4 0x00004004 11 .
5 0x00004005 23 #
6 0x00004006 ab .
7 0x00004007 c5 .
8 0x00004008 bc .
9 0x00004009 30 0
10 0x0000400a 18 .
11 0x0000400b 12 .
12 0x0000400c 53 S
13 0x0000400d 64 d
14 0x0000400e ca .
15 0x0000400f 78 x
16 0x00004010 cc .
17 0x00004011 a1 .
18 0x00004012 31 1
19 0x00004013 35 5
20 0x00004014 c7 .
21 0x00004015 e6 .
22 0x00004016 dc .
23 0x00004017 20  
24 0x00004018 1c .
25 0x00004019 93 .
26 0x0000401a 93 .
27 0x0000401b 74 t
28 0x0000401c 4c L
29 0x0000401d 8f .
30 0x0000401e 09 .
31 0x0000401f 78 x
32 0x00004020 2a *
33 0x00004021 42 B
34 0x00004022 67 g
35 0x00004023 a8 .
36 0x00004024 10 .
37 0x00004025 99 .
38 0x00004026 22 "
39 0x00004027 62 b
40 0x00004028 84 .
41 0x00004029 8e .
42 0x0000402a 10 .
43 0x0000402b 12 .
44 0x0000402c 4a J
45 0x0000402d 3a :
46 0x0000402e 4b K
47 0x0000402f 78 x
48 0x00004030 87 .
49 0x00004031 c9 .
50 0x00004032 34 4
51 0x00004033 1d .
52 0x00004034 27 '
53 0x00004035 f3 .
54 0x00004036 54 T
55 0x00004037 a0 .
56 0x00004038 4e N
57 0x00004039 54 T
58 0x0000403a 92 .
59 0x0000403b 22 "
60 0x0000403c 53 S
61 0x0000403d 85 .
62 0x0000403e aa .
63 0x0000403f 78 x
64 0x00004040 54 T
65 0x00004041 19 .
66 0x00004042 ab .
67 0x00004043 74 t
68 0x00004044 85 .
69 0x00004045 b0 .
70 0x00004046 58 X
71 0x00004047 96 .
72 0x00004048 d1 .
73 0x00004049 52 R
74 0x0000404a 5f _
75 0x0000404b 26 &
76 0x0000404c 6c l
77 0x0000404d 8d .
78 0x0000404e 2d -
79 0x0000404f 78 x
80 0x00004050 32 2
81 0x00004051 56 V
82 0x00004052 a6 .
83 0x00004053 cc .
84 0x00004054 d8 .
85 0x00004055 19 .
86 0x00004056 43 C
87 0x00004057 63 c
88 0x00004058 69 i
89 0x00004059 8a .
90 0x0000405a 6d m
91 0x0000405b b5 .
92 0x0000405c 2d -
93 0x0000405d 37 7
94 0x0000405e f5 .
95 0x0000405f 78 x
96 0x00004060 a6 .
97 0x00004061 e0 .
98 0x00004062 94 .
99 0x00004063 9c .
100 0x00004064 9a .
101 0x00004065 5b [
102 0x00004066 74 t
103 0x00004067 29 )
104 0x00004068 6f o
105 0x00004069 f1 .
106 0x0000406a 91 .
107 0x0000406b bf .
108 0x0000406c 51 Q
109 0x0000406d 35 5
110 0x0000406e 6f o
111 0x0000406f 78 x
112 0x00004070 a6 .
113 0x00004071 e8 .
114 0x00004072 0f .
115 0x00004073 5d ]
116 0x00004074 1b .
117 0x00004075 4b K
118 0x00004076 f9 .
119 0x00004077 a0 .
120 0x00004078 a6 .
121 0x00004079 e7 .
122 0x0000407a 6b k
123 0x0000407b d1 .
124 0x0000407c d3 .
125 0x0000407d df .
126 0x0000407e 78 x
127 0x0000407f 78 x
128 0x00004080 ff .
129 0x00004081 e3 .
130 0x00004082 af .
131 0x00004083 7f .
132 0x00004084 09 .
133 0x00004085 02 .
134 0x00004086 7f .
135 0x00004087 ff .
136 0x00004088 39 9
137 0x00004089 d2 .
138 0x0000408a ee .
139 0x0000408b 4f O
140 0x0000408c ad .
141 0x0000408d 2d -
142 0x0000408e 3d =
143 0x0000408f 78 x
144 0x00004090 5f _
145 0x00004091 38 8
146 0x00004092 b3 .
147 0x00004093 fe .
148 0x00004094 b8 .
149 0x00004095 67 g
150 0x00004096 c5 .
151 0x00004097 f9 .
152 0x00004098 a5 .
153 0x00004099 ac .
154 0x0000409a 8a .
155 0x0000409b 23 #
156 0x0000409c 08 .
157 0x0000409d e8 .
158 0x0000409e 0f .
159 0x0000409f 78 x
160 0x000040a0 5d ]
161 0x000040a1 1b .
162 0x000040a2 ce .
163 0x000040a3 56 V
164 0x000040a4 d5 .
165 0x000040a5 70 p
166 0x000040a6 72 r
167 0x000040a7 b2 .
168 0x000040a8 19 .
169 0x000040a9 a7 .
170 0x000040aa b6 .
171 0x000040ab d4 .
172 0x000040ac b6 .
173 0x000040ad 8a .
174 0x000040ae 63 c
175 0x000040af 78 x
176 0x000040b0 82 .
177 0x000040b1 80 .
178 0x000040b2 a6 .
179 0x000040b3 5a Z
180 0x000040b4 56 V
181 0x000040b5 1c .
182 0x000040b6 d3 .
183 0x000040b7 66 f
184 0x000040b8 3b ;
185 0x000040b9 4e N
186 0x000040ba b6 .
187 0x000040bb 7c |
188 0x000040bc fa .
189 0x000040bd 1b .
190 0x000040be f5 .
191 0x000040bf 78 x
192 0x000040c0 3f ?
193 0x000040c1 bf .
194 0x000040c2 ff .
195 0x000040c3 fc .
196 0x000040c4 ff .
197 0x000040c5 5f _
198 0x000040c6 7f .
199 0x000040c7 fe .
200 0x000040c8 f6 .
201 0x000040c9 0f .
202 0x000040ca 04 .
203 0x000040cb 81 .
204 0x000040cc ff .
205 0x000040cd f9 .
206 0x000040ce fb .
207 0x000040cf 78 x
208 0x000040d0 cf .
209 0x000040d1 bf .
210 0x000040d2 f3 .
211 0x000040d3 bf .
212 0x000040d4 7f .
213 0x000040d5 fc .
214 0x000040d6 c5 .
215 0x000040d7 cf .
216 0x000040d8 5f _
217 0x000040d9 ff .
218 0x000040da fd .
219 0x000040db f3 .
220 0x000040dc b7 .
221 0x000040dd df .
222 0x000040de ff .
223 0x000040df 78 x
224 0x000040e0 8f .
225 0x000040e1 7f .
226 0x000040e2 fc .
227 0x000040e3 f1 .
228 0x000040e4 af .
229 0x000040e5 3f ?
230 0x000040e6 ff .
231 0x000040e7 fa .
232 0x000040e8 f5 .
233 0x000040e9 df .
234 0x000040ea ff .
235 0x000040eb fe .
236 0x000040ec ed .
237 0x000040ed 8f .
238 0x000040ee df .
239 0x000040ef 78 x
240 0x000040f0 ff .
241 0x000040f1 eb .
242 0x000040f2 d7 .
243 0x000040f3 df .
244 0x000040f4 ff .
245 0x000040f5 21 !
246 0x000040f6 08 .
247 0x000040f7 fc .
248 0x000040f8 f5 .
249 0x000040f9 9f .
250 0x000040fa 3f ?
251 0x000040fb 7f .
252 0x000040fc fe .
253 0x000040fd f6 .
254 0x000040fe c7 .
255 0x000040ff 78 x
256 0x00004100 ef .
257 0x00004101 fc .
258 0x00004102 f9 .
259 0x00004103 db .
260 0x00004104 9f .
261 0x00004105 bf .
262 0x00004106 fe .
263 0x00004107 f3 .
264 0x00004108 b7 .
265 0x00004109 df .
266 0x0000410a 7f .
267 0x0000410b 3d =
268 0x0000410c 9d .
269 0x0000410d a2 .
270 0x0000410e c4 .
271 0x0000410f 78 x
272 0x00004110 6b k
273 0x00004111 27 '
274 0x00004112 7d }
275 0x00004113 27 '
276 0x00004114 01 .
277 0x00004115 19 .
278 0x00004116 46 F
279 0x00004117 41 A
