base_addr=0x00004000 byte_count=64
idx addr byte ascii
0 0x00004000 82 .
1 0x00004001 02 .
2 0x00004002 14 .
3 0x00004003 42 B
4 0x00004004 50 P
5 0x00004005 f8 .
6 0x00004006 ff .
7 0x00004007 ff .
8 0x00004008 ff .
9 0x00004009 17 .
10 0x0000400a 04 .
11 0x0000400b f0 .
12 0x0000400c ff .
13 0x0000400d ff .
14 0x0000400e ff .
15 0x0000400f 78 x
16 0x00004010 2f /
17 0x00004011 08 .
18 0x00004012 c0 .
19 0x00004013 ff .
20 0x00004014 ff .
21 0x00004015 ff .
22 0x00004016 5f _
23 0x00004017 10 .
24 0x00004018 c0 .
25 0x00004019 ff .
26 0x0000401a ff .
27 0x0000401b ff .
28 0x0000401c bf .
29 0x0000401d 20  
30 0x0000401e 80 .
31 0x0000401f 78 x
32 0x00004020 fe .
33 0x00004021 ff .
34 0x00004022 ff .
35 0x00004023 7f .
36 0x00004024 41 A
37 0x00004025 00 .
38 0x00004026 ff .
39 0x00004027 ff .
40 0x00004028 ff .
41 0x00004029 ff .
42 0x0000402a 82 .
43 0x0000402b 00 .
44 0x0000402c f6 .
45 0x0000402d ff .
46 0x0000402e ff .
47 0x0000402f 78 x
48 0x00004030 ff .
49 0x00004031 05 .
50 0x00004032 01 .
51 0x00004033 fc .
52 0x00004034 ff .
53 0x00004035 ff .
54 0x00004036 ff .
55 0x00004037 4b K
56 0x00004038 00 .
57 0x00004039 38 8
58 0x0000403a 00 .
59 0x0000403b 00 .
60 0x0000403c 00 .
61 0x0000403d 00 .
62 0x0000403e 00 .
63 0x0000403f cf .
