base_addr=0x00004000 byte_count=32
idx addr byte ascii
0 0x00004000 1e .
1 0x00004001 87 .
2 0x00004002 c2 .
3 0x00004003 08 .
4 0x00004004 19 .
5 0x00004005 37 7
6 0x00004006 43 C
7 0x00004007 68 h
8 0x00004008 44 D
9 0x00004009 8d .
10 0x0000400a b6 .
11 0x0000400b a1 .
12 0x0000400c 27 '
13 0x0000400d 16 .
14 0x0000400e fc .
15 0x0000400f 78 x
16 0x00004010 0a .
17 0x00004011 00 .
18 0x00004012 00 .
19 0x00004013 00 .
20 0x00004014 00 .
21 0x00004015 00 .
22 0x00004016 00 .
23 0x00004017 00 .
24 0x00004018 00 .
25 0x00004019 00 .
26 0x0000401a 00 .
27 0x0000401b 00 .
28 0x0000401c 00 .
29 0x0000401d 00 .
30 0x0000401e 00 .
31 0x0000401f 85 .
