SpO2    Heart Rate
98      72
97      75
99      70
96      78
98      74
97      76
99      71
95      80
98      73
97      77
96      79
98      72
99      69
97      74
96      81
98      75
97      73
99      70
95      82
98      76
97      74
96      78
99      71
98      73
97      75
96      79
98      74
99      72
95      83
97      76
98      75
96      80
99      70
97      74
98      73
96      77
99      69
95      84
98      76
97      75
96      78
98      74
99      71
97      73
96      79
98      77
95      82
99      70
97      74
98      75
96      78
97      76
98      73
99      72
96      80
95      85
98      74
97      77
99      71
96      79
98      75
97      73
99      70
95      83
98      76
97      74
96      81
99      72
98      73
97      75
96      78
98      74
99      71
95      84
97      76
98      75
96      80
99      70
97      74
98      73
96      77
99      69
95      86
98      76
97      75
96      78
98      74
99      71
97      73
96      79
98      77
95      82
99      70
97      74
98      75
96      78
97      76
98      73
99      72
96      80
95      87
98      74
97      77
99      71
96      79
98      75
97      73
99      70
95      83
98      76
97      74
96      81
99      72
98      73
97      75
96      78
98      74
99      71
95      88
97      76
98      75
96      80
99      70
97      74
98      73
96      77
99      69
95      89
98      76
97      75
96      78
98      74
99      71
97      73
96      79
98      77
95      82
99      70
97      74
98      75
96      78
97      76
98      73
99      72
96      80
95      90
98      74
97      77
99      71
96      79
98      75
97      73
99      70
95      83
98      76
97      74
96      81
99      72
98      73
97      75
96      78
98      74
99      71
95      91
97      76
98      75
96      80
99      70
97      74
98      73
96      77
99      69
95      92
98      76
97      75
96      78
98      74
99      71
97      73
96      79
98      77
95      82
99      70
97      74
98      75
96      78
97      76
98      73
99      72
96      80
95      93
98      74
97      77
99      71
96      79
98      75
97      73
99      70
95      83
98      76
97      74
96      81
99      72
98      73
97      75
96      78
98      74
99      71
95      94
97      76
98      75
96      80
99      70
97      74
98      73
96      77
99      69
95      95
98      76
97      75
96      78
98      74
99      71
97      73
96      79
98      77
95      82
99      70
97      74
98      75


