# SECURE EVENT LOG SAMPLE
# Format: TIMESTAMP | DEVICE | ZONE | EVENT | USER | CARD | STATUS | REASON | RETRY | CRC
# Synthetic data for testing compression/encryption pipeline

2026-04-01 08:00:03 | CTRL-01 | LOBBY       | ACCESS_DENIED  | U1015  | CARD500015 | DENIED  | USER_UNAUTHORIZED | RETRY=1 | CRC=347A
2026-04-01 08:00:06 | DOOR-A2 | WAREHOUSE   | HEARTBEAT      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=D806
2026-04-01 08:00:07 | CTRL-01 | LOBBY       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | LOW_BATTERY      | RETRY=0 | CRC=0D96
2026-04-01 08:00:09 | CTRL-02 | OFFICE_3F   | ACCESS_GRANTED | U1034  | CARD500034 | GRANTED | SCHEDULE_OK      | RETRY=0 | CRC=E5FE
2026-04-01 08:00:11 | GATE-01 | PARKING     | DOOR_OPEN      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=D860
2026-04-01 08:00:12 | GATE-01 | SERVER_ROOM | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=3454
2026-04-01 08:00:13 | GATE-02 | LOBBY       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=876F
2026-04-01 08:00:18 | CTRL-01 | OFFICE_3F   | ACCESS_REQUEST | U1007  | CARD500007 | OK      | PIN_OK           | RETRY=0 | CRC=961B
2026-04-01 08:00:23 | DOOR-A2 | WAREHOUSE   | DOOR_CLOSE     | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=6273
2026-04-01 08:00:26 | CTRL-01 | LOBBY       | ACCESS_GRANTED | U1049  | CARD500049 | GRANTED | SCHEDULE_OK      | RETRY=0 | CRC=7730
2026-04-01 08:00:31 | CTRL-01 | LAB_B       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | LOW_BATTERY      | RETRY=0 | CRC=BACB
2026-04-01 08:00:32 | GATE-01 | LAB_A       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=248E
2026-04-01 08:00:34 | DOOR-A2 | SERVER_ROOM | ACCESS_REQUEST | U1015  | CARD500015 | OK      | CARD_OK          | RETRY=1 | CRC=C247
2026-04-01 08:00:35 | DOOR-A2 | OFFICE_3F   | ACCESS_REQUEST | U1043  | CARD500043 | OK      | PIN_OK           | RETRY=0 | CRC=7545
2026-04-01 08:00:40 | CTRL-01 | PARKING     | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=21E3
2026-04-01 08:00:41 | DOOR-A1 | OFFICE_3F   | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | LOW_BATTERY      | RETRY=0 | CRC=FF9B
2026-04-01 08:00:43 | DOOR-A2 | LAB_B       | HEARTBEAT      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=477D
2026-04-01 08:00:44 | DOOR-A2 | WAREHOUSE   | ACCESS_REQUEST | U1047  | CARD500047 | OK      | PIN_OK           | RETRY=1 | CRC=B957
2026-04-01 08:00:45 | CTRL-02 | WAREHOUSE   | ACCESS_REQUEST | U1048  | CARD500048 | OK      | CARD_OK          | RETRY=0 | CRC=4E41
2026-04-01 08:00:48 | CTRL-02 | PARKING     | ACCESS_GRANTED | U1038  | CARD500038 | GRANTED | USER_AUTHORIZED  | RETRY=1 | CRC=C363
2026-04-01 08:00:50 | GATE-02 | WAREHOUSE   | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | LOW_BATTERY      | RETRY=0 | CRC=05E0
2026-04-01 08:00:53 | DOOR-A2 | LOBBY       | ACCESS_GRANTED | U1034  | CARD500034 | GRANTED | SCHEDULE_OK      | RETRY=0 | CRC=391D
2026-04-01 08:00:54 | GATE-02 | SERVER_ROOM | ACCESS_REQUEST | U1046  | CARD500046 | OK      | PIN_OK           | RETRY=0 | CRC=367B
2026-04-01 08:00:59 | DOOR-A2 | LAB_A       | DOOR_OPEN      | SYSTEM | NA         | NORMAL  | SCHEDULE_OK      | RETRY=0 | CRC=BF71
2026-04-01 08:01:04 | CTRL-02 | WAREHOUSE   | MOTION_DETECTED | SYSTEM | NA         | NORMAL  | NETWORK_LOST     | RETRY=0 | CRC=FA2A
2026-04-01 08:01:05 | CTRL-01 | LAB_A       | DOOR_CLOSE     | SYSTEM | NA         | NORMAL  | SCHEDULE_OK      | RETRY=0 | CRC=1DA8
2026-04-01 08:01:06 | DOOR-A1 | LOBBY       | HEARTBEAT      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=F8D3
2026-04-01 08:01:11 | CTRL-01 | PARKING     | ACCESS_REQUEST | U1008  | CARD500008 | OK      | CARD_OK          | RETRY=1 | CRC=548B
2026-04-01 08:01:12 | DOOR-A1 | PARKING     | ACCESS_GRANTED | U1013  | CARD500013 | GRANTED | USER_AUTHORIZED  | RETRY=0 | CRC=CC48
2026-04-01 08:01:15 | DOOR-A2 | LAB_A       | ACCESS_REQUEST | U1033  | CARD500033 | OK      | PIN_OK           | RETRY=0 | CRC=7EED
2026-04-01 08:01:16 | CTRL-01 | LAB_A       | HEARTBEAT      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=75D1
2026-04-01 08:01:18 | CTRL-02 | LOBBY       | HEARTBEAT      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=1E24
2026-04-01 08:01:19 | CTRL-01 | LOBBY       | DOOR_OPEN      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=79DB
2026-04-01 08:01:20 | DOOR-A2 | LAB_B       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=F201
2026-04-01 08:01:21 | DOOR-B1 | LAB_B       | ACCESS_DENIED  | U1012  | CARD500012 | DENIED  | USER_UNAUTHORIZED | RETRY=0 | CRC=DCB2
2026-04-01 08:01:22 | GATE-02 | LAB_B       | ACCESS_REQUEST | U1046  | CARD500046 | OK      | CARD_OK          | RETRY=0 | CRC=1F08
2026-04-01 08:01:24 | DOOR-A2 | LAB_A       | ACCESS_DENIED  | U1006  | CARD500006 | DENIED  | USER_UNAUTHORIZED | RETRY=1 | CRC=6163
2026-04-01 08:01:26 | GATE-02 | SERVER_ROOM | ACCESS_REQUEST | U1017  | CARD500017 | OK      | PIN_OK           | RETRY=0 | CRC=2698
2026-04-01 08:01:28 | DOOR-B1 | PARKING     | DOOR_OPEN      | SYSTEM | NA         | NORMAL  | SCHEDULE_OK      | RETRY=0 | CRC=078E
2026-04-01 08:01:29 | DOOR-B1 | PARKING     | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=F8A5
2026-04-01 08:01:31 | CTRL-02 | PARKING     | ACCESS_REQUEST | U1003  | CARD500003 | OK      | CARD_OK          | RETRY=1 | CRC=011A
2026-04-01 08:01:33 | GATE-01 | PARKING     | ACCESS_DENIED  | U1018  | CARD500018 | DENIED  | CARD_EXPIRED     | RETRY=2 | CRC=4F41
2026-04-01 08:01:34 | GATE-01 | SERVER_ROOM | MOTION_DETECTED | SYSTEM | NA         | SUCCESS | FORCED_ENTRY     | RETRY=0 | CRC=A090
