input_file=input_cov_alnum63.txt input_len=504
idx exp src rx src_match rx_match ascii
0 30 30 30 1 1 0
1 31 31 31 1 1 1
2 32 32 32 1 1 2
3 33 33 33 1 1 3
4 34 34 34 1 1 4
5 35 35 35 1 1 5
6 36 36 36 1 1 6
7 37 37 37 1 1 7
8 38 38 38 1 1 8
9 39 39 39 1 1 9
10 41 41 41 1 1 A
11 42 42 42 1 1 B
12 43 43 43 1 1 C
13 44 44 44 1 1 D
14 45 45 45 1 1 E
15 46 46 46 1 1 F
16 47 47 47 1 1 G
17 48 48 48 1 1 H
18 49 49 49 1 1 I
19 4a 4a 4a 1 1 J
20 4b 4b 4b 1 1 K
21 4c 4c 4c 1 1 L
22 4d 4d 4d 1 1 M
23 4e 4e 4e 1 1 N
24 4f 4f 4f 1 1 O
25 50 50 50 1 1 P
26 51 51 51 1 1 Q
27 52 52 52 1 1 R
28 53 53 53 1 1 S
29 54 54 54 1 1 T
30 55 55 55 1 1 U
31 56 56 56 1 1 V
32 57 57 57 1 1 W
33 58 58 58 1 1 X
34 59 59 59 1 1 Y
35 5a 5a 5a 1 1 Z
36 61 61 61 1 1 a
37 62 62 62 1 1 b
38 63 63 63 1 1 c
39 64 64 64 1 1 d
40 65 65 65 1 1 e
41 66 66 66 1 1 f
42 67 67 67 1 1 g
43 68 68 68 1 1 h
44 69 69 69 1 1 i
45 6a 6a 6a 1 1 j
46 6b 6b 6b 1 1 k
47 6c 6c 6c 1 1 l
48 6d 6d 6d 1 1 m
49 6e 6e 6e 1 1 n
50 6f 6f 6f 1 1 o
51 70 70 70 1 1 p
52 71 71 71 1 1 q
53 72 72 72 1 1 r
54 73 73 73 1 1 s
55 74 74 74 1 1 t
56 75 75 75 1 1 u
57 76 76 76 1 1 v
58 77 77 77 1 1 w
59 78 78 78 1 1 x
60 79 79 79 1 1 y
61 7a 7a 7a 1 1 z
62 0a 0a 0a 1 1 .
63 30 30 30 1 1 0
64 31 31 31 1 1 1
65 32 32 32 1 1 2
66 33 33 33 1 1 3
67 34 34 34 1 1 4
68 35 35 35 1 1 5
69 36 36 36 1 1 6
70 37 37 37 1 1 7
71 38 38 38 1 1 8
72 39 39 39 1 1 9
73 41 41 41 1 1 A
74 42 42 42 1 1 B
75 43 43 43 1 1 C
76 44 44 44 1 1 D
77 45 45 45 1 1 E
78 46 46 46 1 1 F
79 47 47 47 1 1 G
80 48 48 48 1 1 H
81 49 49 49 1 1 I
82 4a 4a 4a 1 1 J
83 4b 4b 4b 1 1 K
84 4c 4c 4c 1 1 L
85 4d 4d 4d 1 1 M
86 4e 4e 4e 1 1 N
87 4f 4f 4f 1 1 O
88 50 50 50 1 1 P
89 51 51 51 1 1 Q
90 52 52 52 1 1 R
91 53 53 53 1 1 S
92 54 54 54 1 1 T
93 55 55 55 1 1 U
94 56 56 56 1 1 V
95 57 57 57 1 1 W
96 58 58 58 1 1 X
97 59 59 59 1 1 Y
98 5a 5a 5a 1 1 Z
99 61 61 61 1 1 a
100 62 62 62 1 1 b
101 63 63 63 1 1 c
102 64 64 64 1 1 d
103 65 65 65 1 1 e
104 66 66 66 1 1 f
105 67 67 67 1 1 g
106 68 68 68 1 1 h
107 69 69 69 1 1 i
108 6a 6a 6a 1 1 j
109 6b 6b 6b 1 1 k
110 6c 6c 6c 1 1 l
111 6d 6d 6d 1 1 m
112 6e 6e 6e 1 1 n
113 6f 6f 6f 1 1 o
114 70 70 70 1 1 p
115 71 71 71 1 1 q
116 72 72 72 1 1 r
117 73 73 73 1 1 s
118 74 74 74 1 1 t
119 75 75 75 1 1 u
120 76 76 76 1 1 v
121 77 77 77 1 1 w
122 78 78 78 1 1 x
123 79 79 79 1 1 y
124 7a 7a 7a 1 1 z
125 0a 0a 0a 1 1 .
126 30 30 30 1 1 0
127 31 31 31 1 1 1
128 32 32 32 1 1 2
129 33 33 33 1 1 3
130 34 34 34 1 1 4
131 35 35 35 1 1 5
132 36 36 36 1 1 6
133 37 37 37 1 1 7
134 38 38 38 1 1 8
135 39 39 39 1 1 9
136 41 41 41 1 1 A
137 42 42 42 1 1 B
138 43 43 43 1 1 C
139 44 44 44 1 1 D
140 45 45 45 1 1 E
141 46 46 46 1 1 F
142 47 47 47 1 1 G
143 48 48 48 1 1 H
144 49 49 49 1 1 I
145 4a 4a 4a 1 1 J
146 4b 4b 4b 1 1 K
147 4c 4c 4c 1 1 L
148 4d 4d 4d 1 1 M
149 4e 4e 4e 1 1 N
150 4f 4f 4f 1 1 O
151 50 50 50 1 1 P
152 51 51 51 1 1 Q
153 52 52 52 1 1 R
154 53 53 53 1 1 S
155 54 54 54 1 1 T
156 55 55 55 1 1 U
157 56 56 56 1 1 V
158 57 57 57 1 1 W
159 58 58 58 1 1 X
160 59 59 59 1 1 Y
161 5a 5a 5a 1 1 Z
162 61 61 61 1 1 a
163 62 62 62 1 1 b
164 63 63 63 1 1 c
165 64 64 64 1 1 d
166 65 65 65 1 1 e
167 66 66 66 1 1 f
168 67 67 67 1 1 g
169 68 68 68 1 1 h
170 69 69 69 1 1 i
171 6a 6a 6a 1 1 j
172 6b 6b 6b 1 1 k
173 6c 6c 6c 1 1 l
174 6d 6d 6d 1 1 m
175 6e 6e 6e 1 1 n
176 6f 6f 6f 1 1 o
177 70 70 70 1 1 p
178 71 71 71 1 1 q
179 72 72 72 1 1 r
180 73 73 73 1 1 s
181 74 74 74 1 1 t
182 75 75 75 1 1 u
183 76 76 76 1 1 v
184 77 77 77 1 1 w
185 78 78 78 1 1 x
186 79 79 79 1 1 y
187 7a 7a 7a 1 1 z
188 0a 0a 0a 1 1 .
189 30 30 30 1 1 0
190 31 31 31 1 1 1
191 32 32 32 1 1 2
192 33 33 33 1 1 3
193 34 34 34 1 1 4
194 35 35 35 1 1 5
195 36 36 36 1 1 6
196 37 37 37 1 1 7
197 38 38 38 1 1 8
198 39 39 39 1 1 9
199 41 41 41 1 1 A
200 42 42 42 1 1 B
201 43 43 43 1 1 C
202 44 44 44 1 1 D
203 45 45 45 1 1 E
204 46 46 46 1 1 F
205 47 47 47 1 1 G
206 48 48 48 1 1 H
207 49 49 49 1 1 I
208 4a 4a 4a 1 1 J
209 4b 4b 4b 1 1 K
210 4c 4c 4c 1 1 L
211 4d 4d 4d 1 1 M
212 4e 4e 4e 1 1 N
213 4f 4f 4f 1 1 O
214 50 50 50 1 1 P
215 51 51 51 1 1 Q
216 52 52 52 1 1 R
217 53 53 53 1 1 S
218 54 54 54 1 1 T
219 55 55 55 1 1 U
220 56 56 56 1 1 V
221 57 57 57 1 1 W
222 58 58 58 1 1 X
223 59 59 59 1 1 Y
224 5a 5a 5a 1 1 Z
225 61 61 61 1 1 a
226 62 62 62 1 1 b
227 63 63 63 1 1 c
228 64 64 64 1 1 d
229 65 65 65 1 1 e
230 66 66 66 1 1 f
231 67 67 67 1 1 g
232 68 68 68 1 1 h
233 69 69 69 1 1 i
234 6a 6a 6a 1 1 j
235 6b 6b 6b 1 1 k
236 6c 6c 6c 1 1 l
237 6d 6d 6d 1 1 m
238 6e 6e 6e 1 1 n
239 6f 6f 6f 1 1 o
240 70 70 70 1 1 p
241 71 71 71 1 1 q
242 72 72 72 1 1 r
243 73 73 73 1 1 s
244 74 74 74 1 1 t
245 75 75 75 1 1 u
246 76 76 76 1 1 v
247 77 77 77 1 1 w
248 78 78 78 1 1 x
249 79 79 79 1 1 y
250 7a 7a 7a 1 1 z
251 0a 0a 0a 1 1 .
252 30 30 30 1 1 0
253 31 31 31 1 1 1
254 32 32 32 1 1 2
255 33 33 33 1 1 3
256 34 34 34 1 1 4
257 35 35 35 1 1 5
258 36 36 36 1 1 6
259 37 37 37 1 1 7
260 38 38 38 1 1 8
261 39 39 39 1 1 9
262 41 41 41 1 1 A
263 42 42 42 1 1 B
264 43 43 43 1 1 C
265 44 44 44 1 1 D
266 45 45 45 1 1 E
267 46 46 46 1 1 F
268 47 47 47 1 1 G
269 48 48 48 1 1 H
270 49 49 49 1 1 I
271 4a 4a 4a 1 1 J
272 4b 4b 4b 1 1 K
273 4c 4c 4c 1 1 L
274 4d 4d 4d 1 1 M
275 4e 4e 4e 1 1 N
276 4f 4f 4f 1 1 O
277 50 50 50 1 1 P
278 51 51 51 1 1 Q
279 52 52 52 1 1 R
280 53 53 53 1 1 S
281 54 54 54 1 1 T
282 55 55 55 1 1 U
283 56 56 56 1 1 V
284 57 57 57 1 1 W
285 58 58 58 1 1 X
286 59 59 59 1 1 Y
287 5a 5a 5a 1 1 Z
288 61 61 61 1 1 a
289 62 62 62 1 1 b
290 63 63 63 1 1 c
291 64 64 64 1 1 d
292 65 65 65 1 1 e
293 66 66 66 1 1 f
294 67 67 67 1 1 g
295 68 68 68 1 1 h
296 69 69 69 1 1 i
297 6a 6a 6a 1 1 j
298 6b 6b 6b 1 1 k
299 6c 6c 6c 1 1 l
300 6d 6d 6d 1 1 m
301 6e 6e 6e 1 1 n
302 6f 6f 6f 1 1 o
303 70 70 70 1 1 p
304 71 71 71 1 1 q
305 72 72 72 1 1 r
306 73 73 73 1 1 s
307 74 74 74 1 1 t
308 75 75 75 1 1 u
309 76 76 76 1 1 v
310 77 77 77 1 1 w
311 78 78 78 1 1 x
312 79 79 79 1 1 y
313 7a 7a 7a 1 1 z
314 0a 0a 0a 1 1 .
315 30 30 30 1 1 0
316 31 31 31 1 1 1
317 32 32 32 1 1 2
318 33 33 33 1 1 3
319 34 34 34 1 1 4
320 35 35 35 1 1 5
321 36 36 36 1 1 6
322 37 37 37 1 1 7
323 38 38 38 1 1 8
324 39 39 39 1 1 9
325 41 41 41 1 1 A
326 42 42 42 1 1 B
327 43 43 43 1 1 C
328 44 44 44 1 1 D
329 45 45 45 1 1 E
330 46 46 46 1 1 F
331 47 47 47 1 1 G
332 48 48 48 1 1 H
333 49 49 49 1 1 I
334 4a 4a 4a 1 1 J
335 4b 4b 4b 1 1 K
336 4c 4c 4c 1 1 L
337 4d 4d 4d 1 1 M
338 4e 4e 4e 1 1 N
339 4f 4f 4f 1 1 O
340 50 50 50 1 1 P
341 51 51 51 1 1 Q
342 52 52 52 1 1 R
343 53 53 53 1 1 S
344 54 54 54 1 1 T
345 55 55 55 1 1 U
346 56 56 56 1 1 V
347 57 57 57 1 1 W
348 58 58 58 1 1 X
349 59 59 59 1 1 Y
350 5a 5a 5a 1 1 Z
351 61 61 61 1 1 a
352 62 62 62 1 1 b
353 63 63 63 1 1 c
354 64 64 64 1 1 d
355 65 65 65 1 1 e
356 66 66 66 1 1 f
357 67 67 67 1 1 g
358 68 68 68 1 1 h
359 69 69 69 1 1 i
360 6a 6a 6a 1 1 j
361 6b 6b 6b 1 1 k
362 6c 6c 6c 1 1 l
363 6d 6d 6d 1 1 m
364 6e 6e 6e 1 1 n
365 6f 6f 6f 1 1 o
366 70 70 70 1 1 p
367 71 71 71 1 1 q
368 72 72 72 1 1 r
369 73 73 73 1 1 s
370 74 74 74 1 1 t
371 75 75 75 1 1 u
372 76 76 76 1 1 v
373 77 77 77 1 1 w
374 78 78 78 1 1 x
375 79 79 79 1 1 y
376 7a 7a 7a 1 1 z
377 0a 0a 0a 1 1 .
378 30 30 30 1 1 0
379 31 31 31 1 1 1
380 32 32 32 1 1 2
381 33 33 33 1 1 3
382 34 34 34 1 1 4
383 35 35 35 1 1 5
384 36 36 36 1 1 6
385 37 37 37 1 1 7
386 38 38 38 1 1 8
387 39 39 39 1 1 9
388 41 41 41 1 1 A
389 42 42 42 1 1 B
390 43 43 43 1 1 C
391 44 44 44 1 1 D
392 45 45 45 1 1 E
393 46 46 46 1 1 F
394 47 47 47 1 1 G
395 48 48 48 1 1 H
396 49 49 49 1 1 I
397 4a 4a 4a 1 1 J
398 4b 4b 4b 1 1 K
399 4c 4c 4c 1 1 L
400 4d 4d 4d 1 1 M
401 4e 4e 4e 1 1 N
402 4f 4f 4f 1 1 O
403 50 50 50 1 1 P
404 51 51 51 1 1 Q
405 52 52 52 1 1 R
406 53 53 53 1 1 S
407 54 54 54 1 1 T
408 55 55 55 1 1 U
409 56 56 56 1 1 V
410 57 57 57 1 1 W
411 58 58 58 1 1 X
412 59 59 59 1 1 Y
413 5a 5a 5a 1 1 Z
414 61 61 61 1 1 a
415 62 62 62 1 1 b
416 63 63 63 1 1 c
417 64 64 64 1 1 d
418 65 65 65 1 1 e
419 66 66 66 1 1 f
420 67 67 67 1 1 g
421 68 68 68 1 1 h
422 69 69 69 1 1 i
423 6a 6a 6a 1 1 j
424 6b 6b 6b 1 1 k
425 6c 6c 6c 1 1 l
426 6d 6d 6d 1 1 m
427 6e 6e 6e 1 1 n
428 6f 6f 6f 1 1 o
429 70 70 70 1 1 p
430 71 71 71 1 1 q
431 72 72 72 1 1 r
432 73 73 73 1 1 s
433 74 74 74 1 1 t
434 75 75 75 1 1 u
435 76 76 76 1 1 v
436 77 77 77 1 1 w
437 78 78 78 1 1 x
438 79 79 79 1 1 y
439 7a 7a 7a 1 1 z
440 0a 0a 0a 1 1 .
441 30 30 30 1 1 0
442 31 31 31 1 1 1
443 32 32 32 1 1 2
444 33 33 33 1 1 3
445 34 34 34 1 1 4
446 35 35 35 1 1 5
447 36 36 36 1 1 6
448 37 37 37 1 1 7
449 38 38 38 1 1 8
450 39 39 39 1 1 9
451 41 41 41 1 1 A
452 42 42 42 1 1 B
453 43 43 43 1 1 C
454 44 44 44 1 1 D
455 45 45 45 1 1 E
456 46 46 46 1 1 F
457 47 47 47 1 1 G
458 48 48 48 1 1 H
459 49 49 49 1 1 I
