input_file=input3.txt input_len=242
idx exp src rx src_match rx_match ascii
0 69 69 69 1 1 i
1 61 61 61 1 1 a
2 61 61 61 1 1 a
3 61 61 61 1 1 a
4 61 61 61 1 1 a
5 61 61 61 1 1 a
6 61 61 61 1 1 a
7 61 61 61 1 1 a
8 61 61 61 1 1 a
9 61 61 61 1 1 a
10 61 61 61 1 1 a
11 61 61 61 1 1 a
12 61 61 61 1 1 a
13 61 61 61 1 1 a
14 61 61 61 1 1 a
15 61 61 61 1 1 a
16 61 61 61 1 1 a
17 61 61 61 1 1 a
18 61 61 61 1 1 a
19 61 61 61 1 1 a
20 61 61 61 1 1 a
21 61 61 61 1 1 a
22 61 61 61 1 1 a
23 61 61 61 1 1 a
24 61 61 61 1 1 a
25 61 61 61 1 1 a
26 61 61 61 1 1 a
27 61 61 61 1 1 a
28 61 61 61 1 1 a
29 61 61 61 1 1 a
30 61 61 61 1 1 a
31 61 61 61 1 1 a
32 61 61 61 1 1 a
33 61 61 61 1 1 a
34 61 61 61 1 1 a
35 61 61 61 1 1 a
36 61 61 61 1 1 a
37 61 61 61 1 1 a
38 61 61 61 1 1 a
39 61 61 61 1 1 a
40 61 61 61 1 1 a
41 61 61 61 1 1 a
42 61 61 61 1 1 a
43 61 61 61 1 1 a
44 61 61 61 1 1 a
45 61 61 61 1 1 a
46 61 61 61 1 1 a
47 61 61 61 1 1 a
48 61 61 61 1 1 a
49 61 61 61 1 1 a
50 61 61 61 1 1 a
51 61 61 61 1 1 a
52 61 61 61 1 1 a
53 61 61 61 1 1 a
54 61 61 61 1 1 a
55 61 61 61 1 1 a
56 61 61 61 1 1 a
57 61 61 61 1 1 a
58 61 61 61 1 1 a
59 61 61 61 1 1 a
60 61 61 61 1 1 a
61 61 61 61 1 1 a
62 61 61 61 1 1 a
63 61 61 61 1 1 a
64 61 61 61 1 1 a
65 61 61 61 1 1 a
66 61 61 61 1 1 a
67 61 61 61 1 1 a
68 61 61 61 1 1 a
69 61 61 61 1 1 a
70 0a 0a 0a 1 1 .
71 62 62 62 1 1 b
72 62 62 62 1 1 b
73 62 62 62 1 1 b
74 62 62 62 1 1 b
75 62 62 62 1 1 b
76 62 62 62 1 1 b
77 62 62 62 1 1 b
78 62 62 62 1 1 b
79 62 62 62 1 1 b
80 62 62 62 1 1 b
81 62 62 62 1 1 b
82 62 62 62 1 1 b
83 62 62 62 1 1 b
84 62 62 62 1 1 b
85 62 62 62 1 1 b
86 62 62 62 1 1 b
87 62 62 62 1 1 b
88 62 62 62 1 1 b
89 62 62 62 1 1 b
90 62 62 62 1 1 b
91 62 62 62 1 1 b
92 62 62 62 1 1 b
93 62 62 62 1 1 b
94 62 62 62 1 1 b
95 62 62 62 1 1 b
96 62 62 62 1 1 b
97 62 62 62 1 1 b
98 62 62 62 1 1 b
99 62 62 62 1 1 b
100 62 62 62 1 1 b
101 62 62 62 1 1 b
102 62 62 62 1 1 b
103 62 62 62 1 1 b
104 62 62 62 1 1 b
105 62 62 62 1 1 b
106 62 62 62 1 1 b
107 76 76 76 1 1 v
108 76 76 76 1 1 v
109 76 76 76 1 1 v
110 76 76 76 1 1 v
111 76 76 76 1 1 v
112 76 76 76 1 1 v
113 76 76 76 1 1 v
114 76 76 76 1 1 v
115 76 76 76 1 1 v
116 76 76 76 1 1 v
117 76 76 76 1 1 v
118 76 76 76 1 1 v
119 76 76 76 1 1 v
120 76 76 76 1 1 v
121 76 76 76 1 1 v
122 76 76 76 1 1 v
123 76 76 76 1 1 v
124 76 76 76 1 1 v
125 76 76 76 1 1 v
126 76 76 76 1 1 v
127 76 76 76 1 1 v
128 76 76 76 1 1 v
129 76 76 76 1 1 v
130 76 76 76 1 1 v
131 76 76 76 1 1 v
132 76 76 76 1 1 v
133 76 76 76 1 1 v
134 76 76 76 1 1 v
135 76 76 76 1 1 v
136 76 76 76 1 1 v
137 76 76 76 1 1 v
138 76 76 76 1 1 v
139 76 76 76 1 1 v
140 76 76 76 1 1 v
141 76 76 76 1 1 v
142 76 76 76 1 1 v
143 76 76 76 1 1 v
144 76 76 76 1 1 v
145 76 76 76 1 1 v
146 0a 0a 0a 1 1 .
147 67 67 67 1 1 g
148 67 67 67 1 1 g
149 67 67 67 1 1 g
150 67 67 67 1 1 g
151 67 67 67 1 1 g
152 67 67 67 1 1 g
153 67 67 67 1 1 g
154 67 67 67 1 1 g
155 67 67 67 1 1 g
156 67 67 67 1 1 g
157 67 67 67 1 1 g
158 67 67 67 1 1 g
159 67 67 67 1 1 g
160 67 67 67 1 1 g
161 67 67 67 1 1 g
162 67 67 67 1 1 g
163 67 67 67 1 1 g
164 67 67 67 1 1 g
165 67 67 67 1 1 g
166 67 67 67 1 1 g
167 67 67 67 1 1 g
168 67 67 67 1 1 g
169 67 67 67 1 1 g
170 67 67 67 1 1 g
171 67 67 67 1 1 g
172 67 67 67 1 1 g
173 67 67 67 1 1 g
174 67 67 67 1 1 g
175 67 67 67 1 1 g
176 67 67 67 1 1 g
177 67 67 67 1 1 g
178 67 67 67 1 1 g
179 67 67 67 1 1 g
180 67 67 67 1 1 g
181 67 67 67 1 1 g
182 67 67 67 1 1 g
183 67 67 67 1 1 g
184 67 67 67 1 1 g
185 67 67 67 1 1 g
186 67 67 67 1 1 g
187 67 67 67 1 1 g
188 61 61 61 1 1 a
189 61 61 61 1 1 a
190 61 61 61 1 1 a
191 61 61 61 1 1 a
192 61 61 61 1 1 a
193 61 61 61 1 1 a
194 61 61 61 1 1 a
195 61 61 61 1 1 a
196 61 61 61 1 1 a
197 61 61 61 1 1 a
198 61 61 61 1 1 a
199 61 61 61 1 1 a
200 61 61 61 1 1 a
201 61 61 61 1 1 a
202 61 61 61 1 1 a
203 61 61 61 1 1 a
204 61 61 61 1 1 a
205 61 61 61 1 1 a
206 61 61 61 1 1 a
207 61 61 61 1 1 a
208 61 61 61 1 1 a
209 68 68 68 1 1 h
210 68 68 68 1 1 h
211 68 68 68 1 1 h
212 68 68 68 1 1 h
213 68 68 68 1 1 h
214 68 68 68 1 1 h
215 68 68 68 1 1 h
216 68 68 68 1 1 h
217 68 68 68 1 1 h
218 68 68 68 1 1 h
219 68 68 68 1 1 h
220 68 68 68 1 1 h
221 68 68 68 1 1 h
222 68 68 68 1 1 h
223 68 68 68 1 1 h
224 68 68 68 1 1 h
225 68 68 68 1 1 h
226 68 68 68 1 1 h
227 68 68 68 1 1 h
228 68 68 68 1 1 h
229 68 68 68 1 1 h
230 68 68 68 1 1 h
231 68 68 68 1 1 h
232 68 68 68 1 1 h
233 68 68 68 1 1 h
234 68 68 68 1 1 h
235 68 68 68 1 1 h
236 68 68 68 1 1 h
237 68 68 68 1 1 h
238 68 68 68 1 1 h
239 68 68 68 1 1 h
240 0a 0a 0a 1 1 .
241 0a 0a 0a 1 1 .
