input_file=input_cov_one_symbol.txt input_len=260
idx exp src rx src_match rx_match ascii
0 41 41 41 1 1 A
1 41 41 41 1 1 A
2 41 41 41 1 1 A
3 41 41 41 1 1 A
4 41 41 41 1 1 A
5 41 41 41 1 1 A
6 41 41 41 1 1 A
7 41 41 41 1 1 A
8 41 41 41 1 1 A
9 41 41 41 1 1 A
10 41 41 41 1 1 A
11 41 41 41 1 1 A
12 41 41 41 1 1 A
13 41 41 41 1 1 A
14 41 41 41 1 1 A
15 41 41 41 1 1 A
16 41 41 41 1 1 A
17 41 41 41 1 1 A
18 41 41 41 1 1 A
19 41 41 41 1 1 A
20 41 41 41 1 1 A
21 41 41 41 1 1 A
22 41 41 41 1 1 A
23 41 41 41 1 1 A
24 41 41 41 1 1 A
25 41 41 41 1 1 A
26 41 41 41 1 1 A
27 41 41 41 1 1 A
28 41 41 41 1 1 A
29 41 41 41 1 1 A
30 41 41 41 1 1 A
31 41 41 41 1 1 A
32 41 41 41 1 1 A
33 41 41 41 1 1 A
34 41 41 41 1 1 A
35 41 41 41 1 1 A
36 41 41 41 1 1 A
37 41 41 41 1 1 A
38 41 41 41 1 1 A
39 41 41 41 1 1 A
40 41 41 41 1 1 A
41 41 41 41 1 1 A
42 41 41 41 1 1 A
43 41 41 41 1 1 A
44 41 41 41 1 1 A
45 41 41 41 1 1 A
46 41 41 41 1 1 A
47 41 41 41 1 1 A
48 41 41 41 1 1 A
49 41 41 41 1 1 A
50 41 41 41 1 1 A
51 41 41 41 1 1 A
52 41 41 41 1 1 A
53 41 41 41 1 1 A
54 41 41 41 1 1 A
55 41 41 41 1 1 A
56 41 41 41 1 1 A
57 41 41 41 1 1 A
58 41 41 41 1 1 A
59 41 41 41 1 1 A
60 41 41 41 1 1 A
61 41 41 41 1 1 A
62 41 41 41 1 1 A
63 41 41 41 1 1 A
64 0a 0a 0a 1 1 .
65 41 41 41 1 1 A
66 41 41 41 1 1 A
67 41 41 41 1 1 A
68 41 41 41 1 1 A
69 41 41 41 1 1 A
70 41 41 41 1 1 A
71 41 41 41 1 1 A
72 41 41 41 1 1 A
73 41 41 41 1 1 A
74 41 41 41 1 1 A
75 41 41 41 1 1 A
76 41 41 41 1 1 A
77 41 41 41 1 1 A
78 41 41 41 1 1 A
79 41 41 41 1 1 A
80 41 41 41 1 1 A
81 41 41 41 1 1 A
82 41 41 41 1 1 A
83 41 41 41 1 1 A
84 41 41 41 1 1 A
85 41 41 41 1 1 A
86 41 41 41 1 1 A
87 41 41 41 1 1 A
88 41 41 41 1 1 A
89 41 41 41 1 1 A
90 41 41 41 1 1 A
91 41 41 41 1 1 A
92 41 41 41 1 1 A
93 41 41 41 1 1 A
94 41 41 41 1 1 A
95 41 41 41 1 1 A
96 41 41 41 1 1 A
97 41 41 41 1 1 A
98 41 41 41 1 1 A
99 41 41 41 1 1 A
100 41 41 41 1 1 A
101 41 41 41 1 1 A
102 41 41 41 1 1 A
103 41 41 41 1 1 A
104 41 41 41 1 1 A
105 41 41 41 1 1 A
106 41 41 41 1 1 A
107 41 41 41 1 1 A
108 41 41 41 1 1 A
109 41 41 41 1 1 A
110 41 41 41 1 1 A
111 41 41 41 1 1 A
112 41 41 41 1 1 A
113 41 41 41 1 1 A
114 41 41 41 1 1 A
115 41 41 41 1 1 A
116 41 41 41 1 1 A
117 41 41 41 1 1 A
118 41 41 41 1 1 A
119 41 41 41 1 1 A
120 41 41 41 1 1 A
121 41 41 41 1 1 A
122 41 41 41 1 1 A
123 41 41 41 1 1 A
124 41 41 41 1 1 A
125 41 41 41 1 1 A
126 41 41 41 1 1 A
127 41 41 41 1 1 A
128 41 41 41 1 1 A
129 0a 0a 0a 1 1 .
130 41 41 41 1 1 A
131 41 41 41 1 1 A
132 41 41 41 1 1 A
133 41 41 41 1 1 A
134 41 41 41 1 1 A
135 41 41 41 1 1 A
136 41 41 41 1 1 A
137 41 41 41 1 1 A
138 41 41 41 1 1 A
139 41 41 41 1 1 A
140 41 41 41 1 1 A
141 41 41 41 1 1 A
142 41 41 41 1 1 A
143 41 41 41 1 1 A
144 41 41 41 1 1 A
145 41 41 41 1 1 A
146 41 41 41 1 1 A
147 41 41 41 1 1 A
148 41 41 41 1 1 A
149 41 41 41 1 1 A
150 41 41 41 1 1 A
151 41 41 41 1 1 A
152 41 41 41 1 1 A
153 41 41 41 1 1 A
154 41 41 41 1 1 A
155 41 41 41 1 1 A
156 41 41 41 1 1 A
157 41 41 41 1 1 A
158 41 41 41 1 1 A
159 41 41 41 1 1 A
160 41 41 41 1 1 A
161 41 41 41 1 1 A
162 41 41 41 1 1 A
163 41 41 41 1 1 A
164 41 41 41 1 1 A
165 41 41 41 1 1 A
166 41 41 41 1 1 A
167 41 41 41 1 1 A
168 41 41 41 1 1 A
169 41 41 41 1 1 A
170 41 41 41 1 1 A
171 41 41 41 1 1 A
172 41 41 41 1 1 A
173 41 41 41 1 1 A
174 41 41 41 1 1 A
175 41 41 41 1 1 A
176 41 41 41 1 1 A
177 41 41 41 1 1 A
178 41 41 41 1 1 A
179 41 41 41 1 1 A
180 41 41 41 1 1 A
181 41 41 41 1 1 A
182 41 41 41 1 1 A
183 41 41 41 1 1 A
184 41 41 41 1 1 A
185 41 41 41 1 1 A
186 41 41 41 1 1 A
187 41 41 41 1 1 A
188 41 41 41 1 1 A
189 41 41 41 1 1 A
190 41 41 41 1 1 A
191 41 41 41 1 1 A
192 41 41 41 1 1 A
193 41 41 41 1 1 A
194 0a 0a 0a 1 1 .
195 41 41 41 1 1 A
196 41 41 41 1 1 A
197 41 41 41 1 1 A
198 41 41 41 1 1 A
199 41 41 41 1 1 A
200 41 41 41 1 1 A
201 41 41 41 1 1 A
202 41 41 41 1 1 A
203 41 41 41 1 1 A
204 41 41 41 1 1 A
205 41 41 41 1 1 A
206 41 41 41 1 1 A
207 41 41 41 1 1 A
208 41 41 41 1 1 A
209 41 41 41 1 1 A
210 41 41 41 1 1 A
211 41 41 41 1 1 A
212 41 41 41 1 1 A
213 41 41 41 1 1 A
214 41 41 41 1 1 A
215 41 41 41 1 1 A
216 41 41 41 1 1 A
217 41 41 41 1 1 A
218 41 41 41 1 1 A
219 41 41 41 1 1 A
220 41 41 41 1 1 A
221 41 41 41 1 1 A
222 41 41 41 1 1 A
223 41 41 41 1 1 A
224 41 41 41 1 1 A
225 41 41 41 1 1 A
226 41 41 41 1 1 A
227 41 41 41 1 1 A
228 41 41 41 1 1 A
229 41 41 41 1 1 A
230 41 41 41 1 1 A
231 41 41 41 1 1 A
232 41 41 41 1 1 A
233 41 41 41 1 1 A
234 41 41 41 1 1 A
235 41 41 41 1 1 A
236 41 41 41 1 1 A
237 41 41 41 1 1 A
238 41 41 41 1 1 A
239 41 41 41 1 1 A
240 41 41 41 1 1 A
241 41 41 41 1 1 A
242 41 41 41 1 1 A
243 41 41 41 1 1 A
244 41 41 41 1 1 A
245 41 41 41 1 1 A
246 41 41 41 1 1 A
247 41 41 41 1 1 A
248 41 41 41 1 1 A
249 41 41 41 1 1 A
250 41 41 41 1 1 A
251 41 41 41 1 1 A
252 41 41 41 1 1 A
253 41 41 41 1 1 A
254 41 41 41 1 1 A
255 41 41 41 1 1 A
256 41 41 41 1 1 A
257 41 41 41 1 1 A
258 41 41 41 1 1 A
259 0a 0a 0a 1 1 .
