input_file=mitdb_213_mlii_10s_delta2_var.bin input_len=3601
idx exp src rx src_match rx_match ascii
0 fc fc fc 1 1 .
1 0f 0f 0f 1 1 .
2 00 00 00 1 1 .
3 00 00 00 1 1 .
4 00 00 00 1 1 .
5 00 00 00 1 1 .
6 00 00 00 1 1 .
7 00 00 00 1 1 .
8 00 00 00 1 1 .
9 00 00 00 1 1 .
10 09 09 09 1 1 .
11 03 03 03 1 1 .
12 02 02 02 1 1 .
13 02 02 02 1 1 .
14 00 00 00 1 1 .
15 06 06 06 1 1 .
16 01 01 01 1 1 .
17 04 04 04 1 1 .
18 03 03 03 1 1 .
19 05 05 05 1 1 .
20 00 00 00 1 1 .
21 09 09 09 1 1 .
22 0a 0a 0a 1 1 .
23 00 00 00 1 1 .
24 06 06 06 1 1 .
25 00 00 00 1 1 .
26 04 04 04 1 1 .
27 06 06 06 1 1 .
28 03 03 03 1 1 .
29 02 02 02 1 1 .
30 03 03 03 1 1 .
31 06 06 06 1 1 .
32 05 05 05 1 1 .
33 00 00 00 1 1 .
34 02 02 02 1 1 .
35 07 07 07 1 1 .
36 0a 0a 0a 1 1 .
37 02 02 02 1 1 .
38 0e 0e 0e 1 1 .
39 03 03 03 1 1 .
40 04 04 04 1 1 .
41 06 06 06 1 1 .
42 01 01 01 1 1 .
43 0b 0b 0b 1 1 .
44 03 03 03 1 1 .
45 03 03 03 1 1 .
46 02 02 02 1 1 .
47 02 02 02 1 1 .
48 01 01 01 1 1 .
49 01 01 01 1 1 .
50 08 08 08 1 1 .
51 0b 0b 0b 1 1 .
52 09 09 09 1 1 .
53 05 05 05 1 1 .
54 05 05 05 1 1 .
55 05 05 05 1 1 .
56 06 06 06 1 1 .
57 02 02 02 1 1 .
58 04 04 04 1 1 .
59 08 08 08 1 1 .
60 04 04 04 1 1 .
61 07 07 07 1 1 .
62 0e 0e 0e 1 1 .
63 00 00 00 1 1 .
64 04 04 04 1 1 .
65 02 02 02 1 1 .
