TX/RX LOOPBACK PRE-COMPRESS DUMP
format: case index raw_byte normalized_expected

===== CASE input_txt_loopback =====
input_file=input.txt total_bytes=2839 block_count=89 frame_count=1 unsupported_input_bytes=0
input_txt_loopback 0 23 23
input_txt_loopback 1 20 20
input_txt_loopback 2 53 53
input_txt_loopback 3 45 45
input_txt_loopback 4 43 43
input_txt_loopback 5 55 55
input_txt_loopback 6 52 52
input_txt_loopback 7 45 45
input_txt_loopback 8 20 20
input_txt_loopback 9 45 45
input_txt_loopback 10 56 56
input_txt_loopback 11 45 45
input_txt_loopback 12 4e 4e
input_txt_loopback 13 54 54
input_txt_loopback 14 20 20
input_txt_loopback 15 4c 4c
input_txt_loopback 16 4f 4f
input_txt_loopback 17 47 47
input_txt_loopback 18 20 20
input_txt_loopback 19 53 53
input_txt_loopback 20 41 41
input_txt_loopback 21 4d 4d
input_txt_loopback 22 50 50
input_txt_loopback 23 4c 4c
input_txt_loopback 24 45 45
input_txt_loopback 25 0a 0a
input_txt_loopback 26 23 23
input_txt_loopback 27 20 20
input_txt_loopback 28 46 46
input_txt_loopback 29 6f 6f
input_txt_loopback 30 72 72
input_txt_loopback 31 6d 6d
input_txt_loopback 32 61 61
input_txt_loopback 33 74 74
input_txt_loopback 34 3a 3a
input_txt_loopback 35 20 20
input_txt_loopback 36 54 54
input_txt_loopback 37 49 49
input_txt_loopback 38 4d 4d
input_txt_loopback 39 45 45
input_txt_loopback 40 53 53
input_txt_loopback 41 54 54
input_txt_loopback 42 41 41
input_txt_loopback 43 4d 4d
input_txt_loopback 44 50 50
input_txt_loopback 45 20 20
input_txt_loopback 46 7c 7c
input_txt_loopback 47 20 20
input_txt_loopback 48 44 44
input_txt_loopback 49 45 45
input_txt_loopback 50 56 56
input_txt_loopback 51 49 49
input_txt_loopback 52 43 43
input_txt_loopback 53 45 45
input_txt_loopback 54 20 20
input_txt_loopback 55 7c 7c
input_txt_loopback 56 20 20
input_txt_loopback 57 5a 5a
input_txt_loopback 58 4f 4f
input_txt_loopback 59 4e 4e
input_txt_loopback 60 45 45
input_txt_loopback 61 20 20
input_txt_loopback 62 7c 7c
input_txt_loopback 63 20 20
input_txt_loopback 64 45 45
input_txt_loopback 65 56 56
input_txt_loopback 66 45 45
input_txt_loopback 67 4e 4e
input_txt_loopback 68 54 54
input_txt_loopback 69 20 20
input_txt_loopback 70 7c 7c
input_txt_loopback 71 20 20
input_txt_loopback 72 55 55
input_txt_loopback 73 53 53
input_txt_loopback 74 45 45
input_txt_loopback 75 52 52
input_txt_loopback 76 20 20
input_txt_loopback 77 7c 7c
input_txt_loopback 78 20 20
input_txt_loopback 79 43 43
input_txt_loopback 80 41 41
input_txt_loopback 81 52 52
input_txt_loopback 82 44 44
input_txt_loopback 83 20 20
input_txt_loopback 84 7c 7c
input_txt_loopback 85 20 20
input_txt_loopback 86 53 53
input_txt_loopback 87 54 54
input_txt_loopback 88 41 41
input_txt_loopback 89 54 54
input_txt_loopback 90 55 55
input_txt_loopback 91 53 53
input_txt_loopback 92 20 20
input_txt_loopback 93 7c 7c
input_txt_loopback 94 20 20
input_txt_loopback 95 52 52
input_txt_loopback 96 45 45
input_txt_loopback 97 41 41
